case,rsrc_ohm,edge_ps,amplitude_v,return_code,deck,raw,log,points,stop_ns,v(pad)_min_v,v(pad)_max_v,v(pad)_finite,v(ntst)_min_v,v(ntst)_max_v,v(ntst)_finite,finite_reasonable,last_trouble
amp1p5_edge5_ideal,ideal,5.0,1.5,1,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_ideal.sp,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_ideal.raw,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_ideal.log,165433,5.110051062762517,-134217728.0,134217728.0,True,-9.913296890698643e+22,5.56035225788462e+22,True,False,"doAnalyses: TRAN:  Timestep too small; time = 5.11005e-09, timestep = 7.13669e-23: cause unrecorded."
amp1p5_edge5_r0p1,0.1,5.0,1.5,1,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r0p1.sp,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r0p1.raw,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r0p1.log,167079,5.1048807422569045,-6.529153014330071e+20,1.984595474146836e+20,True,-8.589530767197916e+22,5.165858195957887e+22,True,False,"doAnalyses: TRAN:  Timestep too small; time = 5.10488e-09, timestep = 6.95447e-23: cause unrecorded."
amp1p5_edge5_r1,1.0,5.0,1.5,1,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r1.sp,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r1.raw,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r1.log,170165,5.123344983014263,-3.170137585710284e+21,1.728513239082172e+21,True,-8.332681868943864e+22,2.470518443771882e+22,True,False,"doAnalyses: TRAN:  Timestep too small; time = 5.12334e-09, timestep = 7.66683e-23: cause unrecorded."
amp1p5_edge5_r5,5.0,5.0,1.5,1,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r5.sp,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r5.raw,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r5.log,172026,5.20562313137309,-5.473571433936739e+21,1.708436530531653e+22,True,-2.989419517461688e+22,6.583463593987428e+22,True,False,"doAnalyses: TRAN:  Timestep too small; time = 5.20562e-09, timestep = 7.57761e-23: cause unrecorded."
amp1p5_edge5_r10,10.0,5.0,1.5,1,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r10.sp,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r10.raw,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r10.log,192258,5.450345495161335,-5.288659556253403e+22,1.873668620575218e+22,True,-9.491217432625614e+22,5.306705417421552e+22,True,False,"doAnalyses: TRAN:  Timestep too small; time = 5.45035e-09, timestep = 8.30382e-23: cause unrecorded."
amp1p5_edge5_r25,25.0,5.0,1.5,1,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r25.sp,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r25.raw,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r25.log,256955,6.756806245205241,-6.162577637942725e+22,3.059468842880988e+22,True,-5.829492374958393e+22,3.601986736470205e+22,True,False,"doAnalyses: TRAN:  Timestep too small; time = 6.75681e-09, timestep = 8.64159e-23: cause unrecorded."
amp1p5_edge5_r50,50.0,5.0,1.5,0,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r50.sp,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r50.raw,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r50.log,1869,12.0,-2.183272198528437,2.934597130972318,True,-0.9005765116664328,1.653925599247436,True,True,
amp1p5_edge5_r100,100.0,5.0,1.5,1,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r100.sp,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r100.raw,hspice/sparam_ngspice/channel_sweep/amp1p5_edge5_r100.log,160641,2.399537090778926,-6.156751951462669e+286,0.0,True,-5.061364770351113e+285,0.0,True,False,"doAnalyses: TRAN:  Timestep too small; time = 2.39954e-09, timestep = 0: cause unrecorded."
amp1p5_edge50_ideal,ideal,50.0,1.5,1,hspice/sparam_ngspice/channel_sweep/amp1p5_edge50_ideal.sp,hspice/sparam_ngspice/channel_sweep/amp1p5_edge50_ideal.raw,hspice/sparam_ngspice/channel_sweep/amp1p5_edge50_ideal.log,164293,5.133097410685087,-67108864.0,67108864.0,True,-1.013546163423587e+23,4.890942838235492e+22,True,False,"doAnalyses: TRAN:  Timestep too small; time = 5.1331e-09, timestep = 8.57568e-23: cause unrecorded."
amp1p5_edge50_r50,50.0,50.0,1.5,0,hspice/sparam_ngspice/channel_sweep/amp1p5_edge50_r50.sp,hspice/sparam_ngspice/channel_sweep/amp1p5_edge50_r50.raw,hspice/sparam_ngspice/channel_sweep/amp1p5_edge50_r50.log,1835,12.0,-1.328837064504718,2.076646274540142,True,-0.716944190544281,1.468612655041656,True,True,
