case,rsrc_ohm,edge_ps,amplitude_v,return_code,deck,raw,log,points,stop_ns,v(pad)_min_v,v(pad)_max_v,v(pad)_finite,v(ntst)_min_v,v(ntst)_max_v,v(ntst)_finite,finite_reasonable,last_trouble
amp1p5_edge5_ideal,ideal,5.0,1.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_ideal.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_ideal.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_ideal.log,1254,12.0,-5.551115123125783e-17,1.5,True,-0.2826222092777254,1.784307010048071,True,True,
amp1p5_edge5_r0p1,0.1,5.0,1.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r0p1.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r0p1.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r0p1.log,1254,12.0,-0.0007792041922272818,1.49777819921001,True,-0.2821805740696792,1.780896255264728,True,True,
amp1p5_edge5_r1,1.0,5.0,1.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r1.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r1.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r1.log,1253,12.0,-0.00755337706074085,1.478074222510243,True,-0.2790015902549181,1.750783454180149,True,True,
amp1p5_edge5_r5,5.0,5.0,1.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r5.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r5.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r5.log,1252,12.0,-0.03307751884927804,1.396425864369148,True,-0.2641467124446243,1.628531944646534,True,True,
amp1p5_edge5_r10,10.0,5.0,1.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r10.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r10.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r10.log,1251,12.0,-0.05671017047928914,1.306229359417117,True,-0.2475988868979834,1.498002160433226,True,True,
amp1p5_edge5_r25,25.0,5.0,1.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r25.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r25.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r25.log,1247,12.0,-0.09495337883665246,1.094196575144355,True,-0.2055505785434525,1.208276794078969,True,True,
amp1p5_edge5_r50,50.0,5.0,1.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r50.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r50.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r50.log,1243,12.0,-0.1120333957591606,0.8611988257423852,True,-0.1605100184311936,0.9142953007260003,True,True,
amp1p5_edge5_r100,100.0,5.0,1.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r100.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r100.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge5_r100.log,1240,12.0,-0.1046960616033051,0.6039713955237115,True,-0.1109015384061252,0.6144330258528965,True,True,
amp1p5_edge50_ideal,ideal,50.0,1.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge50_ideal.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge50_ideal.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge50_ideal.log,1252,12.0,-2.775557561562891e-17,1.5,True,-0.2267987761984103,1.720039752744108,True,True,
amp1p5_edge50_r50,50.0,50.0,1.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge50_r50.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge50_r50.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge50_r50.log,1241,12.0,-0.05506402392152643,0.8034227106754632,True,-0.1270168027548445,0.8710547419420539,True,True,
amp1p5_edge500_ideal,ideal,500.0,1.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge500_ideal.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge500_ideal.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge500_ideal.log,1240,12.0,-2.775557561562891e-17,1.5,True,-0.01241564451224572,1.509910178145123,True,True,
amp1p5_edge500_r50,50.0,500.0,1.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge500_r50.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge500_r50.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp1p5_edge500_r50.log,1232,12.0,-0.03444514315482522,0.7834125607909275,True,-0.006762482792845723,0.7543929027195492,True,True,
amp0p05_edge5_ideal,ideal,5.0,0.05,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p05_edge5_ideal.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p05_edge5_ideal.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p05_edge5_ideal.log,1236,12.0,-8.673617379884035e-19,0.05000000000000001,True,-0.009628991609609514,0.05947693728079374,True,True,
amp0p05_edge5_r50,50.0,5.0,0.05,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p05_edge5_r50.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p05_edge5_r50.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p05_edge5_r50.log,1232,12.0,-0.003734446528715601,0.02870340658201792,True,-0.00540529278142315,0.03047652882689682,True,True,
amp0p1_edge5_ideal,ideal,5.0,0.1,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p1_edge5_ideal.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p1_edge5_ideal.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p1_edge5_ideal.log,1239,12.0,-1.734723475976807e-18,0.1,True,-0.01913442835988251,0.1189538363406568,True,True,
amp0p1_edge5_r50,50.0,5.0,0.1,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p1_edge5_r50.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p1_edge5_r50.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p1_edge5_r50.log,1233,12.0,-0.007468893052425189,0.05741207590695609,True,-0.010809472781418,0.06095303820643511,True,True,
amp0p5_edge5_ideal,ideal,5.0,0.5,0,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p5_edge5_ideal.sp,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p5_edge5_ideal.raw,hspice/sparam_ngspice/regenerated_skrf/vector_3r3c/channel_sweep/amp0p5_edge5_ideal.log,1247,12.0,-2.775557561562891e-17,0.5000000000000001,True,-0.09506306355184209,0.5947690288272922,True,True,
