case,complete,target_ns,rows,t_end_ns,pad_min,pad_max,n10b_min,n10b_max,nx_min,nx_max
direct tanh200,False,40.0,481383,33.935713,-0.127134024,1.66406352,-0.0609765726,1.67948257,0.0,2.77
tanh100,False,40.0,574237,36.8066294,-0.12814514,1.66362016,-0.0619242268,1.68155008,0.0,2.77
tanh98,False,40.0,314887,28.966183200000003,-0.128146104,1.66392048,-0.0619238904,1.68154902,0.0,2.77
tanh95,False,40.0,315933,28.966183200000003,-0.128146454,1.66392049,-0.0619240322,1.68154945,0.0,2.77
tanh94,False,40.0,315916,28.966183200000003,-0.128146879,1.66392049,-0.0619242058,1.68154997,0.0,2.77
tanh92,True,40.0,107512,40.0,-0.128021157,1.66392049,-0.0619417369,1.68162305,0.0,2.77
tanh90,True,40.0,107513,40.0,-0.128021294,1.66392049,-0.0619417316,1.68162307,0.0,2.77
tanh75,True,40.0,108063,40.0,-0.128588746,1.66422321,-0.0620371618,1.68163577,0.0,2.77
tanh60,False,40.0,307451,31.765316499999997,-0.130292322,1.66461297,-0.0643266121,1.68573564,0.0,2.77
tanh50,True,40.0,104366,40.0,-0.129900048,1.66479686,-0.0633021352,1.68426077,0.0,2.77
tanh30,False,40.0,419523,9.00001257,-0.126601187,1.66461035,-0.0591047138,1.68467931,0.0,2.77
tanh20,True,40.0,105350,40.0,-0.103426537,1.66734563,-0.0315533197,1.69099445,0.0,2.76722435
