simulator,candidate,model,returncode,timed_out,wall_s,deck,output,rows,t_end_ns,completed,ntst_min,ntst_max,pad_min,pad_max,candidate_title,nx_last,nx_max,compare_stop_ns,ntst_rmse_mv,ntst_max_abs_mv,ntst_mean_mv,pad_rmse_mv,pad_max_abs_mv
ngspice,direct,driver_OutputInput_Typical.sub,0,False,0.0,ngspice_pybis/tb_prbs7_tline_50ohm_100n_ngspice_pybis.sp,ngspice_pybis/tb_prbs7_tline_50ohm_100n_ngspice_pybis.raw,41952,100.00000000000001,True,-0.012738502798869343,1.5566121879390415,-0.012736161583721503,1.5566081208288642,,,,,,,,,
xyce,tanh92,driver_OutputInput_Typical_xyce_relaxed92.sub,0,False,0.0,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_tanh92.cir,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_tanh92.cir.csv,6526,65.25,False,-0.0125698565,1.54646051,-0.0125698565,1.54800017,baseline tanh92,0.13,5.96,65.25,2.724626175002883,37.99560699803561,0.8876326852772486,2.7260976832299932,38.00885363938744
xyce,flat4p2,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p2.sub,0,False,0.0,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_flat4p2.cir,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_flat4p2.cir.csv,6545,65.44,False,-0.0125698565,1.55452463,-0.0125698565,1.55635617,KUR/KDR table flat tail after 4.2 ns,0.32,5.96,65.44,32.96007964319814,54.41096687851665,-20.03771534213262,32.94552714032868,54.41096687851643
xyce,edge15_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge15_tailflat4p2.sub,0,False,0.0,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge15_flat4p2.cir,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge15_flat4p2.cir.csv,4509,45.08,False,-0.0127853681,1.484562,-0.0127853681,1.484562,edge/latch tanh15 + KUR/KDR flat tail 4.2 ns,5.96,5.96,45.08,19.844490488286013,187.7024466539387,-6.738484109518534,19.556528941776577,166.40850168237822
xyce,edge20_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge20_tailflat4p2.sub,0,False,0.0,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge20_flat4p2.cir,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge20_flat4p2.cir.csv,6539,65.38,False,-0.0126059186,1.55108409,-0.0126059186,1.55264304,edge/latch tanh20 + KUR/KDR flat tail 4.2 ns,0.26,5.96,65.38,33.09305089531314,54.4109718785164,-20.450098137589826,33.083831843288,54.4109718785164
xyce,edge30_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge30_tailflat4p2.sub,0,False,0.0,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge30_flat4p2.cir,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge30_flat4p2.cir.csv,6560,65.58999999999999,False,-0.0121544036,1.55750203,-0.0121544036,1.55750199,edge/latch tanh30 + KUR/KDR flat tail 4.2 ns,0.4695,5.96,65.58999999999999,32.52932971226765,54.41531187851645,-19.745419836316504,32.51504452949484,54.41531187851645
xyce,edge50_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge50_tailflat4p2.sub,0,False,0.0,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge50_flat4p2.cir,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge50_flat4p2.cir.csv,9545,95.44,False,-0.0127767735,1.55731098,-0.0127767519,1.55731098,edge/latch tanh50 + KUR/KDR flat tail 4.2 ns,0.32,5.96,95.44,42.61946330401904,54.41096687851976,-34.05697781689598,42.62554882058686,54.41096687851954
xyce,edge55_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge55_tailflat4p2.sub,0,False,0.0,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge55_flat4p2.cir,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge55_flat4p2.cir.csv,7021,70.2,False,-0.0127660314,1.55731389,-0.0127660213,1.55731389,edge/latch tanh55 + KUR/KDR flat tail 4.2 ns,0.11,5.96,70.2,27.039447004986545,54.41096687851665,-14.205560307376564,27.01210597415088,54.41096687851643
xyce,edge60_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge60_tailflat4p2.sub,0,False,0.0,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge60_flat4p2.cir,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge60_flat4p2.cir.csv,9545,95.44,False,-0.0127764957,1.55729741,-0.0127764761,1.55729741,edge/latch tanh60 + KUR/KDR flat tail 4.2 ns,0.32,5.96,95.44,42.617960386590966,54.41096687851976,-34.051364753137285,42.6230301436572,54.41096687851954
xyce,edge75_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge75_tailflat4p2.sub,0,False,0.0,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge75_flat4p2.cir,xyce_pybis/tb_prbs7_tline_50ohm_100n_xyce_edge75_flat4p2.cir.csv,6531,65.300004,False,-0.0127592307,1.54765674,-0.0127592368,1.54908826,edge/latch tanh75 + KUR/KDR flat tail 4.2 ns,0.18,5.96,65.300004,33.423883645999496,54.41096687851665,-20.77435825328181,33.38391425791535,54.41096687851643
