stop,simulator,candidate,riso_ohm,completed,t_end_ns,wall_s,rmse_mv,metric_file
100n,ngspice,direct,0.0,True,100.00000000000001,0.0,nan,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,tanh92,0.0,False,65.25,0.0,2.724626175002883,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,flat4p2,0.0,False,65.44,0.0,32.96007964319814,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,edge15_flat4p2,0.0,False,45.08,0.0,19.844490488286013,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,edge20_flat4p2,0.0,False,65.38,0.0,33.09305089531314,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,edge30_flat4p2,0.0,False,65.58999999999999,0.0,32.52932971226765,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,edge50_flat4p2,0.0,False,95.44,0.0,42.61946330401904,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,edge55_flat4p2,0.0,False,70.2,0.0,27.039447004986545,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,edge60_flat4p2,0.0,False,95.44,0.0,42.617960386590966,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,edge75_flat4p2,0.0,False,65.300004,0.0,33.423883645999496,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,b18_15_flat4p2,0.0,False,65.42999999999999,0.0,32.98312245109429,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,b17b18_15_flat4p2,0.0,False,65.57,0.0,32.63345592262157,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,b15b17b18_15_flat4p2,0.0,False,65.4,0.0,33.09684375637207,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,xyce,b10b11_15_flat4p2,0.0,False,35.4,0.0,5.775766266619497,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_metrics.csv
100n,ngspice,direct,2.0,True,100.00000000000001,3.42,nan,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_riso2_metrics.csv
100n,xyce,tanh92,2.0,False,65.25,90.02,3.1723803053109974,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_riso2_metrics.csv
100n,xyce,flat4p2,2.0,False,65.44,90.02,34.696516834088385,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_riso2_metrics.csv
100n,xyce,edge50_flat4p2,2.0,True,100.0,8.19,45.20058413784195,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_riso2_metrics.csv
100n,xyce,edge60_flat4p2,2.0,False,71.1,90.02,26.338944807849614,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_riso2_metrics.csv
100n,xyce,edge15_flat4p2,2.0,False,38.77,90.02,6.193663598200251,plots/xyce_pybis/xyce_pybis_prbs_tline_100n_riso2_metrics.csv
120n,ngspice,direct,0.0,True,119.99999999999996,0.0,nan,plots/xyce_pybis/xyce_pybis_prbs_tline_120n_metrics.csv
130n,ngspice,direct,0.0,False,125.55859876151892,90.01,nan,plots/xyce_pybis/xyce_pybis_prbs_tline_130n_metrics.csv
130n,ngspice,direct,0.1,False,125.54859833888356,75.01,nan,plots/xyce_pybis/xyce_pybis_prbs_tline_130n_riso0p1_metrics.csv
130n,ngspice,direct,0.5,False,110.31313845110684,75.01,nan,plots/xyce_pybis/xyce_pybis_prbs_tline_130n_riso0p5_metrics.csv
130n,ngspice,direct,1.25,False,125.59961981622287,90.01,nan,plots/xyce_pybis/xyce_pybis_prbs_tline_130n_riso1p25_metrics.csv
130n,ngspice,direct,1.5,False,105.46577994923413,90.01,nan,plots/xyce_pybis/xyce_pybis_prbs_tline_130n_riso1p5_metrics.csv
130n,ngspice,direct,1.75,True,129.99999999999997,5.11,nan,plots/xyce_pybis/xyce_pybis_prbs_tline_130n_riso1p75_metrics.csv
130n,ngspice,direct,1.0,False,125.5984865772893,75.02,nan,plots/xyce_pybis/xyce_pybis_prbs_tline_130n_riso1_metrics.csv
130n,ngspice,direct,2.0,True,129.99999999999997,4.88,nan,plots/xyce_pybis/xyce_pybis_prbs_tline_130n_riso2_metrics.csv
200n,ngspice,direct,0.0,False,125.5785908677463,0.0,nan,plots/xyce_pybis/xyce_pybis_prbs_tline_200n_metrics.csv
200n,xyce,tanh92,0.0,False,65.25,0.0,2.724626175002883,plots/xyce_pybis/xyce_pybis_prbs_tline_200n_metrics.csv
200n,xyce,flat4p2,0.0,False,65.44,0.0,32.96007964319814,plots/xyce_pybis/xyce_pybis_prbs_tline_200n_metrics.csv
