case,model,load,print_kind,delmax,nx_cap,target_ns,returncode,timed_out,wall_s,deck,output,rows,t_end_ns,completed,vpad_last,vpad_max,vntst_last,vntst_max,nx_last,ku_last,kd_last,kur_cap,kdr_cap
tline_stop21,driver_OutputInput_Typical_xyce_relaxed92.sub,tline,full,20p,,21.0,0,False,2.6,xyce_pybis/tb_rootcause_tline_stop21.cir,xyce_pybis/tb_rootcause_tline_stop21.cir.csv,2101,21.0,True,1.45321637,1.55729263,1.44928374,1.55729263,3.91,0.929049371,0.00511318322,,
tline_stop22,driver_OutputInput_Typical_xyce_relaxed92.sub,tline,full,20p,,22.0,,True,30.02,xyce_pybis/tb_rootcause_tline_stop22.cir,xyce_pybis/tb_rootcause_tline_stop22.cir.csv,2190,21.89,False,1.5134865,1.55729263,1.5124753,1.55729263,4.80000004,0.975914265,0.00236469276,,
tline_minprint,driver_OutputInput_Typical_xyce_relaxed92.sub,tline,minimal,20p,,26.0,,True,30.01,xyce_pybis/tb_rootcause_tline_minprint.cir,xyce_pybis/tb_rootcause_tline_minprint.cir.csv,2190,21.89,False,1.5134865,1.55729263,1.5124753,1.55729263,,,,,
tline_delmax100p,driver_OutputInput_Typical_xyce_relaxed92.sub,tline,full,100p,,26.0,,True,30.02,xyce_pybis/tb_rootcause_tline_delmax100p.cir,xyce_pybis/tb_rootcause_tline_delmax100p.cir.csv,2190,21.89,False,1.5134865,1.55729263,1.5124753,1.55729263,4.80000004,0.975914265,0.00236469276,,
rload,driver_OutputInput_Typical_xyce_relaxed92.sub,rload,full,20p,,26.0,,True,30.01,xyce_pybis/tb_rootcause_rload.cir,xyce_pybis/tb_rootcause_rload.cir.csv,2527,25.259999999999998,False,1.54877876,1.55729267,,,0.14,1.00868925,0.00178320319,,
nxcap4p0,driver_OutputInput_Typical_xyce_relaxed92_nxcap4p0.sub,tline,full,20p,4.0,26.0,0,False,3.26,xyce_pybis/tb_rootcause_nxcap4p0.cir,xyce_pybis/tb_rootcause_nxcap4p0.cir.csv,2601,26.0,True,0.689872241,1.55727943,0.792240395,1.55727931,0.88,0.221073901,-0.0722271218,,
nxcap4p5,driver_OutputInput_Typical_xyce_relaxed92_nxcap4p5.sub,tline,full,20p,4.5,26.0,,True,45.02,xyce_pybis/tb_rootcause_nxcap4p5.cir,xyce_pybis/tb_rootcause_nxcap4p5.cir.csv,2169,21.68,False,1.50190414,1.55728473,1.50158377,1.55728473,4.5,0.96340759,0.00260756506,,
nxcap4p8,driver_OutputInput_Typical_xyce_relaxed92_nxcap4p8.sub,tline,full,20p,4.8,26.0,,True,45.01,xyce_pybis/tb_rootcause_nxcap4p8.cir,xyce_pybis/tb_rootcause_nxcap4p8.cir.csv,942,9.41,False,1.55460798,1.55460798,1.55271867,1.55271867,0.29,1.00198559,-0.00706295256,,
nxcap5p0,driver_OutputInput_Typical_xyce_relaxed92_nxcap5p0.sub,tline,full,20p,5.0,26.0,,True,45.01,xyce_pybis/tb_rootcause_nxcap5p0.cir,xyce_pybis/tb_rootcause_nxcap5p0.cir.csv,2190,21.89,False,1.5134865,1.55728901,1.5124753,1.55728901,4.80000004,0.975914265,0.00236469276,,
nxcap4p1,driver_OutputInput_Typical_xyce_relaxed92_nxcap4p1.sub,tline,full,20p,4.1,26.0,0,False,3.3,xyce_pybis/tb_rootcause_nxcap4p1.cir,xyce_pybis/tb_rootcause_nxcap4p1.cir.csv,2601,26.0,True,0.689872241,1.55728144,0.792240395,1.55728132,0.88,0.221073901,-0.0722271218,,
nxcap4p2,driver_OutputInput_Typical_xyce_relaxed92_nxcap4p2.sub,tline,full,20p,4.2,26.0,0,False,3.31,xyce_pybis/tb_rootcause_nxcap4p2.cir,xyce_pybis/tb_rootcause_nxcap4p2.cir.csv,2601,26.0,True,0.689872241,1.55728306,0.792240395,1.55728295,0.88,0.221073901,-0.0722271218,,
nxcap4p3,driver_OutputInput_Typical_xyce_relaxed92_nxcap4p3.sub,tline,full,20p,4.3,26.0,,True,35.01,xyce_pybis/tb_rootcause_nxcap4p3.cir,xyce_pybis/tb_rootcause_nxcap4p3.cir.csv,2542,25.41,False,1.55458923,1.55728195,1.55268141,1.55728195,0.29,1.00198559,-0.00706295256,,
nxcap4p4,driver_OutputInput_Typical_xyce_relaxed92_nxcap4p4.sub,tline,full,20p,4.4,26.0,,True,35.02,xyce_pybis/tb_rootcause_nxcap4p4.cir,xyce_pybis/tb_rootcause_nxcap4p4.cir.csv,939,9.38,False,1.55269241,1.55269241,1.55121402,1.55121402,0.26,1.00435616,-0.00299440214,,
kurcap4p2,driver_OutputInput_Typical_xyce_relaxed92_kurcap4p2.sub,tline,full,20p,,26.0,,True,45.02,xyce_pybis/tb_rootcause_kurcap4p2.cir,xyce_pybis/tb_rootcause_kurcap4p2.cir.csv,2197,21.96,False,1.48732873,1.55728185,1.48716638,1.55728185,4.87000003,0.948980779,0.00175063604,4.2,
kdrcap4p2,driver_OutputInput_Typical_xyce_relaxed92_kdrcap4p2.sub,tline,full,20p,,26.0,,True,45.02,xyce_pybis/tb_rootcause_kdrcap4p2.cir,xyce_pybis/tb_rootcause_kdrcap4p2.cir.csv,2194,21.93,False,1.51202349,1.55729186,1.51197655,1.55729186,4.84000005,0.97340508,0.00372201897,,4.2
kurkdrcap4p2,driver_OutputInput_Typical_xyce_relaxed92_kurkdrcap4p2.sub,tline,full,20p,,26.0,0,False,3.24,xyce_pybis/tb_rootcause_kurkdrcap4p2.cir,xyce_pybis/tb_rootcause_kurkdrcap4p2.cir.csv,2601,26.0,True,0.689872241,1.55728306,0.792240395,1.55728295,0.88,0.221073901,-0.0722271218,4.2,4.2
rload_kurkdrcap4p2,driver_OutputInput_Typical_xyce_relaxed92_kurkdrcap4p2.sub,rload,full,20p,,26.0,,True,45.01,xyce_pybis/tb_rootcause_rload_kurkdrcap4p2.cir,xyce_pybis/tb_rootcause_rload_kurkdrcap4p2.cir.csv,2527,25.259999999999998,False,1.54723818,1.55728077,,,0.14,1.00868925,0.00178320319,4.2,4.2
