bench,bench_title,candidate,candidate_title,mode,cap_ns,softness,model,returncode,timed_out,wall_s,deck,output,rows,t_end_ns,completed,vout_last,vout_min,vout_max,nx_last,nx_max,compare_stop_ns,rmse_mv,max_abs_mv,mean_err_mv
channel_pulsetrain_200p,"50-ohm channel pulse train, 200 ps edge",tanh92,baseline tanh92,base,,,driver_OutputInput_Typical_xyce_relaxed92.sub,0,False,5.86,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_tanh92.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_tanh92.cir.csv,4001,40.0,True,1.53897168,-0.0619283279,1.68153977,1.18,2.77,40.0,27.388658038351675,126.83612730311711,-0.2850881887892323
channel_pulsetrain_200p,"50-ohm channel pulse train, 200 ps edge",hard4p1,KUR/KDR arg hard cap 4.1 ns,hard,4.1,,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p1.sub,0,False,5.86,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_hard4p1.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_hard4p1.cir.csv,4001,40.0,True,1.53897168,-0.0619283279,1.68153977,1.18,2.77,40.0,27.388658038351675,126.83612730311711,-0.2850881887892323
channel_pulsetrain_200p,"50-ohm channel pulse train, 200 ps edge",hard4p2,KUR/KDR arg hard cap 4.2 ns,hard,4.2,,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p2.sub,0,False,6.03,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_hard4p2.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_hard4p2.cir.csv,4001,40.0,True,1.53897168,-0.0619283279,1.68153977,1.18,2.77,40.0,27.388658038351675,126.83612730311711,-0.2850881887892323
channel_pulsetrain_200p,"50-ohm channel pulse train, 200 ps edge",flat4p1,KUR/KDR table flat tail after 4.1 ns,flat,4.1,,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p1.sub,0,False,5.82,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_flat4p1.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_flat4p1.cir.csv,4001,40.0,True,1.53897168,-0.0619283279,1.68153977,1.18,2.77,40.0,27.388658038351675,126.83612730311711,-0.2850881887892323
channel_pulsetrain_200p,"50-ohm channel pulse train, 200 ps edge",flat4p2,KUR/KDR table flat tail after 4.2 ns,flat,4.2,,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p2.sub,0,False,5.77,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_flat4p2.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_flat4p2.cir.csv,4001,40.0,True,1.53897168,-0.0619283279,1.68153977,1.18,2.77,40.0,27.388658038351675,126.83612730311711,-0.2850881887892323
channel_pulsetrain_200p,"50-ohm channel pulse train, 200 ps edge",soft4p2k20,"KUR/KDR arg soft cap 4.2 ns, k=20",soft,4.2,20.0,driver_OutputInput_Typical_xyce_relaxed92_tailsoft4p2k20.sub,0,False,6.2,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_soft4p2k20.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_soft4p2k20.cir.csv,4001,40.0,True,1.53897168,-0.0619283279,1.68153977,1.18,2.77,40.0,27.388658038351675,126.83612730311711,-0.2850881887892323
channel_bitpattern_200p,"50-ohm channel deterministic bit pattern, 200 ps edge",tanh92,baseline tanh92,base,,,driver_OutputInput_Typical_xyce_relaxed92.sub,0,False,6.06,xyce_pybis/tb_tailfix_channel_bitpattern_200p_tanh92.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_tanh92.cir.csv,4501,45.0,True,3.43863813e-05,-0.0102478502,1.54900968,5.96,5.96,45.0,10.998838784173,74.23575544976352,1.9152673416087473
channel_bitpattern_200p,"50-ohm channel deterministic bit pattern, 200 ps edge",hard4p1,KUR/KDR arg hard cap 4.1 ns,hard,4.1,,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p1.sub,0,False,6.25,xyce_pybis/tb_tailfix_channel_bitpattern_200p_hard4p1.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_hard4p1.cir.csv,4501,45.0,True,3.07843355e-05,-0.0103113021,1.55863544,5.96,5.96,45.0,22.265530395586353,73.361827234862,-6.483809351789971
channel_bitpattern_200p,"50-ohm channel deterministic bit pattern, 200 ps edge",hard4p2,KUR/KDR arg hard cap 4.2 ns,hard,4.2,,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p2.sub,0,False,6.24,xyce_pybis/tb_tailfix_channel_bitpattern_200p_hard4p2.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_hard4p2.cir.csv,4501,45.0,True,3.22100196e-05,-0.0102932942,1.55729353,5.96,5.96,45.0,19.830208978517415,73.45796423486279,-5.196382128052376
channel_bitpattern_200p,"50-ohm channel deterministic bit pattern, 200 ps edge",flat4p1,KUR/KDR table flat tail after 4.1 ns,flat,4.1,,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p1.sub,0,False,6.29,xyce_pybis/tb_tailfix_channel_bitpattern_200p_flat4p1.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_flat4p1.cir.csv,4501,45.0,True,3.08297131e-05,-0.010310934,1.55863516,5.96,5.96,45.0,22.26520552868568,73.36206223486197,-6.484718050503919
channel_bitpattern_200p,"50-ohm channel deterministic bit pattern, 200 ps edge",flat4p2,KUR/KDR table flat tail after 4.2 ns,flat,4.2,,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p2.sub,0,False,6.36,xyce_pybis/tb_tailfix_channel_bitpattern_200p_flat4p2.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_flat4p2.cir.csv,4501,45.0,True,3.22151684e-05,-0.0102932056,1.55729342,5.96,5.96,45.0,19.830243780563883,73.45800823486282,-5.196138793747754
channel_bitpattern_200p,"50-ohm channel deterministic bit pattern, 200 ps edge",soft4p2k20,"KUR/KDR arg soft cap 4.2 ns, k=20",soft,4.2,20.0,driver_OutputInput_Typical_xyce_relaxed92_tailsoft4p2k20.sub,0,False,6.86,xyce_pybis/tb_tailfix_channel_bitpattern_200p_soft4p2k20.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_soft4p2k20.cir.csv,4501,45.0,True,3.18947187e-05,-0.0102941896,1.55729292,5.96,5.96,45.0,19.83223887605968,73.45722673486277,-5.1984486950869835
