bench,bench_title,candidate,candidate_title,mode,cap_ns,softness,model,returncode,timed_out,wall_s,deck,output,rows,t_end_ns,completed,vout_last,vout_min,vout_max,nx_last,nx_max,compare_stop_ns,rmse_mv,max_abs_mv,mean_err_mv
spisim_pulse200p,"SPISim-style T-line pulse, 200 ps edge",tanh92,baseline tanh92,base,,,driver_OutputInput_Typical_xyce_relaxed92.sub,0,False,2.84,xyce_pybis/tb_tailfix_spisim_pulse200p_tanh92.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_tanh92.cir.csv,2001,20.0,True,-0.012363636,-0.0127670781,1.5569411,0.91,1.73,20.0,4.133254575470218,82.71861129438543,1.2587203057931862
spisim_pulse200p,"SPISim-style T-line pulse, 200 ps edge",hard4p1,KUR/KDR arg hard cap 4.1 ns,hard,4.1,,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p1.sub,0,False,2.86,xyce_pybis/tb_tailfix_spisim_pulse200p_hard4p1.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_hard4p1.cir.csv,2001,20.0,True,-0.012363636,-0.0127670781,1.5569411,0.91,1.73,20.0,4.133254575470218,82.71861129438543,1.2587203057931862
spisim_pulse200p,"SPISim-style T-line pulse, 200 ps edge",hard4p2,KUR/KDR arg hard cap 4.2 ns,hard,4.2,,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p2.sub,0,False,2.89,xyce_pybis/tb_tailfix_spisim_pulse200p_hard4p2.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_hard4p2.cir.csv,2001,20.0,True,-0.012363636,-0.0127670781,1.5569411,0.91,1.73,20.0,4.133254575470218,82.71861129438543,1.2587203057931862
spisim_pulse200p,"SPISim-style T-line pulse, 200 ps edge",flat4p1,KUR/KDR table flat tail after 4.1 ns,flat,4.1,,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p1.sub,0,False,2.78,xyce_pybis/tb_tailfix_spisim_pulse200p_flat4p1.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_flat4p1.cir.csv,2001,20.0,True,-0.012363636,-0.0127670781,1.5569411,0.91,1.73,20.0,4.133254575470218,82.71861129438543,1.2587203057931862
spisim_pulse200p,"SPISim-style T-line pulse, 200 ps edge",flat4p2,KUR/KDR table flat tail after 4.2 ns,flat,4.2,,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p2.sub,0,False,2.8,xyce_pybis/tb_tailfix_spisim_pulse200p_flat4p2.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_flat4p2.cir.csv,2001,20.0,True,-0.012363636,-0.0127670781,1.5569411,0.91,1.73,20.0,4.133254575470218,82.71861129438543,1.2587203057931862
spisim_pulse200p,"SPISim-style T-line pulse, 200 ps edge",soft4p2k5,"KUR/KDR arg soft cap 4.2 ns, k=5",soft,4.2,5.0,driver_OutputInput_Typical_xyce_relaxed92_tailsoft4p2k5.sub,0,False,3.09,xyce_pybis/tb_tailfix_spisim_pulse200p_soft4p2k5.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_soft4p2k5.cir.csv,2001,20.0,True,-0.012363636,-0.0127670781,1.5569411,0.91,1.73,20.0,4.133254575472023,82.71861129438543,1.2587203058927787
spisim_pulse200p,"SPISim-style T-line pulse, 200 ps edge",soft4p2k10,"KUR/KDR arg soft cap 4.2 ns, k=10",soft,4.2,10.0,driver_OutputInput_Typical_xyce_relaxed92_tailsoft4p2k10.sub,0,False,2.97,xyce_pybis/tb_tailfix_spisim_pulse200p_soft4p2k10.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_soft4p2k10.cir.csv,2001,20.0,True,-0.012363636,-0.0127670781,1.5569411,0.91,1.73,20.0,4.133254575470218,82.71861129438543,1.2587203057931862
spisim_pulse200p,"SPISim-style T-line pulse, 200 ps edge",soft4p2k20,"KUR/KDR arg soft cap 4.2 ns, k=20",soft,4.2,20.0,driver_OutputInput_Typical_xyce_relaxed92_tailsoft4p2k20.sub,0,False,2.95,xyce_pybis/tb_tailfix_spisim_pulse200p_soft4p2k20.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_soft4p2k20.cir.csv,2001,20.0,True,-0.012363636,-0.0127670781,1.5569411,0.91,1.73,20.0,4.133254575470218,82.71861129438543,1.2587203057931862
spisim_rfr200p,"SPISim-style T-line rise-fall-rise, 200 ps edge",tanh92,baseline tanh92,base,,,driver_OutputInput_Typical_xyce_relaxed92.sub,,True,45.02,xyce_pybis/tb_tailfix_spisim_rfr200p_tanh92.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_tanh92.cir.csv,2190,21.89,False,1.5124753,-0.0127670781,1.55729263,4.80000004,5.96,21.89,3.0888305315829925,23.95002182473793,1.387288118496676
spisim_rfr200p,"SPISim-style T-line rise-fall-rise, 200 ps edge",hard4p1,KUR/KDR arg hard cap 4.1 ns,hard,4.1,,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p1.sub,0,False,3.46,xyce_pybis/tb_tailfix_spisim_rfr200p_hard4p1.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_hard4p1.cir.csv,2601,26.0,True,0.792240395,-0.0127670781,1.55728132,0.88,5.96,26.0,30.410123691298647,61.98751687852355,-15.704315788599658
spisim_rfr200p,"SPISim-style T-line rise-fall-rise, 200 ps edge",hard4p2,KUR/KDR arg hard cap 4.2 ns,hard,4.2,,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p2.sub,0,False,3.34,xyce_pybis/tb_tailfix_spisim_rfr200p_hard4p2.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_hard4p2.cir.csv,2601,26.0,True,0.792240395,-0.0127670781,1.55728295,0.88,5.96,26.0,26.326862852511223,54.41096687852354,-13.237122001671683
spisim_rfr200p,"SPISim-style T-line rise-fall-rise, 200 ps edge",flat4p1,KUR/KDR table flat tail after 4.1 ns,flat,4.1,,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p1.sub,0,False,3.48,xyce_pybis/tb_tailfix_spisim_rfr200p_flat4p1.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_flat4p1.cir.csv,2601,26.0,True,0.792240395,-0.0127670781,1.55728132,0.88,5.96,26.0,30.410109605566642,61.98751687852355,-15.705330001855522
spisim_rfr200p,"SPISim-style T-line rise-fall-rise, 200 ps edge",flat4p2,KUR/KDR table flat tail after 4.2 ns,flat,4.2,,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p2.sub,0,False,3.34,xyce_pybis/tb_tailfix_spisim_rfr200p_flat4p2.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_flat4p2.cir.csv,2601,26.0,True,0.792240395,-0.0127670781,1.55728295,0.88,5.96,26.0,26.326865351263162,54.41096687852354,-13.236860574267265
spisim_rfr200p,"SPISim-style T-line rise-fall-rise, 200 ps edge",soft4p2k5,"KUR/KDR arg soft cap 4.2 ns, k=5",soft,4.2,5.0,driver_OutputInput_Typical_xyce_relaxed92_tailsoft4p2k5.sub,,True,45.01,xyce_pybis/tb_tailfix_spisim_rfr200p_soft4p2k5.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_soft4p2k5.cir.csv,2526,25.25,False,1.54242502,-0.0127670781,1.55728094,0.13,5.96,25.25,26.763698851563163,54.41097687852348,-13.596806874477673
spisim_rfr200p,"SPISim-style T-line rise-fall-rise, 200 ps edge",soft4p2k10,"KUR/KDR arg soft cap 4.2 ns, k=10",soft,4.2,10.0,driver_OutputInput_Typical_xyce_relaxed92_tailsoft4p2k10.sub,,True,45.01,xyce_pybis/tb_tailfix_spisim_rfr200p_soft4p2k10.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_soft4p2k10.cir.csv,2526,25.25,False,1.54242502,-0.0127670781,1.55728094,0.13,5.96,25.25,26.74742554246935,54.41096687852354,-13.650407164897393
spisim_rfr200p,"SPISim-style T-line rise-fall-rise, 200 ps edge",soft4p2k20,"KUR/KDR arg soft cap 4.2 ns, k=20",soft,4.2,20.0,driver_OutputInput_Typical_xyce_relaxed92_tailsoft4p2k20.sub,0,False,3.74,xyce_pybis/tb_tailfix_spisim_rfr200p_soft4p2k20.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_soft4p2k20.cir.csv,2601,26.0,True,0.792240395,-0.0127670781,1.55728295,0.88,5.96,26.0,26.327781458110778,54.41096687852354,-13.239105773347966
