candidate,candidate_title,bench,completed,t_end_ns,wall_s,rmse_mv,max_abs_mv,model,deck,output
tanh92,baseline tanh92,spisim_pulse200p,True,20.0,2.84,4.133254575470218,82.71861129438543,driver_OutputInput_Typical_xyce_relaxed92.sub,xyce_pybis/tb_tailfix_spisim_pulse200p_tanh92.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_tanh92.cir.csv
tanh92,baseline tanh92,spisim_rfr200p,False,21.89,45.02,3.0888305315829925,23.95002182473793,driver_OutputInput_Typical_xyce_relaxed92.sub,xyce_pybis/tb_tailfix_spisim_rfr200p_tanh92.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_tanh92.cir.csv
tanh92,baseline tanh92,channel_pulsetrain_200p,True,40.0,5.86,27.388658038351675,126.83612730311711,driver_OutputInput_Typical_xyce_relaxed92.sub,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_tanh92.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_tanh92.cir.csv
tanh92,baseline tanh92,channel_bitpattern_200p,True,45.0,6.06,10.998838784173,74.23575544976352,driver_OutputInput_Typical_xyce_relaxed92.sub,xyce_pybis/tb_tailfix_channel_bitpattern_200p_tanh92.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_tanh92.cir.csv
hard4p2,KUR/KDR arg hard cap 4.2 ns,spisim_pulse200p,True,20.0,2.89,4.133254575470218,82.71861129438543,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p2.sub,xyce_pybis/tb_tailfix_spisim_pulse200p_hard4p2.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_hard4p2.cir.csv
hard4p2,KUR/KDR arg hard cap 4.2 ns,spisim_rfr200p,True,26.0,3.34,26.326862852511223,54.41096687852354,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p2.sub,xyce_pybis/tb_tailfix_spisim_rfr200p_hard4p2.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_hard4p2.cir.csv
hard4p2,KUR/KDR arg hard cap 4.2 ns,channel_pulsetrain_200p,True,40.0,6.03,27.388658038351675,126.83612730311711,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p2.sub,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_hard4p2.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_hard4p2.cir.csv
hard4p2,KUR/KDR arg hard cap 4.2 ns,channel_bitpattern_200p,True,45.0,6.24,19.830208978517415,73.45796423486279,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p2.sub,xyce_pybis/tb_tailfix_channel_bitpattern_200p_hard4p2.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_hard4p2.cir.csv
hard4p2,KUR/KDR arg hard cap 4.2 ns,channel_prbs7_200n,False,70.2,150.01,29.99849229237104,69.73744351812577,driver_OutputInput_Typical_xyce_relaxed92_tailhard4p2.sub,xyce_pybis/tb_tailfix_channel_prbs7_200n_hard4p2.cir,xyce_pybis/tb_tailfix_channel_prbs7_200n_hard4p2.cir.csv
flat4p2,KUR/KDR table flat tail after 4.2 ns,spisim_pulse200p,True,20.0,2.8,4.133254575470218,82.71861129438543,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p2.sub,xyce_pybis/tb_tailfix_spisim_pulse200p_flat4p2.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_flat4p2.cir.csv
flat4p2,KUR/KDR table flat tail after 4.2 ns,spisim_rfr200p,True,26.0,3.34,26.326865351263162,54.41096687852354,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p2.sub,xyce_pybis/tb_tailfix_spisim_rfr200p_flat4p2.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_flat4p2.cir.csv
flat4p2,KUR/KDR table flat tail after 4.2 ns,channel_pulsetrain_200p,True,40.0,5.77,27.388658038351675,126.83612730311711,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_flat4p2.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_flat4p2.cir.csv
flat4p2,KUR/KDR table flat tail after 4.2 ns,channel_bitpattern_200p,True,45.0,6.36,19.830243780563883,73.45800823486282,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_bitpattern_200p_flat4p2.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_flat4p2.cir.csv
edge50,edge/latch tanh50 only,channel_pulsetrain_200p,True,40.0,5.68,28.344359413980058,130.78145254253837,driver_OutputInput_Typical_xyce_relaxed92_edge50.sub,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_edge50.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_edge50.cir.csv
edge50,edge/latch tanh50 only,channel_bitpattern_200p,True,45.0,6.14,10.935314336199891,73.64905466551413,driver_OutputInput_Typical_xyce_relaxed92_edge50.sub,xyce_pybis/tb_tailfix_channel_bitpattern_200p_edge50.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_edge50.cir.csv
edge50_flat4p2,edge/latch tanh50 + KUR/KDR flat tail 4.2 ns,spisim_pulse200p,True,20.0,2.78,6.303963875110594,94.56009045896482,driver_OutputInput_Typical_xyce_relaxed92_edge50_tailflat4p2.sub,xyce_pybis/tb_tailfix_spisim_pulse200p_edge50_flat4p2.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_edge50_flat4p2.cir.csv
edge50_flat4p2,edge/latch tanh50 + KUR/KDR flat tail 4.2 ns,spisim_rfr200p,True,26.0,3.33,26.31456354792342,54.41096687852354,driver_OutputInput_Typical_xyce_relaxed92_edge50_tailflat4p2.sub,xyce_pybis/tb_tailfix_spisim_rfr200p_edge50_flat4p2.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_edge50_flat4p2.cir.csv
edge50_flat4p2,edge/latch tanh50 + KUR/KDR flat tail 4.2 ns,channel_pulsetrain_200p,True,40.0,5.63,28.344359413980058,130.78145254253837,driver_OutputInput_Typical_xyce_relaxed92_edge50_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_edge50_flat4p2.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_edge50_flat4p2.cir.csv
edge50_flat4p2,edge/latch tanh50 + KUR/KDR flat tail 4.2 ns,channel_bitpattern_200p,True,45.0,5.95,19.79749562063592,71.89446723486553,driver_OutputInput_Typical_xyce_relaxed92_edge50_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_bitpattern_200p_edge50_flat4p2.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_edge50_flat4p2.cir.csv
edge50_flat4p2,edge/latch tanh50 + KUR/KDR flat tail 4.2 ns,channel_prbs7_200n,True,200.0,21.93,32.04881155184359,73.37382046048901,driver_OutputInput_Typical_xyce_relaxed92_edge50_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_prbs7_200n_edge50_flat4p2.cir,xyce_pybis/tb_tailfix_channel_prbs7_200n_edge50_flat4p2.cir.csv
edge50_flat4p2,edge/latch tanh50 + KUR/KDR flat tail 4.2 ns,channel_prbs7_1000n,False,205.27,260.02,32.62550110670452,73.37382046048901,driver_OutputInput_Typical_xyce_relaxed92_edge50_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_prbs7_1000n_edge50_flat4p2.cir,xyce_pybis/tb_tailfix_channel_prbs7_1000n_edge50_flat4p2.cir.csv
