freq_ghz,original_s21_db,original_s12_db,bbs_s21_db,bbs_s12_db,original_s21_real,original_s21_imag
0.05,-0.02039039622382636,-0.02039039622382636,-0.016106192116148634,-0.016694245345526975,0.991131566425437,-0.113904171881998
0.1,-0.034624305662283764,-0.034624305662283764,-0.01232819088322675,-0.01344957660836853,0.970231497636175,-0.225188801681626
0.15,-0.048928514778341675,-0.048928514778341675,-0.011111283779980522,-0.012772873208603151,0.936986746275067,-0.332945726022203
0.2,-0.06310518199674132,-0.06310518199674132,-0.015185847931342228,-0.017249407848047106,0.891891544570678,-0.436009203930046
0.25,-0.07739442254286164,-0.07739442254286164,-0.02512510914833542,-0.02744150677803404,0.835563943536616,-0.533076000162164
0.3,-0.09183414313808459,-0.09183414313808459,-0.040294341090278546,-0.0427479907033984,0.768793499615531,-0.62292291863901
0.35,-0.10635406565550509,-0.10635406565550509,-0.05963768045460449,-0.062146364549219915,0.692505296233672,-0.704446525364185
0.4,-0.1208415577070116,-0.1208415577070116,-0.08203942575111088,-0.084544366226129,0.607735918733073,-0.776669685404528
0.45,-0.1351692061715953,-0.1351692061715953,-0.10644859644772618,-0.10890604015797742,0.51561520191567,-0.838746961188168
0.5,-0.14920774784904822,-0.14920774784904822,-0.13191320642570625,-0.1342891003331314,0.41734887616031,-0.889970246883712
0.55,-0.162834706698773,-0.162834706698773,-0.15758761759614626,-0.1598546374669904,0.314201348366723,-0.929772894630588
0.6,-0.17594171068017125,-0.17594171068017125,-0.18273393772843702,-0.18486999060451004,0.207479150373579,-0.957731679555606
0.65,-0.18844089091069216,-0.18844089091069216,-0.2067224994097503,-0.208710071192907,0.0985155941032456,-0.973566865494257
0.7,-0.20027012408794076,-0.20027012408794076,-0.22903160846288817,-0.2308575550887071,-0.0113431621107117,-0.977140993695358
0.75,-0.21139683518952931,-0.21139683518952931,-0.24924580094822857,-0.2509013328480037,-0.120750760511341,-0.968457028612257
0.8,-0.2218201748871337,-0.2218201748871337,-0.267052095641215,-0.26853280029032583,-0.228372359414258,-0.947656337442522
0.85,-0.23157149687884293,-0.23157149687884293,-0.28223425476123926,-0.2835400635369411,-0.332895894728169,-0.915016755548849
0.9,-0.24071315684518757,-0.24071315684518757,-0.29466557628807377,-0.29580062392595047,-0.433043389975926,-0.870950753204691
0.95,-0.24933573479166596,-0.24933573479166596,-0.3043011413778311,-0.30527349646294755,-0.527582759996713,-0.816003502050929
1.0,-0.25755384866776876,-0.25755384866776876,-0.31117068985050783,-0.3119919561640751,-0.615340430012263,-0.750850463000997
1.05,-0.2655007817116837,-0.2655007817116837,-0.31537336902700214,-0.3160581711407955,-0.695214919234847,-0.676293995795591
1.1,-0.2733221903232182,-0.2733221903232182,-0.31707547923284296,-0.31764085173082685,-0.766191335531849,-0.593258434090473
1.15,-0.2811691937373196,-0.2811691937373196,-0.31651202194354744,-0.31697672060234056,-0.827356515419445,-0.502783084283953
1.2,-0.28919117080914963,-0.28919117080914963,-0.31399236595402114,-0.3143761126039988,-0.87791434357653,-0.406012691282844
1.25,-0.297528601681504,-0.297528601681504,-0.30990973112249787,-0.3102323942985994,-0.917200619804572,-0.30418506392621
1.3,-0.30630629161130307,-0.30630629161130307,-0.30475351823111346,-0.3050342224726864,-0.944696728606694,-0.198615754125457
1.35,-0.3156272996217758,-0.3156272996217758,-0.299122870067229,-0.2993790214071012,-0.960041322783745,-0.0906799179983739
1.4,-0.3255678654052375,-0.3255678654052375,-0.29373931656891306,-0.2939855333800587,-0.963039266574694,0.0182082694704482
1.45,-0.33617358451774637,-0.33617358451774637,-0.28945600976669883,-0.28970295848347033,-0.953667196461721,0.126618048827151
1.5,-0.3474570260853942,-0.3474570260853942,-0.287260950171076,-0.2875141045266825,-0.932075240133237,0.233125579508525
1.55,-0.35939692190516487,-0.35939692190516487,-0.28827178487211946,-0.2885301533412624,-0.898584668778642,0.336337614380973
1.6,-0.3719389848965159,-0.3719389848965159,-0.2937202402497808,-0.2939751356798395,-0.8536815205015,0.434914409560402
1.65,-0.38499834287229584,-0.38499834287229584,-0.3049250397854629,-0.30515899257549445,-0.798006495003788,0.527590980221465
1.7,-0.398463505143235,-0.398463505143235,-0.32325322352519015,-0.323439159105643,-0.732341653634862,0.613195939347375
1.75,-0.4122017186541338,-0.4122017186541338,-0.35007106415601924,-0.35017187086159723,-0.657594640047517,0.69066734774165
1.8,-0.42606552028027095,-0.42606552028027095,-0.3866871469400213,-0.386655746799702,-0.574781247617009,0.759065238441883
1.85,-0.4399002543615144,-0.4399002543615144,-0.4342914716359441,-0.43407147194403084,-0.485007191810871,0.817580731319353
1.9,-0.4535522998138766,-0.4535522998138766,-0.49389542593846747,-0.49342237553799456,-0.389449899387487,0.865541898085769
1.95,-0.46687773812085664,-0.46687773812085664,-0.5662779491739175,-0.5654811566775131,-0.289341010373526,0.902416750904307
2.0,-0.4797511899368061,-0.4797511899368061,-0.6519429829662003,-0.6507477852806581,-0.185950118106995,0.92781389114968
