case,label,direction,edge_index,input_crossing_ns,context,output_50_delay_ps,slew_20_80_ps
ngspice_refspice,ngspice + io_buf.sp,fall,0,65.10042590196215,11->01,954.9716131404011,167.6323845969843
ngspice_refspice,ngspice + io_buf.sp,rise,1,70.10044798534646,10->11,2280.040186282666,932.0844666226006
ngspice_refspice,ngspice + io_buf.sp,fall,2,95.1004259017784,11->00,954.9720038882141,167.6312306233977
ngspice_refspice,ngspice + io_buf.sp,rise,3,105.10044752841496,00->11,2279.6080306840586,932.8592842029834
ngspice_refspice,ngspice + io_buf.sp,fall,4,125.10042590195783,11->01,954.9726374812068,167.63091311450032
ngspice_refspice,ngspice + io_buf.sp,rise,5,130.10044798554395,10->10,2280.0392532469964,932.0823696067748
ngspice_refspice,ngspice + io_buf.sp,fall,6,135.10042589112,01->01,952.8052644889787,168.1505806288233
ngspice_refspice,ngspice + io_buf.sp,rise,7,140.100447983049,10->11,2280.091390207489,932.1265291946386
ngspice_refspice,ngspice + io_buf.sp,fall,8,155.1004259033245,11->00,954.9780719012625,167.64168136823167
ngspice_refspice,ngspice + io_buf.sp,rise,9,175.10044739742227,00->11,2279.5235122614736,932.9310319658723
ngspice_refspice,ngspice + io_buf.sp,fall,10,185.1004259016507,11->01,954.9494451897947,167.64588957061224
ngspice_refspice,ngspice + io_buf.sp,rise,11,190.10044798461416,10->11,2280.044330567808,932.0904621853344
ngspice_refspice,ngspice + io_buf.sp,fall,12,205.10042590357668,11->01,954.9776010449909,167.6436122056165
ngspice_refspice,ngspice + io_buf.sp,rise,13,210.10044798546122,10->10,2280.0313525614743,932.0575699244705
ngspice_refspice,ngspice + io_buf.sp,fall,14,215.1004258909227,01->00,952.8058304358423,168.14983683495157
ngspice_refspice,ngspice + io_buf.sp,rise,15,225.10044758146375,00->11,2279.591628226089,932.7977243878744
ngspice_refspice,ngspice + io_buf.sp,fall,16,235.10042590199666,11->00,954.9544726001167,167.64476029403144
ngspice_refspice,ngspice + io_buf.sp,rise,17,250.100447580908,00->10,2279.5498208112917,932.9919104591909
ngspice_refspice,ngspice + io_buf.sp,fall,18,255.10042589732785,01->01,952.8485999886676,168.1171204654289
ngspice_refspice,ngspice + io_buf.sp,rise,19,260.1004479836911,10->10,2280.040003522311,932.1145940511402
ngspice_refspice,ngspice + io_buf.sp,fall,20,265.10042589198804,01->01,952.8069455747814,168.16215738484664
ngspice_refspice,ngspice + io_buf.sp,rise,21,270.1004479828292,10->11,2280.085516014571,932.1134488379257
ngspice_refspice,ngspice + io_buf.sp,fall,22,280.1004259024421,11->00,954.9527787189282,167.68474484143684
ngspice_refspice,ngspice + io_buf.sp,rise,23,305.1004475825747,00->10,2279.532631592593,932.9795916434105
ngspice_refspice,ngspice + io_buf.sp,fall,24,310.1004258972907,01->01,952.8456527011053,168.11841815113846
ngspice_refspice,ngspice + io_buf.sp,rise,25,315.10044798318705,10->11,2280.0435823151815,932.1230821018125
ngspice_refspice,ngspice + io_buf.sp,fall,26,335.1004259018146,11->00,954.9735692340982,167.63017820097497
ngspice_refspice,ngspice + io_buf.sp,rise,27,350.1004475717698,00->11,2279.550954812278,932.9913552936802
ngspice_refspice,ngspice + io_buf.sp,fall,28,365.1004259027206,11->01,954.9733473218952,167.6393943661451
ngspice_refspice,ngspice + io_buf.sp,rise,29,370.1004479852507,10->11,2280.0363914766745,932.0730952535117
ngspice_refspice,ngspice + io_buf.sp,fall,30,380.1004259026711,11->01,954.9499702555661,167.68761765426262
ngspice_refspice,ngspice + io_buf.sp,rise,31,385.1004479834487,10->11,2280.0371717744897,932.0536616185783
ngspice_refspice,ngspice + io_buf.sp,fall,32,395.10042590246553,11->00,954.950393692048,167.68626364440905
ngspice_refspice,ngspice + io_buf.sp,rise,33,405.1004475273871,00->10,2279.5989974885133,932.8305490884641
ngspice_refspice,ngspice + io_buf.sp,fall,34,410.10042589995226,01->00,952.8539067315032,168.14963339439302
ngspice_refspice,ngspice + io_buf.sp,rise,35,420.10044752183,00->10,2279.605004836546,932.8545373088639
ngspice_refspice,ngspice + io_buf.sp,fall,36,425.1004258999592,01->01,952.8547802500061,168.14904688686337
ngspice_refspice,ngspice + io_buf.sp,rise,37,430.10044798239386,10->10,2280.0321245168093,932.0744805446626
ngspice_refspice,ngspice + io_buf.sp,fall,38,435.1004258916123,01->00,952.807706663266,168.16168571698518
ngspice_refspice,ngspice + io_buf.sp,rise,39,445.1004475843283,00->10,2279.5899051373253,932.7969462107912
ngspice_refspice,ngspice + io_buf.sp,fall,40,450.1004258995303,01->00,952.8557484884976,168.1484603082888
ngspice_refspice,ngspice + io_buf.sp,rise,41,470.10044740591064,00->10,2279.521923557028,932.9315217755119
ngspice_refspice,ngspice + io_buf.sp,fall,42,475.1004258969497,01->00,952.8466524176175,168.11882254912555
ngspice_refspice,ngspice + io_buf.sp,rise,43,485.10044752409925,00->11,2279.6090824882,932.861519799183
ngspice_refspice,ngspice + io_buf.sp,fall,44,500.10042590247014,11->00,954.97429169031,167.63840713585137
ngspice_refspice,ngspice + io_buf.sp,rise,45,510.1004475279258,00->10,2279.6074656594283,932.8596601652407
ngspice_refspice,ngspice + io_buf.sp,fall,46,515.1004259001152,01->01,952.8532697294279,168.15074099955643
ngspice_refspice,ngspice + io_buf.sp,rise,47,520.1004479821626,10->11,2280.033673054026,932.0749974447717
ngspice_refspice,ngspice + io_buf.sp,fall,48,530.1004259027025,11->01,954.9517015630112,167.68593707678545
ngspice_refspice,ngspice + io_buf.sp,rise,49,535.1004479836446,10->10,2280.03550806705,932.052221510949
ngspice_refspice,ngspice + io_buf.sp,fall,50,540.1004258906845,01->00,952.8071229279693,168.14856152787897
ngspice_refspice,ngspice + io_buf.sp,rise,51,555.1004475168264,00->10,2279.546068254218,932.9666541169665
ngspice_refspice,ngspice + io_buf.sp,fall,52,560.1004258971268,01->00,952.8493290944587,168.11528004314667
ngspice_refspice,ngspice + io_buf.sp,rise,53,575.1004475243548,00->11,2279.549303879948,932.975732214284
ngspice_refspice,ngspice + io_buf.sp,fall,54,585.100425901328,11->00,954.9503058099446,167.64530745471018
ngspice_refspice,ngspice + io_buf.sp,rise,55,595.1004475223455,00->11,2279.603391792635,932.8434855501876
ngspice_refspice,ngspice + io_buf.sp,fall,56,605.1004259022461,11->01,954.95397164265,167.64668701547143
ngspice_refspice,ngspice + io_buf.sp,rise,57,610.1004479849911,10->10,2280.039726840958,932.0768943693396
ngspice_refspice,ngspice + io_buf.sp,fall,58,615.1004258909952,01->01,952.8064722752698,168.14896991856764
ngspice_refspice,ngspice + io_buf.sp,rise,59,620.1004479832301,10->10,2280.090371814377,932.1263205773323
ngspice_refspice,ngspice + io_buf.sp,fall,60,625.1004258925823,01->01,952.8119954587404,168.16636024602272
ngspice_refspice,ngspice + io_buf.sp,rise,61,630.1004479831947,10->10,2280.0799363141505,932.0970921176181
ngspice_refspice,ngspice + io_buf.sp,fall,62,635.1004258923235,01->00,952.8127066595783,168.16480489543173
ngspice_refspice,ngspice + io_buf.sp,rise,63,670.1004475018871,00->11,2279.552736884896,932.9968937351787
ngspice_refspice,ngspice + io_buf.sp,fall,64,700.1004259019628,11->01,954.9716119432921,167.6323906329808
ngspice_refspice,ngspice + io_buf.sp,rise,65,705.1004479853461,10->11,2280.04018637899,932.0844590232329
ngspice_refspice,ngspice + io_buf.sp,fall,66,730.1004259017784,11->00,954.9720038750718,167.63123063480617
ngspice_refspice,ngspice + io_buf.sp,rise,67,740.100447528415,00->11,2279.6080306740264,932.859284183409
ngspice_refspice,ngspice + io_buf.sp,fall,68,760.1004259019578,11->01,954.9726374792215,167.63091313678788
ngspice_refspice,ngspice + io_buf.sp,rise,69,765.100447985544,10->10,2280.039253235826,932.0823696016397
ngspice_refspice,ngspice + io_buf.sp,fall,70,770.1004258911199,01->01,952.8052644841082,168.15058062424404
ngspice_refspice,ngspice + io_buf.sp,rise,71,775.100447983049,10->11,2280.0913901956305,932.1265291878888
ngspice_refspice,ngspice + io_buf.sp,fall,72,790.1004259033244,11->00,954.9780718961803,167.6416813619319
ngspice_refspice,ngspice + io_buf.sp,rise,73,810.1004473974223,00->11,2279.5235122494296,932.9310319606577
ngspice_refspice,ngspice + io_buf.sp,fall,74,820.1004259016507,11->01,954.9494451846596,167.64588956560945
ngspice_refspice,ngspice + io_buf.sp,rise,75,825.1004479846141,10->11,2280.0443305556587,932.0904621787699
ngspice_refspice,ngspice + io_buf.sp,fall,76,840.1004259035767,11->01,954.9776010401999,167.6436122002167
ngspice_refspice,ngspice + io_buf.sp,rise,77,845.1004479854612,10->10,2280.031352549351,932.0575699180648
ngspice_refspice,ngspice + io_buf.sp,fall,78,850.1004258909228,01->00,952.8058304309718,168.14983682978996
ngspice_refspice,ngspice + io_buf.sp,rise,79,860.1004475814638,00->11,2279.5916282142043,932.7977243829246
ngspice_refspice,ngspice + io_buf.sp,fall,80,870.1004259019967,11->00,954.9544725950874,167.6447602875199
ngspice_refspice,ngspice + io_buf.sp,rise,81,885.100447580908,00->10,2279.5498207992746,932.9919104540028
ngspice_refspice,ngspice + io_buf.sp,fall,82,890.1004258973278,01->01,952.8485999839561,168.1171204603467
ngspice_refspice,ngspice + io_buf.sp,rise,83,895.1004479836911,10->10,2280.0400035104,932.1145940447345
ngspice_refspice,ngspice + io_buf.sp,fall,84,900.1004258919879,01->01,952.8069455727168,168.16215741846327
ngspice_refspice,ngspice + io_buf.sp,rise,85,905.1004479828292,10->11,2280.0855160031892,932.1134488330023
ngspice_refspice,ngspice + io_buf.sp,fall,86,915.1004259024421,11->00,954.9527787140579,167.6847448338665
ngspice_refspice,ngspice + io_buf.sp,rise,87,940.1004475825747,00->10,2279.5326315807347,932.9795916383812
ngspice_refspice,ngspice + io_buf.sp,fall,88,945.1004258972907,01->01,952.8456526961819,168.118418146268
ngspice_refspice,ngspice + io_buf.sp,rise,89,950.100447983187,10->11,2280.043582303482,932.123082095301
ngspice_refspice,ngspice + io_buf.sp,fall,90,970.1004259018146,11->00,954.9735692342041,167.6301781548646
ngspice_refspice,ngspice + io_buf.sp,rise,91,985.1004475717696,00->11,2279.5509548241366,932.9913552985506
xyce_refspice,Xyce + io_buf.sp,fall,0,65.09999999795488,11->01,954.2796875871238,167.86866522112638
xyce_refspice,Xyce + io_buf.sp,rise,1,70.10000003957654,10->11,2274.7031476095267,933.0420897481891
xyce_refspice,Xyce + io_buf.sp,fall,2,95.10000003031776,11->00,954.2800236379695,167.8575347463415
xyce_refspice,Xyce + io_buf.sp,rise,3,105.10000002638687,00->11,2274.989389635181,928.083295006822
xyce_refspice,Xyce + io_buf.sp,fall,4,125.10000000983943,11->01,953.2684606431335,167.36931896446322
xyce_refspice,Xyce + io_buf.sp,rise,5,130.09999996436628,10->10,2275.6461763290454,926.68589668913
xyce_refspice,Xyce + io_buf.sp,fall,6,135.0999998262623,01->01,952.5276260282607,168.7511931871219
xyce_refspice,Xyce + io_buf.sp,rise,7,140.10000036849377,10->11,2274.6200799165626,932.0688059303887
xyce_refspice,Xyce + io_buf.sp,fall,8,155.1000000916722,11->00,954.3327124210516,168.07071444650387
xyce_refspice,Xyce + io_buf.sp,rise,9,175.10000018033375,00->11,2276.3308372558504,927.0627134323254
xyce_refspice,Xyce + io_buf.sp,fall,10,185.09999977898514,11->01,954.2411367830598,168.08800073176386
xyce_refspice,Xyce + io_buf.sp,rise,11,190.09999995681656,10->11,2273.559059799043,934.715467162546
xyce_refspice,Xyce + io_buf.sp,fall,12,205.0999998507224,11->01,954.3662596929172,167.94015088491636
xyce_refspice,Xyce + io_buf.sp,rise,13,210.09999986930947,10->10,2274.0347548589034,930.498292265359
xyce_refspice,Xyce + io_buf.sp,fall,14,215.09999992735248,01->00,952.3255308668438,168.75616626258318
xyce_refspice,Xyce + io_buf.sp,rise,15,225.10000002863015,00->11,2277.9966494074033,924.7819085374816
xyce_refspice,Xyce + io_buf.sp,fall,16,235.1000002985667,11->00,954.8337770518004,168.233653411198
xyce_refspice,Xyce + io_buf.sp,rise,17,250.1000000543471,00->10,2276.1703755418193,927.6349066658031
xyce_refspice,Xyce + io_buf.sp,fall,18,255.10000033479227,01->01,952.5431538691781,168.23580467741948
xyce_refspice,Xyce + io_buf.sp,rise,19,260.0999998839908,10->10,2273.890467490039,928.0608526684157
xyce_refspice,Xyce + io_buf.sp,fall,20,265.1000003751297,01->01,951.3130403097324,167.9225724192676
xyce_refspice,Xyce + io_buf.sp,rise,21,270.100000426866,10->11,2275.120649295194,927.0531138913083
xyce_refspice,Xyce + io_buf.sp,fall,22,280.0999998975572,11->00,954.3335313327697,168.09250398512785
xyce_refspice,Xyce + io_buf.sp,rise,23,305.1000000953377,00->10,2273.9706101263896,930.967354339567
xyce_refspice,Xyce + io_buf.sp,fall,24,310.1000001900927,01->01,952.7623254845122,169.30482583478044
xyce_refspice,Xyce + io_buf.sp,rise,25,315.09999984970136,10->11,2274.574943170077,929.2323227340739
xyce_refspice,Xyce + io_buf.sp,fall,26,335.09999966956065,11->00,954.6597275469111,168.21517184992643
xyce_refspice,Xyce + io_buf.sp,rise,27,350.0999998384148,00->11,2275.9167683282335,931.2273702277778
xyce_refspice,Xyce + io_buf.sp,fall,28,365.0999997824539,11->01,954.2529152563532,167.85486875270342
xyce_refspice,Xyce + io_buf.sp,rise,29,370.0999998430956,10->11,2273.6906668939987,931.2733117800773
xyce_refspice,Xyce + io_buf.sp,fall,30,380.0999998715909,11->01,954.2872336218036,167.49329128128227
xyce_refspice,Xyce + io_buf.sp,rise,31,385.10000012184554,10->11,2276.756732508616,925.2268682136837
xyce_refspice,Xyce + io_buf.sp,fall,32,395.09999988714185,11->00,954.3697281096654,167.840468558543
xyce_refspice,Xyce + io_buf.sp,rise,33,405.1000002518431,00->10,2275.311743491033,927.0032135380945
xyce_refspice,Xyce + io_buf.sp,fall,34,410.10000028854273,01->00,952.3911172190464,167.4121314358128
xyce_refspice,Xyce + io_buf.sp,rise,35,420.09999975148327,00->10,2273.677686107888,927.3942715976392
xyce_refspice,Xyce + io_buf.sp,fall,36,425.1000000335218,01->01,952.6742190992371,168.1327682781872
xyce_refspice,Xyce + io_buf.sp,rise,37,430.1000003095025,10->10,2276.8285384217597,925.2331327751821
xyce_refspice,Xyce + io_buf.sp,fall,38,435.10000000345525,01->00,952.7880779439922,168.93782409110239
xyce_refspice,Xyce + io_buf.sp,rise,39,445.10000006327476,00->10,2276.458484145034,931.3688266830684
xyce_refspice,Xyce + io_buf.sp,fall,40,450.0999996809035,01->00,951.104779207472,166.90452724865463
xyce_refspice,Xyce + io_buf.sp,rise,41,470.09999980678,00->10,2276.317059698219,929.9558787874097
xyce_refspice,Xyce + io_buf.sp,fall,42,475.1000000023489,01->00,952.3834903632886,168.28246697169487
xyce_refspice,Xyce + io_buf.sp,rise,43,485.09999970803835,00->11,2275.5199837354776,926.3638710923732
xyce_refspice,Xyce + io_buf.sp,fall,44,500.10000014746197,11->00,954.3769259666346,168.1342206018315
xyce_refspice,Xyce + io_buf.sp,rise,45,510.100000166007,00->10,2277.5271930233175,926.7022538865288
xyce_refspice,Xyce + io_buf.sp,fall,46,515.0999998726016,01->01,952.4703098440484,167.74046251968238
xyce_refspice,Xyce + io_buf.sp,rise,47,520.1000002211866,10->11,2274.4134526295256,931.597419326326
xyce_refspice,Xyce + io_buf.sp,fall,48,530.0999998152737,11->01,954.4248776128742,167.9319751625026
xyce_refspice,Xyce + io_buf.sp,rise,49,535.0999999868079,10->10,2278.231020265455,926.6007353693321
xyce_refspice,Xyce + io_buf.sp,fall,50,540.1000002416966,01->00,952.1080972100427,168.6641948973629
xyce_refspice,Xyce + io_buf.sp,rise,51,555.1000004013205,00->10,2276.5833041632154,929.7850220035965
xyce_refspice,Xyce + io_buf.sp,fall,52,560.0999998644467,01->00,952.4969826121313,168.74346770589185
xyce_refspice,Xyce + io_buf.sp,rise,53,575.0999998431496,00->11,2276.0314529161865,928.2930838298954
xyce_refspice,Xyce + io_buf.sp,fall,54,585.0999998077809,11->00,954.3889267751711,167.75132681742082
xyce_refspice,Xyce + io_buf.sp,rise,55,595.0999995448059,00->11,2276.880624183187,926.2308476067376
xyce_refspice,Xyce + io_buf.sp,fall,56,605.1000002928884,11->01,954.32977565655,167.6492987704135
xyce_refspice,Xyce + io_buf.sp,rise,57,610.1000001755253,10->10,2273.8285317273635,932.5521780089389
xyce_refspice,Xyce + io_buf.sp,fall,58,615.0999998649196,01->01,952.1311620389575,168.09004836059253
xyce_refspice,Xyce + io_buf.sp,rise,59,620.1000002897598,10->10,2274.6540691183395,925.3179586042347
xyce_refspice,Xyce + io_buf.sp,fall,60,625.1000001050076,01->01,952.5817372678641,168.85817304218136
xyce_refspice,Xyce + io_buf.sp,rise,61,630.099999928368,10->10,2274.2188092017373,933.4011348629956
xyce_refspice,Xyce + io_buf.sp,fall,62,635.1000000417382,01->00,952.449892159324,168.76124883380822
xyce_refspice,Xyce + io_buf.sp,rise,63,670.1000002699284,00->11,2277.406844600644,928.1748963309954
xyce_refspice,Xyce + io_buf.sp,fall,64,700.0999999017823,11->01,954.2801941083264,167.86773421633706
xyce_refspice,Xyce + io_buf.sp,rise,65,705.1000000048881,10->11,2274.1684043378064,931.683464274653
xyce_refspice,Xyce + io_buf.sp,fall,66,730.0999997092089,11->00,954.2724649889046,167.8797386483746
xyce_refspice,Xyce + io_buf.sp,rise,67,740.1000004014094,00->11,2275.940909257398,932.5342264571465
xyce_refspice,Xyce + io_buf.sp,fall,68,760.1000001004703,11->01,954.3619931401046,167.64295035778846
xyce_refspice,Xyce + io_buf.sp,rise,69,765.0999999962523,10->10,2276.136161388791,933.1903110247545
xyce_refspice,Xyce + io_buf.sp,fall,70,770.0999997632069,01->01,952.7272013014142,169.0340027949149
xyce_refspice,Xyce + io_buf.sp,rise,71,775.0999997369709,10->11,2275.371934046188,924.8329727157384
xyce_refspice,Xyce + io_buf.sp,fall,72,790.100000424013,11->00,953.2860859899647,167.84644939889125
xyce_refspice,Xyce + io_buf.sp,rise,73,810.0999998549819,00->11,2276.3753982357402,930.8488047396936
xyce_refspice,Xyce + io_buf.sp,fall,74,820.1000001198923,11->01,953.2236748400531,167.21438280286839
xyce_refspice,Xyce + io_buf.sp,rise,75,825.099999857159,10->11,2275.0389839390323,927.4962105852732
xyce_refspice,Xyce + io_buf.sp,fall,76,840.0999997710852,11->01,954.7405128489166,168.02070986183608
xyce_refspice,Xyce + io_buf.sp,rise,77,845.0999996152153,10->10,2273.554003467814,931.3595226571294
xyce_refspice,Xyce + io_buf.sp,fall,78,850.0999999418045,01->00,951.0745556321697,167.2330873913031
xyce_refspice,Xyce + io_buf.sp,rise,79,860.0999998854519,00->11,2276.26354539725,928.8716891724523
xyce_refspice,Xyce + io_buf.sp,fall,80,870.0999998225382,11->00,954.3589638892931,167.75365430535297
xyce_refspice,Xyce + io_buf.sp,rise,81,885.0999997937103,00->10,2274.889563622956,928.3655858905131
xyce_refspice,Xyce + io_buf.sp,fall,82,890.1000002970923,01->01,952.7494694761485,167.98146690839903
xyce_refspice,Xyce + io_buf.sp,rise,83,895.0999995513321,10->10,2276.9875549651015,928.1835553927493
xyce_refspice,Xyce + io_buf.sp,fall,84,900.0999998918536,01->01,952.6809296008182,167.93424469209944
xyce_refspice,Xyce + io_buf.sp,rise,85,905.0999997837939,10->11,2276.9942154673336,927.3685523879082
