case,flow,simulator,model,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,0,11->01,26.10042588082268,2368.708620693752,203.7738049386657
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,1,10->11,28.100446135061286,3598.041847193235,994.7787811472359
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,2,11->00,38.10042590719768,2368.6929893633483,203.86670827606304
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,3,00->11,42.10044831125536,3665.0343245870795,946.4859741805664
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,4,11->01,50.10042592315897,2368.475935140687,204.30689228005562
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,5,10->10,52.10044614647919,3597.924556416068,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,6,01->01,54.10042470875094,2293.8553121225723,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,7,10->11,56.10044608465352,3624.483817544996,1002.5558197462436
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,8,11->00,62.10042588931536,2365.39094522554,205.11086101066792
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,9,00->11,70.10044853476106,3668.093182326512,950.6278014234953
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,10,11->01,74.10042577808807,2360.6060614242524,208.7608750841655
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,11,10->11,76.10044615088931,3600.8324422407786,996.0936812814085
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,12,11->01,82.10042580955546,2365.4897258297674,204.7641012989979
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,13,10->10,84.10044620127127,3598.231951194555,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,14,01->00,86.10042472550653,2294.0020328303367,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,15,00->11,90.10044821922352,3668.159014301011,947.5785679714254
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,16,11->00,94.10042585820241,2360.4334901036773,208.2170538842034
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,17,00->10,100.10044794616853,3667.435245115154,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,18,01->01,102.10042468154326,2284.2900767376004,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,19,10->10,104.10044637506155,3628.339321271679,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,20,01->01,106.10042471399335,2290.738311946174,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,21,10->11,108.10044595539219,3625.4561281929778,1004.8986118605777
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,22,11->00,112.10042588640619,2361.548380507323,209.89727442673387
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,23,00->10,122.1004476926809,3667.6867481487884,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,24,01->01,124.10042465115052,2284.3784987948497,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,25,10->11,126.10044632249625,3626.8924449516635,989.803135939508
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,26,11->00,134.10042585479331,2368.5943184007924,204.4262233078783
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,27,00->11,140.10044793881764,3667.121287691264,955.8752111130577
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,28,11->01,146.1004259458973,2365.248207056947,203.24595690935368
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,29,10->11,148.10044611197387,3597.4958881021053,996.3300455047776
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,30,11->01,152.10042584076436,2361.896022175294,210.09377308982283
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,31,10->11,154.10044620571418,3598.516453082843,996.4435175829864
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,32,11->00,158.1004258877067,2361.954441702056,210.15477440005998
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,33,00->10,162.1004481932,3664.4770020806127,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,34,01->00,164.10042479631406,2284.0504716911205,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,35,00->10,168.10044815206686,3666.938537264888,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,36,01->01,170.1004248492172,2284.4611244244024,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,37,10->10,172.1004462754396,3627.035236339799,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,38,01->00,174.1004247077736,2290.209272490466,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,39,00->10,178.10044821653165,3668.553950894193,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,fall,40,01->00,180.10042476724422,2284.267298817962,nan
ui2_len30cm_loss1,ngspice_refspice,ngspice,io_buf.sp,rise,41,00->10,188.10044812495784,3668.4445123389683,nan
