case,flow,simulator,model,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,rise,0,00->10,8.100447060380032,3708.4283673708946,nan
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,fall,1,01->00,10.100426689348826,2286.2645689003184,nan
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,rise,2,00->11,14.100447259408394,3686.0550569895495,1011.1633081964159
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,fall,3,11->01,18.10042726386774,2410.0825808948935,445.90794310076683
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,rise,4,10->10,20.100445305265495,3595.791164709008,nan
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,fall,5,01->01,22.100426721609324,2303.6350619701825,nan
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,rise,6,10->11,24.100445566783964,3628.554010821391,1020.4038963014405
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,fall,7,11->00,32.1004274440208,2429.7845514706073,413.8463834343354
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,rise,8,00->10,46.1004469907169,3705.962023516058,nan
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,fall,9,01->00,48.100426690398564,2284.6786750518145,nan
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,rise,10,00->11,52.10044723125119,3687.4585162643834,1019.9238829336088
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,fall,11,11->01,56.100427271393656,2409.7042277460414,444.07768929032767
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,rise,12,10->10,58.10044531061088,3594.968422483904,nan
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,fall,13,01->01,60.10042671952889,2304.1240269022082,nan
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,rise,14,10->11,62.10044557187455,3628.712232382324,1020.6781010246034
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,fall,15,11->00,70.1004274434481,2429.5541705060245,414.1660293007089
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,0,00->10,8.1,4121.348443748755,492.3343743767598
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,1,01->00,10.1,2974.767550996524,353.83140764220445
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,2,00->11,14.1,4355.516050065865,1108.7429257384554
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,3,11->01,18.100000000000005,2988.5651180170294,460.15193565813087
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,4,10->10,20.1,4127.559534194537,440.55972372069846
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,5,01->01,22.1,2984.9062235716297,309.2542341505466
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,6,10->11,24.1,127.55953419453786,-3683.5601438358235
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,7,11->00,32.1,3000.089573388133,429.3822554938891
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,8,00->10,46.1,4131.923066588958,451.38480079700383
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,9,01->00,48.1,2960.9185188234524,292.05437698678753
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,10,00->11,52.1,4335.220799789389,1158.6958528799257
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,11,11->01,56.10000000000001,2988.19445740858,418.4906276034257
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,12,10->10,58.1,4117.263346737031,429.9706021761386
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,13,01->01,60.100000000000016,2981.7651061602683,300.6215071733506
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,14,10->11,62.099999999999994,117.26334673704122,-3690.4563108855778
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,15,11->00,70.1,3003.674569662493,430.12912707735137
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,0,00->10,8.10044638661925,3698.6890926717147,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,1,01->00,10.100440156757864,2287.2669449511814,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,2,00->11,14.100447160308875,3688.2160305287143,945.9002819545954
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,3,11->01,18.100433302528227,2407.7141052031984,452.24788770639634
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,4,10->10,20.100444730418122,3593.488087476141,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,5,01->01,22.100440190656407,2300.9279659506906,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,6,10->11,24.100445146386935,3631.3260621120585,1030.708996741442
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,7,11->00,32.10043395623611,2431.4575414469523,433.54881170148644
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,8,00->10,46.10044702438926,3698.780666443129,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,9,01->00,48.10043744882211,2288.3561135198665,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,10,00->11,52.10044807680133,3686.6230054668704,966.1276702917152
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,11,11->01,56.10042766057363,2408.3408529462763,448.3410365156545
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,12,10->10,58.100444376007886,3591.5078733369683,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,13,01->01,60.10043889674247,2302.593655339859,nan
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,rise,14,10->11,62.10044497867951,3631.4208522586537,1026.778112693659
ui2_len30cm_loss5_coarse10,xyce_refspice,Xyce,io_buf.sp,fall,15,11->00,70.1004299562968,2432.043688877551,431.66826364100353
