case,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui5_len10cm_loss1,fall,0,11->01,65.10042590196215,954.9716131404011,167.63238459699755
ui5_len10cm_loss1,rise,1,10->11,70.10044798534646,2280.0401862826398,932.084466622561
ui5_len10cm_loss1,fall,2,11->00,95.1004259017784,954.9720038882273,167.63123062341094
ui5_len10cm_loss1,rise,3,00->11,105.10044752841496,2279.608030684045,932.8592842030099
ui5_len10cm_loss1,fall,4,11->01,125.10042590195783,954.9726374812068,167.6309131145268
ui5_len10cm_loss1,rise,5,10->10,130.10044798554395,2280.0392532469964,932.082369606669
ui5_len10cm_loss1,fall,6,01->01,135.10042589112,952.8052644889787,168.15058062884978
ui5_len10cm_loss1,rise,7,10->11,140.100447983049,2280.091390207489,932.1265291946386
ui5_len10cm_loss1,fall,8,11->00,155.1004259033245,954.9780719012625,167.64168136823167
ui5_len10cm_loss1,rise,9,00->11,175.10044739742227,2279.523512261447,932.9310319658193
ui5_len10cm_loss1,fall,10,11->01,185.1004259016507,954.9494451897947,167.64588957058575
ui5_len10cm_loss1,rise,11,10->11,190.10044798461416,2280.044330567782,932.090462185308
ui5_len10cm_loss1,fall,12,11->01,205.10042590357668,954.9776010449909,167.6436122056165
ui5_len10cm_loss1,rise,13,10->10,210.10044798546122,2280.0313525614743,932.057569924444
ui5_len10cm_loss1,fall,14,01->00,215.1004258909227,952.8058304358423,168.14983683495157
ui5_len10cm_loss1,rise,15,00->11,225.10044758146375,2279.5916282260628,932.7977243877685
ui5_len10cm_loss1,fall,16,11->00,235.10042590199666,954.9544726001167,167.64476029403144
ui5_len10cm_loss1,rise,17,00->10,250.100447580908,2279.5498208112917,932.9919104591909
ui5_len10cm_loss1,fall,18,01->01,255.10042589732785,952.8485999886676,168.1171204656936
ui5_len10cm_loss1,rise,19,10->10,260.1004479836911,2280.040003522311,932.1145940511402
ui5_len10cm_loss1,fall,20,01->01,265.10042589198804,952.8069455747814,168.16215738484664
ui5_len10cm_loss1,rise,21,10->11,270.1004479828292,2280.085516014571,932.1134488378727
ui5_len10cm_loss1,fall,22,11->00,280.1004259024421,954.9527787189282,167.68474484143684
ui5_len10cm_loss1,rise,23,00->10,305.1004475825747,2279.532631592646,932.9795916434634
ui5_len10cm_loss1,fall,24,01->01,310.1004258972907,952.8456527011053,168.11841815113846
ui5_len10cm_loss1,rise,25,10->11,315.10044798318705,2280.0435823151815,932.1230821018655
ui5_len10cm_loss1,fall,26,11->00,335.1004259018146,954.9735692340982,167.63017820097497
ui5_len10cm_loss1,rise,27,00->11,350.1004475717698,2279.5509548122254,932.9913552935213
ui5_len10cm_loss1,fall,28,11->01,365.1004259027206,954.9733473218952,167.6393943661451
ui5_len10cm_loss1,rise,29,10->11,370.1004479852507,2280.0363914766745,932.0730952534587
ui5_len10cm_loss1,fall,30,11->01,380.1004259026711,954.9499702555661,167.68761765426262
ui5_len10cm_loss1,rise,31,10->11,385.1004479834487,2280.037171774437,932.0536616184195
ui5_len10cm_loss1,fall,32,11->00,395.10042590246553,954.950393692048,167.68626364440905
ui5_len10cm_loss1,rise,33,00->10,405.1004475273871,2279.5989974885133,932.8305490884641
ui5_len10cm_loss1,fall,34,01->00,410.10042589995226,952.8539067315032,168.14963339439302
ui5_len10cm_loss1,rise,35,00->10,420.10044752183,2279.605004836652,932.8545373089169
ui5_len10cm_loss1,fall,36,01->01,425.1004258999592,952.8547802500061,168.14904688686337
ui5_len10cm_loss1,rise,37,10->10,430.10044798239386,2280.0321245167565,932.0744805448744
ui5_len10cm_loss1,fall,38,01->00,435.1004258916123,952.807706663266,168.16168571693225
ui5_len10cm_loss1,rise,39,00->10,445.1004475843283,2279.5899051373253,932.7969462108442
ui5_len10cm_loss1,fall,40,01->00,450.1004258995303,952.8557484884976,168.1484603082888
ui5_len10cm_loss1,rise,41,00->10,470.10044740591064,2279.521923556975,932.9315217756177
ui5_len10cm_loss1,fall,42,01->00,475.1004258969497,952.8466524175647,168.11882254912555
ui5_len10cm_loss1,rise,43,00->11,485.10044752409925,2279.6090824882,932.8615197992889
ui5_len10cm_loss1,fall,44,11->00,500.10042590247014,954.9742916902042,167.63840713585137
ui5_len10cm_loss1,rise,45,00->10,510.1004475279258,2279.6074656594283,932.8596601652407
ui5_len10cm_loss1,fall,46,01->01,515.1004259001152,952.8532697294279,168.15074099955643
ui5_len10cm_loss1,rise,47,10->11,520.1004479821626,2280.033673054026,932.0749974447717
ui5_len10cm_loss1,fall,48,11->01,530.1004259027025,954.9517015630112,167.68593707678545
ui5_len10cm_loss1,rise,49,10->10,535.1004479836446,2280.03550806705,932.0522215108432
ui5_len10cm_loss1,fall,50,01->00,540.1004258906845,952.8071229278634,168.14856152787897
ui5_len10cm_loss1,rise,51,00->10,555.1004475168264,2279.546068254218,932.9666541171783
ui5_len10cm_loss1,fall,52,01->00,560.1004258971268,952.8493290943528,168.11528004314667
ui5_len10cm_loss1,rise,53,00->11,575.1004475243548,2279.549303879948,932.975732214178
ui5_len10cm_loss1,fall,54,11->00,585.100425901328,954.9503058099446,167.64530745471018
ui5_len10cm_loss1,rise,55,00->11,595.1004475223455,2279.603391792635,932.8434855501876
ui5_len10cm_loss1,fall,56,11->01,605.1004259022461,954.9539716427558,167.64668701536553
ui5_len10cm_loss1,rise,57,10->10,610.1004479849911,2280.039726840852,932.0768943693396
ui5_len10cm_loss1,fall,58,01->01,615.1004258909952,952.8064722752698,168.14896991856764
ui5_len10cm_loss1,rise,59,10->10,620.1004479832301,2280.090371814377,932.1263205773323
ui5_len10cm_loss1,fall,60,01->01,625.1004258925823,952.8119954587404,168.16636024602272
ui5_len10cm_loss1,rise,61,10->10,630.1004479831947,2280.0799363140445,932.0970921176181
ui5_len10cm_loss1,fall,62,01->00,635.1004258923235,952.8127066595783,168.16480489543173
ui5_len10cm_loss1,rise,63,00->11,670.1004475018871,2279.552736884896,932.9968937351787
ui5_len10cm_loss1,fall,64,11->01,700.1004259019628,954.9716119432921,167.6323906329808
ui5_len10cm_loss1,rise,65,10->11,705.1004479853461,2280.04018637899,932.0844590232329
ui5_len10cm_loss1,fall,66,11->00,730.1004259017784,954.9720038750718,167.63123063480617
ui5_len10cm_loss1,rise,67,00->11,740.100447528415,2279.6080306739204,932.859284183409
ui5_len10cm_loss1,fall,68,11->01,760.1004259019578,954.9726374792215,167.63091313678788
ui5_len10cm_loss1,rise,69,10->10,765.100447985544,2280.03925323572,932.0823696016397
ui5_len10cm_loss1,fall,70,01->01,770.1004258911199,952.8052644840024,168.15058062424404
ui5_len10cm_loss1,rise,71,10->11,775.100447983049,2280.0913901956305,932.1265291879946
ui5_len10cm_loss1,fall,72,11->00,790.1004259033244,954.9780718961803,167.6416813619319
ui5_len10cm_loss1,rise,73,00->11,810.1004473974223,2279.5235122494296,932.9310319606577
ui5_len10cm_loss1,fall,74,11->01,820.1004259016507,954.9494451846596,167.64588956560945
ui5_len10cm_loss1,rise,75,10->11,825.1004479846141,2280.0443305556587,932.0904621787699
ui5_len10cm_loss1,fall,76,11->01,840.1004259035767,954.9776010401999,167.6436122002167
ui5_len10cm_loss1,rise,77,10->10,845.1004479854612,2280.031352549351,932.0575699180648
ui5_len10cm_loss1,fall,78,01->00,850.1004258909228,952.8058304309718,168.14983682978996
ui5_len10cm_loss1,rise,79,00->11,860.1004475814638,2279.5916282142043,932.7977243830304
