case,note,direction,ui_ns,length_cm,loss_scale,channel_delay_ns,channel_delay_ui,stop_ns,edges,contexts,delay_50_median_ps,delay_50_std_ps,delay_50_p2p_ps,delay_50_p2p_ui,slew_20_80_median_ps,slew_20_80_std_ps,slew_20_80_p2p_ps,trace_residual_p95_mV,trace_residual_max_mV,v_min,v_max
ui5_len10cm_loss1,accepted baseline,rise,5.0,10,1.0,0.6919999999999998,0.13839999999999997,1000.0,46,00->10;00->11;10->10;10->11,2280.031352555413,0.24259897622329446,0.5694666505141868,0.00011389333010283736,932.1265291913166,0.4118942050523829,0.944672224335477,1438.3198841625092,1531.9869378251508,-0.021004033471217688,1.5165650946688636
ui5_len10cm_loss1,accepted baseline,fall,5.0,10,1.0,0.6919999999999998,0.13839999999999997,1000.0,46,01->00;01->01;11->00;11->01,954.9497077226804,1.0643421810606561,2.1728074172601737,0.00043456148345203473,167.68610036059727,0.24763649270478272,0.5361820911581106,512.1009943046901,1277.3318654674365,-0.021004033471217688,1.5165650946688636
ui2_len10cm_loss1,data-rate stress,rise,2.0,10,1.0,0.6919999999999998,0.3459999999999999,400.00000000000006,46,00->10;00->11;10->10;10->11,2256.136950686282,9.958848273131776,22.649040537908604,0.011324520268954301,1006.59980183223,41.528943335605035,93.85202265211603,975.1984354154091,1381.0160152815638,-0.05465628953956291,1.5166372695774204
ui2_len10cm_loss1,data-rate stress,fall,2.0,10,1.0,0.6919999999999998,0.3459999999999999,400.00000000000006,46,01->00;01->01;11->00;11->01,949.3337739923973,34.26718963980528,72.67217741976401,0.036336088709882,170.17646452029047,0.8452235184581963,2.176001446684751,1312.9480548673669,1356.326953202217,-0.05465628953956291,1.5166372695774204
ui1_len10cm_loss1,stronger data-rate stress,rise,1.0,10,1.0,0.6919999999999998,0.6919999999999998,200.00000000000003,46,00->10;00->11;10->10;10->11,2248.4786574894615,825.4803118361261,2017.845864649842,2.017845864649842,1245.211257368678,688.6967475339745,2333.890208940976,700.6613446132562,1481.0987173220492,-0.059546059630986435,1.5139820932272203
ui1_len10cm_loss1,stronger data-rate stress,fall,1.0,10,1.0,0.6919999999999998,0.6919999999999998,200.00000000000003,46,01->00;01->01;11->00;11->01,935.458266399401,1487.7349501671847,4048.8161519182113,4.048816151918211,173.26441912909846,1695.3365755111436,4128.521019341769,1028.0462421947163,1479.448119931484,-0.059546059630986435,1.5139820932272203
ui5_len30cm_loss1,longer channel only,rise,5.0,30,1.0,2.076,0.41519999999999996,1000.0,46,00->10;00->11;10->10;10->11,3670.3165650226583,1.506783654063217,3.3557936130087,0.00067115872260174,942.5227270960172,3.999584811078577,8.613488343911285,1451.7066507084471,1565.5546937665833,-0.07550100811881488,1.5046840571938052
ui5_len30cm_loss1,longer channel only,fall,5.0,30,1.0,2.076,0.41519999999999996,1000.0,46,01->00;01->01;11->00;11->01,2366.8665103219464,2.105493805659072,4.342299984157307,0.0008684599968314615,201.91509095484798,0.18014159398958415,0.513459163148525,1314.9190791191013,1511.4689460402235,-0.07550100811881488,1.5046840571938052
ui2_len30cm_loss1,long channel plus faster UI,rise,2.0,30,1.0,2.076,1.0379999999999998,400.00000000000006,46,00->10;00->11;10->10;10->11,3628.339321417779,29.097916841411863,71.42121315967233,0.035710606579836164,989.803135939508,23.977751199786944,60.13420465350805,1239.0793494600039,1501.3327148596252,-0.090119919451799,1.5051047097478847
ui2_len30cm_loss1,long channel plus faster UI,fall,2.0,30,1.0,2.076,1.0379999999999998,400.00000000000006,46,01->00;01->01;11->00;11->01,2360.519775763965,38.19537585420085,84.86298068233782,0.04243149034116891,205.11086101066792,2.535999971972571,6.908817490706298,1324.8694932718838,1500.1663089628137,-0.090119919451799,1.5051047097478847
