edge_index,edge_type,input_edge_ns,t_10_ns,t_50_ns,t_90_ns,t_10_90_ns,low_v,high_v
1,rise,10.0,11.034425495796437,11.996689588122875,14.594206182842868,3.5597806870464304,2.2801389683749805e-06,0.6034409240726096
2,fall,30.0,30.881582799597492,31.86742193530926,34.50032591053541,3.618743110937917,0.0006962899607219832,0.6034677696430321
3,rise,50.0,51.03388443236404,51.996104713651086,54.59362120444228,3.5597367720782387,0.0006736145236260305,0.6034409647158572
4,fall,70.0,70.88106709343062,71.86690618897525,74.49981115735257,3.6187440639219517,0.0006962882550754568,0.603467796119853
5,rise,90.0,91.03465940333979,91.99693470038254,94.5944539793136,3.559794575973811,0.0006736132642626193,0.6034409377000649
6,fall,110.0,110.96756442212248,112.22832717656718,114.86536976428954,3.897805342167061,0.0007084251190607292,0.6034677768150792
7,rise,130.0,131.04584076700198,132.0138194024663,134.61133389560115,3.5654931285991722,0.0006820949684454897,0.6034402717319739
8,fall,150.0,150.88024261983543,151.86607415764695,154.49895878139844,3.6187161615630146,0.0006962858900258613,0.6034672625594995
9,rise,170.0,171.03361019432114,171.9958794570576,174.59340037657225,3.559790182251106,0.0006736118064343139,0.6034409832009059
10,fall,190.0,190.87287211889563,191.8683553100712,194.501604932287,3.628732813391366,0.0006961994925215267,0.6034678117097091
