case,bench,file,node_role,signal,samples,t_end_ns,input_edges,isolated_edges,min_v,max_v,low_p2_v,high_p98_v,mid_v,rise_20_n,rise_20_delay_ns,rise_20_std_ps,fall_20_n,fall_20_delay_ns,fall_20_std_ps,rise_50_n,rise_50_delay_ns,rise_50_std_ps,fall_50_n,fall_50_delay_ns,fall_50_std_ps,rise_80_n,rise_80_delay_ns,rise_80_std_ps,fall_80_n,fall_80_delay_ns,fall_80_std_ps,rise_fall_50_split_ns,rise_fall_50_split_ui
HSPICE native IBIS root .tr0,"PRBS11, native HSPICE IBIS, new 50ohm channel, Rterm=75",tb_exp1.tr0,pad,v(tx_out),39407,2000.0,182,182,-0.3822841,3.71597,-0.317357896,3.5181270799999966,1.6003845919999984,91,1.8783968609125996,82.99515475638229,91,4.585349557314168,4.080327312513082,91,2.6196329391535755,248.01783203736477,91,2.7688975359859915,1.7698729535813458,91,4.069328232129838,49.94071490431434,91,2.606355430752874,4.229090795223352,-0.149264596832416,-0.0298529193664832
HSPICE native IBIS root .tr0,"PRBS11, native HSPICE IBIS, new 50ohm channel, Rterm=75",tb_exp1.tr0,rx,v(n10b),39407,2000.0,182,182,-1.498401,3.837542,-1.3005064000000002,3.6532937999999997,1.1763936999999998,41,0.6402811874858008,2.4747989423963306,91,3.770467395407618,0.9849454676639021,91,2.9581090476805025,36.21812140074587,91,3.6550839946436775,2.2395952281085294,91,3.3030043686749884,99.67281253691752,91,3.5054614449114485,6.639032506012302,-0.696974946963175,-0.139394989392635
HSPICE native IBIS experiments .tr0,"PRBS11, native HSPICE IBIS, old ~76ohm channel, Rterm=85",experiments\tb_exp1.tr0,pad,v(tx_out),28710,2000.0,182,182,-0.4693672,1.553532,-0.442451506,1.5384654599999998,0.548006977,0,,,91,0.9040660474676506,0.5578385732605847,91,2.0139922653882802,0.8598293923067624,91,0.806839651680832,0.6133515942159918,91,2.283475686558614,2.0635899675850786,91,0.6826259782529783,1.1998891970393315,1.2071526137074482,0.24143052274148963
HSPICE native IBIS experiments .tr0,"PRBS11, native HSPICE IBIS, old ~76ohm channel, Rterm=85",experiments\tb_exp1.tr0,rx,v(n10b),28710,2000.0,182,182,-0.1404234,1.414309,-0.11382894,1.40700582,0.64658844,91,2.7925421573079974,0.6116642306644876,91,1.8993905519702448,0.4147643067502314,91,3.094210212002269,0.5050714144313532,91,1.773894349237301,0.5357653122853324,91,3.7116447024985995,2.736199881936002,91,1.6215518744196562,1.06722683893206,1.320315862764968,0.2640631725529936
ngspice refspice io_buf.sp,"PRBS7, io_buf.sp transistor-level, new 50ohm channel, Rterm=50",ngspice_refspice\tb_refspice_prbs7_new50ohm_batch.raw,pad,v(pad_ref),100973,1000.0000000000001,93,93,-0.564800548854739,1.6132911234935725,-0.01073193937966991,1.5296484637772416,0.7594582621987859,47,1.3434274635773977,0.263810364362496,46,0.3181152301967289,0.8849744576569577,47,1.5727161687807176,0.7239878202390851,46,0.19221198599498968,1.4713902285919551,47,2.266486975120453,1.2802735609139004,46,0.1477930444994293,0.8735778881243264,1.380504182785728,0.2761008365571456
ngspice refspice io_buf.sp,"PRBS7, io_buf.sp transistor-level, new 50ohm channel, Rterm=50",ngspice_refspice\tb_refspice_prbs7_new50ohm_batch.raw,rx,v(n10b),100973,1000.0000000000001,93,93,-0.02100403347120776,1.5165650946688731,-0.007517809138379027,1.5144118236134565,0.7534470072375387,47,2.043419429497282,0.0458950288652897,46,1.0374902920004956,1.0474853321598072,47,2.2811085858669773,0.24414364056481613,46,0.9537126528613146,1.0646022605267191,47,2.9756295054185804,0.4857676728028648,46,0.8701576931731332,1.2856895673023312,1.3273959330056626,0.2654791866011325
ngspice pybis clean,"PRBS7, pybis2spice, new 50ohm channel, Rterm=50",results\prbs_rlgc_clean_2026-05-10\ngspice\tb_clean_prbs_rlgc_ngspice.raw,pad,v(pad),100884,1000.0000000000001,93,93,-0.013350206033127922,1.5636591761692629,-0.002391663209647249,1.5471735650401532,0.772390950915253,47,1.9610080015696585,0.0009401953586144118,46,0.9960354021962615,0.42665185829665503,47,2.214134966359546,0.0003011894783025589,46,0.8587925506508294,0.31505758630702363,47,2.9770831562848104,0.00010841925902433222,46,0.717642810224959,0.4448516713080206,1.3553424157087168,0.27106848314174337
ngspice pybis clean,"PRBS7, pybis2spice, new 50ohm channel, Rterm=50",results\prbs_rlgc_clean_2026-05-10\ngspice\tb_clean_prbs_rlgc_ngspice.raw,rx,v(n10b),100884,1000.0000000000001,93,93,-0.008225306461753902,1.5404863042381678,-0.0026096605018505943,1.5301381602562203,0.7637642498771848,47,2.6477455663493825,0.0003974584476213718,46,1.7277787911774856,0.2588214720443794,47,2.937822852786865,0.00026192806189009936,46,1.5707563720500144,0.17924744570091913,47,3.671407731090181,7.947919434702082e-05,46,1.40746940794755,0.21376266895532894,1.3670664807368504,0.2734132961473701
Xyce pybis clean,"PRBS7, Xyce relaxed pybis, new 50ohm channel, Rterm=50",results\prbs_rlgc_clean_2026-05-10\xyce\tb_clean_prbs_rlgc_xyce_edge15_flat4p2.cir.csv,pad,v(pad),100001,1000.0,93,93,-0.0130849049,1.56765864,-0.0027669129,1.53320878,0.7652209335500001,47,1.9518119255910684,4.159289003355678,46,0.992473520199282,3.898596929514142,47,2.199888080641449,2.988594795008739,46,0.8555136356415061,3.8498577130429923,47,2.93325254947135,2.63948657810147,46,0.7174313452045727,3.3495797841103423,1.344374444999943,0.2688748889999886
Xyce pybis clean,"PRBS7, Xyce relaxed pybis, new 50ohm channel, Rterm=50",results\prbs_rlgc_clean_2026-05-10\xyce\tb_clean_prbs_rlgc_xyce_edge15_flat4p2.cir.csv,rx,v(n10b),100001,1000.0,93,93,-0.00697247978,1.54112716,-0.00250809117,1.50352887,0.750510389415,47,2.6231806458079743,3.9820536836311984,46,1.7407752607499616,3.3225433253935654,47,2.9322047486862144,3.6619951171848983,46,1.5682647662820306,3.5710245994998853,47,3.6099429536755236,3.737347024535282,46,1.397955344356936,3.6121260143292067,1.3639399824041838,0.27278799648083674
