case_id,kind,legacy_status,coeff_status,legacy_pad_rmse_mv,coeff_pad_rmse_mv,pad_rmse_reduction_pct,legacy_coeff_rmse,coeff_coeff_rmse,legacy_ku_rmse,coeff_ku_rmse,legacy_kd_rmse,coeff_kd_rmse,coeff_range_ok,verdict
edge_1ps_base_50r_2pf,complete_edge,GOOD,CHECK,5.2891792703694325,150.74406989437261,-2750.046523075094,0.005607643494728418,0.1860789798584822,0.0043424415275439545,0.1341134158644908,0.005607643494728418,0.1860789798584822,True,REGRESSION
edge_5ps_50r_2pf,complete_edge,WARN,CHECK,7.9341277664487615,153.59761353691928,-1835.9105128914264,0.020935058542945455,0.1865455290998142,0.015305235671938673,0.13505188923072556,0.020935058542945455,0.1865455290998142,True,REGRESSION
edge_50ps_50r_2pf,complete_edge,WARN,CHECK,11.37459464741737,144.285203805294,-1168.4865551499397,0.01477480555728982,0.18345116022128222,0.010321585752281728,0.12993891601830806,0.01477480555728982,0.18345116022128222,True,REGRESSION
edge_500ps_50r_2pf,complete_edge,CHECK,CHECK,134.83428252110716,181.18509142072222,-34.37613048622056,0.13165895458641422,0.20318384207856038,0.10274533921691939,0.15018092549437423,0.13165895458641422,0.20318384207856038,True,REGRESSION
edge_2ns_50r_2pf,complete_edge,CHECK,CHECK,393.1691952631095,360.72351515064105,8.252345428729672,0.3364539738067458,0.3013672199543917,0.28075813598534965,0.2644841723023956,0.3364539738067458,0.3013672199543917,True,PASS
load_25r_2pf,complete_edge,GOOD,CHECK,3.2233831431117084,99.04381501474822,-2972.6665313244703,0.0053144963966053164,0.16608926384883438,0.00441426758962722,0.13933827873828644,0.0053144963966053164,0.16608926384883438,True,REGRESSION
load_50r_0pf,complete_edge,GOOD,CHECK,5.770104441055986,168.88911316604612,-2826.968045228965,0.005773317868875206,0.1637842806533805,0.0046682745671400155,0.14026990060311478,0.005773317868875206,0.1637842806533805,True,REGRESSION
load_50r_10pf,complete_edge,GOOD,CHECK,4.5427136336795595,121.04197553479274,-2564.530175034383,0.0049506904642854215,0.1552756559484734,0.00424814155372597,0.12952808302117186,0.0049506904642854215,0.1552756559484734,True,REGRESSION
load_100r_2pf,complete_edge,GOOD,CHECK,8.921646798702957,208.14028545990178,-2232.9805601602784,0.0051716208678958655,0.18515539399371647,0.004239964970405701,0.13546022781301925,0.0051716208678958655,0.18515539399371647,True,REGRESSION
double_toggle_1ps,complete_edge,GOOD,CHECK,5.7130918743822745,165.25234208797195,-2792.52029761625,0.005577147214017331,0.1856919502414374,0.004356388220923773,0.14646726478723995,0.005577147214017331,0.1856919502414374,True,REGRESSION
short_pulse_2ns_high,short_pulse,CHECK,CHECK,361.3616426183236,204.20500684024074,43.49012657773266,0.2833019281281989,0.1624438776966828,0.2833019281281989,0.1624438776966828,0.23141813087362825,0.162157185920713,True,PASS
short_pulse_1ns_high,short_pulse,CHECK,CHECK,653.2560845126897,98.16132192673543,84.97353116887369,0.5038066834239642,0.3699348346269751,0.4704147907901465,0.14391417614780744,0.5038066834239642,0.3699348346269751,True,PASS
short_pulse_500ps_high,short_pulse,CHECK,CHECK,678.8631624717939,47.71882722038761,92.97077380857733,0.5784688091362512,0.4925403841423711,0.5024469167360023,0.07870579251050797,0.5784688091362512,0.4925403841423711,True,PASS
