case_id,description,pattern,edge_ns,input_high_v,r_load_ohm,c_load_pf,stop_ns,hspice_deck,ngspice_deck,status,hspice_tr0,ngspice_raw,pad_active_rmse_v,pad_active_max_abs_v,ku_active_rmse,ku_active_max_abs,kd_active_rmse,kd_active_max_abs,ku_full_rmse,kd_full_rmse,pad_final_hspice_v,pad_final_ngspice_v,plot,quality_status
edge_1ps_base_50r_2pf,"Baseline 1 ps rise/fall, 50 ohm + 2 pF",rise_fall,0.001,3.3,50.0,2.0,25.0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_1ps_base_50r_2pf\hspice_native_ibis\edge_1ps_base_50r_2pf_hspice_native_ibis.sp,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_1ps_base_50r_2pf\ngspice_pybis\edge_1ps_base_50r_2pf_ngspice_pybis.sp,ok,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_1ps_base_50r_2pf\hspice_native_ibis\edge_1ps_base_50r_2pf_hspice_native_ibis.tr0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_1ps_base_50r_2pf\ngspice_pybis\edge_1ps_base_50r_2pf_ngspice_pybis.raw,0.005289179270369432,0.016780177326762624,0.0043424415275439545,0.022940438186631718,0.005607643494728418,0.022891673482503094,0.00443118193388092,0.004811158665549499,2.328711e-08,1.348706630765001e-06,results\io_buf_switching_coeff_sweep_2026-06-19\plots\cases\edge_1ps_base_50r_2pf_waveform_coeff_overlay.png,GOOD
edge_5ps_50r_2pf,"5 ps rise/fall, 50 ohm + 2 pF",rise_fall,0.005,3.3,50.0,2.0,25.0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_5ps_50r_2pf\hspice_native_ibis\edge_5ps_50r_2pf_hspice_native_ibis.sp,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_5ps_50r_2pf\ngspice_pybis\edge_5ps_50r_2pf_ngspice_pybis.sp,ok,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_5ps_50r_2pf\hspice_native_ibis\edge_5ps_50r_2pf_hspice_native_ibis.tr0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_5ps_50r_2pf\ngspice_pybis\edge_5ps_50r_2pf_ngspice_pybis.raw,0.007934127766448761,0.031992398087621,0.015305235671938673,0.14263204733440737,0.020935058542945455,0.1638195835456806,0.013561774928794283,0.01833303784495617,-7.937471e-07,1.347961949745608e-06,results\io_buf_switching_coeff_sweep_2026-06-19\plots\cases\edge_5ps_50r_2pf_waveform_coeff_overlay.png,WARN
edge_50ps_50r_2pf,"50 ps rise/fall, 50 ohm + 2 pF",rise_fall,0.05,3.3,50.0,2.0,25.0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_50ps_50r_2pf\hspice_native_ibis\edge_50ps_50r_2pf_hspice_native_ibis.sp,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_50ps_50r_2pf\ngspice_pybis\edge_50ps_50r_2pf_ngspice_pybis.sp,ok,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_50ps_50r_2pf\hspice_native_ibis\edge_50ps_50r_2pf_hspice_native_ibis.tr0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_50ps_50r_2pf\ngspice_pybis\edge_50ps_50r_2pf_ngspice_pybis.raw,0.01137459464741737,0.0372892537169377,0.010321585752281728,0.05395810529992462,0.01477480555728982,0.06998250938355308,0.00929031215188612,0.012942212284659239,2.153068e-07,1.348350180415796e-06,results\io_buf_switching_coeff_sweep_2026-06-19\plots\cases\edge_50ps_50r_2pf_waveform_coeff_overlay.png,WARN
edge_500ps_50r_2pf,"500 ps rise/fall, 50 ohm + 2 pF",rise_fall,0.5,3.3,50.0,2.0,26.0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_500ps_50r_2pf\hspice_native_ibis\edge_500ps_50r_2pf_hspice_native_ibis.sp,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_500ps_50r_2pf\ngspice_pybis\edge_500ps_50r_2pf_ngspice_pybis.sp,ok,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_500ps_50r_2pf\hspice_native_ibis\edge_500ps_50r_2pf_hspice_native_ibis.tr0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_500ps_50r_2pf\ngspice_pybis\edge_500ps_50r_2pf_ngspice_pybis.raw,0.13483428252110716,0.48098288698915703,0.10274533921691939,0.40955568241633106,0.13165895458641422,0.4470651578598325,0.09046221510991238,0.11581526476152182,-7.336779e-07,1.348292071605982e-06,results\io_buf_switching_coeff_sweep_2026-06-19\plots\cases\edge_500ps_50r_2pf_waveform_coeff_overlay.png,CHECK
edge_2ns_50r_2pf,"2 ns rise/fall, 50 ohm + 2 pF",rise_fall,2.0,3.3,50.0,2.0,30.0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_2ns_50r_2pf\hspice_native_ibis\edge_2ns_50r_2pf_hspice_native_ibis.sp,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_2ns_50r_2pf\ngspice_pybis\edge_2ns_50r_2pf_ngspice_pybis.sp,ok,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_2ns_50r_2pf\hspice_native_ibis\edge_2ns_50r_2pf_hspice_native_ibis.tr0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\edge_2ns_50r_2pf\ngspice_pybis\edge_2ns_50r_2pf_ngspice_pybis.raw,0.3931691952631095,1.3665427744284742,0.28075813598534965,0.9558969077498474,0.3364539738067458,1.0048687279907116,0.2647123255629611,0.3172155837377164,1.650678e-06,1.348322854012048e-06,results\io_buf_switching_coeff_sweep_2026-06-19\plots\cases\edge_2ns_50r_2pf_waveform_coeff_overlay.png,CHECK
load_50r_0pf,"1 ps rise/fall, 50 ohm only",rise_fall,0.001,3.3,50.0,0.0,25.0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_50r_0pf\hspice_native_ibis\load_50r_0pf_hspice_native_ibis.sp,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_50r_0pf\ngspice_pybis\load_50r_0pf_ngspice_pybis.sp,ok,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_50r_0pf\hspice_native_ibis\load_50r_0pf_hspice_native_ibis.tr0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_50r_0pf\ngspice_pybis\load_50r_0pf_ngspice_pybis.raw,0.005770104441055987,0.018853969832542228,0.0046682745671400155,0.02434348436396161,0.005773317868875206,0.02926172194296084,0.004689380443436456,0.004920212662794739,5.25533e-07,1.347034241563099e-06,results\io_buf_switching_coeff_sweep_2026-06-19\plots\cases\load_50r_0pf_waveform_coeff_overlay.png,GOOD
load_50r_10pf,"1 ps rise/fall, 50 ohm + 10 pF",rise_fall,0.001,3.3,50.0,10.0,30.0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_50r_10pf\hspice_native_ibis\load_50r_10pf_hspice_native_ibis.sp,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_50r_10pf\ngspice_pybis\load_50r_10pf_ngspice_pybis.sp,ok,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_50r_10pf\hspice_native_ibis\load_50r_10pf_hspice_native_ibis.tr0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_50r_10pf\ngspice_pybis\load_50r_10pf_ngspice_pybis.raw,0.00454271363367956,0.009643773623389418,0.00424814155372597,0.02009041038146897,0.0049506904642854215,0.026010593966303563,0.004238746939734074,0.004696304877031636,5.866503e-08,1.347287063777216e-06,results\io_buf_switching_coeff_sweep_2026-06-19\plots\cases\load_50r_10pf_waveform_coeff_overlay.png,GOOD
load_25r_2pf,"1 ps rise/fall, 25 ohm + 2 pF",rise_fall,0.001,3.3,25.0,2.0,25.0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_25r_2pf\hspice_native_ibis\load_25r_2pf_hspice_native_ibis.sp,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_25r_2pf\ngspice_pybis\load_25r_2pf_ngspice_pybis.sp,ok,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_25r_2pf\hspice_native_ibis\load_25r_2pf_hspice_native_ibis.tr0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_25r_2pf\ngspice_pybis\load_25r_2pf_ngspice_pybis.raw,0.0032233831431117085,0.008991093370678493,0.00441426758962722,0.022571484363973826,0.0053144963966053164,0.023837865963214577,0.004457306820513865,0.004696902478193719,9.562669e-08,1.011296059018287e-06,results\io_buf_switching_coeff_sweep_2026-06-19\plots\cases\load_25r_2pf_waveform_coeff_overlay.png,GOOD
load_100r_2pf,"1 ps rise/fall, 100 ohm + 2 pF",rise_fall,0.001,3.3,100.0,2.0,25.0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_100r_2pf\hspice_native_ibis\load_100r_2pf_hspice_native_ibis.sp,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_100r_2pf\ngspice_pybis\load_100r_2pf_ngspice_pybis.sp,ok,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_100r_2pf\hspice_native_ibis\load_100r_2pf_hspice_native_ibis.tr0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\load_100r_2pf\ngspice_pybis\load_100r_2pf_ngspice_pybis.raw,0.008921646798702956,0.020230898463322378,0.004239964970405701,0.018445304811210983,0.0051716208678958655,0.022891673482503094,0.00419744649770621,0.00463590051919119,-3.967677e-07,1.617068464643318e-06,results\io_buf_switching_coeff_sweep_2026-06-19\plots\cases\load_100r_2pf_waveform_coeff_overlay.png,GOOD
short_pulse_2ns_high,"2 ns high pulse with 1 ps edges, 50 ohm + 2 pF",short_pulse,0.001,3.3,50.0,2.0,14.0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\short_pulse_2ns_high\hspice_native_ibis\short_pulse_2ns_high_hspice_native_ibis.sp,results\io_buf_switching_coeff_sweep_2026-06-19\cases\short_pulse_2ns_high\ngspice_pybis\short_pulse_2ns_high_ngspice_pybis.sp,ok,results\io_buf_switching_coeff_sweep_2026-06-19\cases\short_pulse_2ns_high\hspice_native_ibis\short_pulse_2ns_high_hspice_native_ibis.tr0,results\io_buf_switching_coeff_sweep_2026-06-19\cases\short_pulse_2ns_high\ngspice_pybis\short_pulse_2ns_high_ngspice_pybis.raw,0.3613616426183236,0.9468966623382855,0.2833019281281989,0.7207869,0.23141813087362825,0.7982299065828886,0.2656031991069311,0.21698310259394457,-1.340651e-06,1.348706396829193e-06,results\io_buf_switching_coeff_sweep_2026-06-19\plots\cases\short_pulse_2ns_high_waveform_coeff_overlay.png,CHECK
