candidate,table,rmse,max_error
pwl,ku_rise,0.03291410099331866,0.17009614339085505
pwl,ku_fall,0.05584260035390369,0.2046719107130202
pwl,kd_rise,0.014758053897322059,0.09160971866819767
pwl,kd_fall,0.03635423227930933,0.10030718306944714
identity,ku_rise,0.07203652477870713,0.2108874059286176
identity,ku_fall,0.0681744624304147,0.15980501814410686
identity,kd_rise,0.021935313854809305,0.11766140799894742
identity,kd_fall,0.05369479531323915,0.1359644833130177
directional,ku_rise,0.008519648949914362,0.04868515162141093
directional,ku_fall,0.019939476954818187,0.04833557303542024
directional,kd_rise,0.005793141549461244,0.048745597180751665
directional,kd_fall,0.030809587042128023,0.07389413148929669
directional_residual,ku_rise,0.008519648949914362,0.04868515162141093
directional_residual,ku_fall,0.019939476954818187,0.04833557303542024
directional_residual,kd_rise,0.0001738968059603094,0.000988314789220457
directional_residual,kd_fall,0.0002038979555050807,0.0008659112808361846
