figure_panel,candidate,column_title,table,rmse,max_error,worst_candidate_rmse,worst_candidate_max_error,gate
ku_pwl,pwl,single map,ku_rise,0.03291410099331866,0.17009614339085505,0.05584260035390369,0.2046719107130202,FAIL
ku_pwl,pwl,single map,ku_fall,0.05584260035390369,0.2046719107130202,0.05584260035390369,0.2046719107130202,FAIL
kd_pwl,pwl,single map,kd_rise,0.014758053897322059,0.09160971866819767,0.05584260035390369,0.2046719107130202,FAIL
kd_pwl,pwl,single map,kd_fall,0.03635423227930933,0.10030718306944714,0.05584260035390369,0.2046719107130202,FAIL
ku_directional,directional,+ directional maps,ku_rise,0.008519648949914362,0.04868515162141093,0.030809587042128023,0.07389413148929669,FAIL
ku_directional,directional,+ directional maps,ku_fall,0.019939476954818187,0.04833557303542024,0.030809587042128023,0.07389413148929669,FAIL
kd_directional,directional,+ directional maps,kd_rise,0.005793141549461244,0.048745597180751665,0.030809587042128023,0.07389413148929669,FAIL
kd_directional,directional,+ directional maps,kd_fall,0.030809587042128023,0.07389413148929669,0.030809587042128023,0.07389413148929669,FAIL
ku_directional_residual,directional_residual,+ rate residual,ku_rise,0.008519648949914362,0.04868515162141093,0.019939476954818187,0.04868515162141093,PASS
ku_directional_residual,directional_residual,+ rate residual,ku_fall,0.019939476954818187,0.04833557303542024,0.019939476954818187,0.04868515162141093,PASS
kd_directional_residual,directional_residual,+ rate residual,kd_rise,0.0001738968059603094,0.000988314789220457,0.019939476954818187,0.04868515162141093,PASS
kd_directional_residual,directional_residual,+ rate residual,kd_fall,0.0002038979555050807,0.0008659112808361846,0.019939476954818187,0.04868515162141093,PASS
