case_id,reference,best_ngspice_flow,best_ngspice_rmse_mV,native_vs_transistor_rmse_mV
edge_1ps_base_50r_2pf,native_ibis,ngspice_value_match_v2,5.211436302590315,525.4983749079596
edge_1ps_base_50r_2pf,transistor_sp,ngspice_legacy,464.9586873720704,525.4983749079596
short_pulse_500ps_high,native_ibis,ngspice_two_state_directional_residual_recover_fast,13.506397457046146,30.529192815773143
short_pulse_500ps_high,transistor_sp,ngspice_value_match_v2,36.728119588134135,30.529192815773143
short_pulse_1ns_high,native_ibis,ngspice_two_state_directional_residual,21.914040194989145,40.13556264906951
short_pulse_1ns_high,transistor_sp,ngspice_value_match_v2,37.048934053913094,40.13556264906951
short_pulse_2ns_high,native_ibis,ngspice_two_state_directional_residual,93.58749157556,399.3096996667208
short_pulse_2ns_high,transistor_sp,ngspice_value_match_v2,421.5945233476531,399.3096996667208
double_toggle_1ps,native_ibis,ngspice_value_match_v2,566.8409550543947,233.89239773056207
double_toggle_1ps,transistor_sp,ngspice_value_match_v2,288.09107467689347,233.89239773056207
short_pulse_500ps_low,native_ibis,ngspice_two_state_directional_residual_recover_fast,366.38564100904694,612.6086075534806
short_pulse_500ps_low,transistor_sp,ngspice_value_match_v2,600.2364656953946,612.6086075534806
short_pulse_1ns_low,native_ibis,ngspice_two_state_directional_residual_recover_fast,366.836434343617,546.1480592837719
short_pulse_1ns_low,transistor_sp,ngspice_value_match_v2,486.0636959205595,546.1480592837719
short_pulse_2ns_low,native_ibis,ngspice_two_state_directional_residual_recover_fast,15.048079670785635,540.9370808746534
short_pulse_2ns_low,transistor_sp,ngspice_two_state_directional_residual_recover_fast,424.63331329881674,540.9370808746534
