time_ns,v_in,v_tx_p_n1,v_tx_n_n2,v_rx_p_n3,v_rx_n_n4,v_rx_diff_rxnode,v_rx_diff_n3_n4
0.0,0.0,2.5e-11,0.5,0.25,0.25,0.0,0.0
0.001,0.1,4.14206e-12,0.5,0.25,0.25,8.562502e-09,8.562502e-09
0.002,0.2,-3.459089e-11,0.5,0.25,0.25,1.505949e-08,1.505949e-08
0.0052,0.52,-2.076259e-10,0.5000001,0.2500001,0.25,2.825956e-08,2.825956e-08
0.0081,0.81,-4.256494e-10,0.5000001,0.2500001,0.25,3.042479e-08,3.042479e-08
0.008385,0.8385,0.001749928,0.4982302,0.2500001,0.25,8.648486e-08,8.648486e-08
0.009297,0.9297,0.007378243,0.4924538,0.2500005,0.2499993,1.267553e-06,1.267553e-06
0.01,1.0,0.01173849,0.4878564,0.2500016,0.2499978,3.817259e-06,3.817259e-06
0.011124799999999999,1.0,0.01879027,0.4801746,0.2500063,0.249991,1.536116e-05,1.536116e-05
0.01143071,1.0,0.02071027,0.478077,0.2500077,0.249989,1.874503e-05,1.874503e-05
0.01240964,1.0,0.02688341,0.471264,0.2500139,0.2499803,3.357314e-05,3.357314e-05
0.015542199999999999,1.0,0.04695433,0.4487569,0.2500589,0.2499164,0.0001424665,0.0001424665
0.02055429,1.0,0.08005304,0.41172,0.2502319,0.2496627,0.0005691583,0.0005691583
0.028573639999999997,1.0,0.1353162,0.3531188,0.2508391,0.2488018,0.002037277,0.002037277
0.03381642,1.0,0.1726152,0.3160253,0.2514769,0.2479839,0.003493026,0.003493026
0.03801064,1.0,0.2028207,0.2870723,0.2521347,0.2472532,0.004881553,0.004881553
0.04472139,1.0,0.251782,0.2422749,0.2535267,0.245996,0.007530741,0.007530741
0.05008999,1.0,0.2913204,0.2076812,0.2549654,0.2449746,0.009990853,0.009990853
0.054384869999999995,1.0,0.3229382,0.1805539,0.2563244,0.2442147,0.01210965,0.01210965
0.06125668,1.0,0.3733674,0.1380722,0.2589001,0.2431608,0.01573937,0.01573937
0.06675412,1.0,0.4133631,0.1047111,0.261294,0.2425061,0.01878784,0.01878784
