time_s,v_n1_v,v_n2_v,v_n1_n2_v
0.0,0.45,0.95,-0.5
2.5e-14,0.45,0.95,-0.5
5e-14,0.45,0.95,-0.5
1e-13,0.45,0.95,-0.5
1.12e-13,0.450028,0.949972,-0.4999439
1.22e-13,0.450055,0.949945,-0.4998899
1.442201e-13,0.450141,0.949859,-0.499718
1.8e-13,0.450333,0.949667,-0.499334
2.372479e-13,0.4506799,0.9493201,-0.4986403
4.204412e-13,0.4517896,0.9482103,-0.4964207
1.00666e-12,0.4553387,0.9446612,-0.4893225
2.882559e-12,0.4666771,0.9333228,-0.4666457
8.885438e-12,0.5028468,0.8971529,-0.3943061
1.368774e-11,0.5317146,0.868285,-0.3365704
2.137143e-11,0.5778747,0.8221249,-0.2442502
2.751837e-11,0.6147947,0.785205,-0.1704103
3.243593e-11,0.6443298,0.7556698,-0.11134
4.030402e-11,0.6915858,0.7084138,-0.01682806
4.65985e-11,0.7293904,0.6706092,0.05878127
5.163408e-11,0.7596342,0.6403654,0.1192687
5.969101e-11,0.8080241,0.5919755,0.2160486
6.567159e-11,0.8439435,0.5560561,0.2878875
7.015702e-11,0.8708831,0.5291165,0.3417666
7.017202e-11,0.8709732,0.5290264,0.3419468
7.022002e-11,0.8712615,0.5287381,0.3425233
7.037362e-11,0.872184,0.5278156,0.3443684
7.086514e-11,0.8751361,0.5248635,0.3502725
7.243801e-11,0.8845827,0.5154169,0.3691658
7.747117e-11,0.9148119,0.4851877,0.4296242
8.361333e-11,0.9396275,0.4603721,0.4792554
9.573494e-11,0.9509946,0.4490053,0.5019893
1.345241e-10,0.9494131,0.450587,0.4988262
1.492421e-10,0.950112,0.449888,0.5002241
1.881262e-10,0.9499338,0.4500662,0.4998676
2.547773e-10,0.9500489,0.4499511,0.5000978
3.391156e-10,0.9499615,0.4500386,0.4999229
4e-10,0.9500277,0.4499723,0.5000553
4.0005e-10,0.9500274,0.4499726,0.5000548
4.001e-10,0.9500271,0.4499729,0.5000543
4.00112e-10,0.949999,0.450001,0.499998
4.00122e-10,0.949972,0.450028,0.4999439
4.001442e-10,0.9498859,0.4501141,0.4997718
4.0018e-10,0.9496937,0.4503063,0.4993874
4.002372e-10,0.9493465,0.4506535,0.4986931
4.004204e-10,0.9482358,0.4517642,0.4964716
4.010067e-10,0.9446838,0.4553161,0.4893677
4.028826e-10,0.9333383,0.4666616,0.4666767
4.088854e-10,0.8971567,0.5028429,0.3943138
4.136877e-10,0.8682864,0.5317133,0.3365731
4.213714e-10,0.8221251,0.5778745,0.2442506
4.275184e-10,0.785205,0.6147946,0.1704104
4.324359e-10,0.7556698,0.6443298,0.11134
4.40304e-10,0.7084138,0.6915858,0.01682807
4.465985e-10,0.6706092,0.7293904,-0.05878127
4.516341e-10,0.6403654,0.7596342,-0.1192687
4.59691e-10,0.5919755,0.8080241,-0.2160486
4.656716e-10,0.5560561,0.8439435,-0.2878875
4.70157e-10,0.5291165,0.8708831,-0.3417666
4.836133e-10,0.4665018,0.9334978,-0.4669959
5.021186e-10,0.4450763,0.9549236,-0.5098473
5.277461e-10,0.4521597,0.9478403,-0.4956806
5.485607e-10,0.449242,0.9507579,-0.5015159
5.767357e-10,0.4503609,0.9496391,-0.4992783
6.170639e-10,0.4497825,0.9502175,-0.5004349
6.71671e-10,0.4501501,0.9498499,-0.4996997
7.626519e-10,0.4498796,0.9501204,-0.5002408
8.001e-10,0.4500697,0.9499303,-0.4998607
8.501e-10,0.4500063,0.9499937,-0.4999873
9.501e-10,0.4499948,0.9500052,-0.5000104
1.0501e-09,0.4500042,0.9499958,-0.4999915
1.1501e-09,0.4499965,0.9500035,-0.5000069
1.2501e-09,0.4500028,0.9499972,-0.4999943
1.3501e-09,0.4499977,0.9500023,-0.5000046
1.4501e-09,0.4500019,0.9499981,-0.4999962
1.5501e-09,0.4499984,0.9500016,-0.5000031
1.6501e-09,0.4500013,0.9499987,-0.4999975
1.7501e-09,0.449999,0.950001,-0.5000021
1.8501e-09,0.4500009,0.9499991,-0.4999983
1.9501e-09,0.4499993,0.9500007,-0.5000014
2e-09,0.4500005,0.9499995,-0.4999991
