case,flow,simulator,model,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,rise,0,00->10,8.100000000000001,2198.3237080332256,421.3312639607985
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,fall,1,01->00,10.1,1042.3448666288402,441.36255041243
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,rise,2,00->11,14.100000000000001,2188.314850408587,441.81110395680116
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,fall,3,11->01,18.1,2973.9791965144336,326.04070558662283
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,rise,4,10->10,20.1,214.9641826254823,-1518.7302770172205
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,fall,5,01->01,22.099999999999998,932.6704567752817,290.0499821735835
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,rise,6,10->11,24.100000000000005,196.22598755253964,-1571.2402341956615
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,fall,7,11->00,32.1,3028.730903279687,383.7542294925322
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,rise,8,00->10,46.1,2189.0013741721896,430.3615500402637
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,fall,9,01->00,48.1,938.3450776902911,293.9595128850002
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,rise,10,00->11,52.1,2177.7000690972336,444.62928886952153
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,fall,11,11->01,56.10000000000001,2971.266763799744,315.6569676549757
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,rise,12,10->10,58.1,213.89943480101252,-1521.263095579944
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,fall,13,01->01,60.100000000000016,982.302108359587,322.45445583023826
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,rise,14,10->11,62.10000000000001,181.74030045736092,-1597.0705095784226
ui2_len30cm_loss5_coarse10,ngspice_pybis_current_kukd,ngspice,pybis current_kukd,fall,15,11->00,70.1,2967.54983735043,297.88200301272667
