case,xyce_ref_rc,xyce_ref_timed_out,xyce_ref_wall_s,xyce_pybis_rc,xyce_pybis_timed_out,xyce_pybis_wall_s,xyce_ref_output,xyce_pybis_output,pre_high,low_gap,post_high,length_cm,loss_scale,n_sections,target_rise_ns,target_fall_ns,py_rise_max_v,py_rise_max_ns,ref_rise_max_v,ref_rise_max_ns,rise_maxabs_py_minus_ref_v,rise_maxabs_py_minus_ref_abs_v,rise_maxabs_ns,py_tx_rise_max_v,ref_tx_rise_max_v,py_fall_min_v,ref_fall_min_v,fall_maxabs_py_minus_ref_v,fall_maxabs_py_minus_ref_abs_v,fall_maxabs_ns
hist_h1_g1_p1_30cm_loss5,0,False,0.1282050609588623,0,False,1.9431209564208984,True,True,1,1,1,30,5.0,10,12.100000000000001,14.1,1.53162362,12.68,0.914081926,12.110000000000001,1.5190433528999667,1.5190433528999667,12.770000000000206,0.111793587,0.776419489,-0.0366018465,-0.0412504739,-0.29226160226040493,0.29226160226040493,15.498000000000427
hist_h1_g1_p2_30cm_loss5,0,False,0.12874960899353027,0,False,2.208235025405884,True,True,1,1,2,30,5.0,10,12.100000000000001,16.1,1.53162362,12.68,0.914081926,12.110000000000001,1.5190433528999667,1.5190433528999667,12.770000000000206,0.111793587,0.776419489,0.276759925,0.986498693,-0.715758537999998,0.715758537999998,16.1
hist_h1_g1_p3_30cm_loss5,0,False,0.13648462295532227,0,False,2.5577900409698486,True,True,1,1,3,30,5.0,10,12.100000000000001,18.100000000000005,1.53162362,12.68,0.914081926,12.110000000000001,1.5190433528999667,1.5190433528999667,12.770000000000206,0.111793587,0.776419489,1.30098905,1.40229937,-0.10820222999999918,0.10820222999999918,18.100000000000005
hist_h1_g1_p4_30cm_loss5,0,False,0.14027142524719238,0,False,2.7548725605010986,True,True,1,1,4,30,5.0,10,12.100000000000001,20.1,1.53162362,12.68,0.914081926,12.110000000000001,1.5190433528999667,1.5190433528999667,12.770000000000206,0.111793587,0.776419489,1.37618273,1.41995001,-0.07079970999999463,0.07079970999999463,20.819999999999627
hist_h1_g2_p1_30cm_loss5,0,False,0.13457298278808594,0,False,2.3712024688720703,True,True,1,2,1,30,5.0,10,14.1,16.1,0.108543527,14.950000000000001,0.0843038826,14.23,0.10912716379999945,0.10912716379999945,14.810000000000219,0.137344456,0.591684592,-0.0431345051,-0.0265631439,-0.2989048238594026,0.2989048238594026,17.497999999999273
hist_h1_g2_p2_30cm_loss5,0,False,0.16329455375671387,0,False,2.6727631092071533,True,True,1,2,2,30,5.0,10,14.1,18.100000000000005,0.108543527,14.950000000000001,0.0843038826,14.23,0.10912716379999945,0.10912716379999945,14.810000000000219,0.137344456,0.591684592,0.284601047,1.03218891,-0.7515551839999985,0.7515551839999985,18.100000000000005
hist_h1_g2_p3_30cm_loss5,0,False,0.16463375091552734,0,False,2.8499512672424316,True,True,1,2,3,30,5.0,10,14.1,20.1,0.108543527,14.950000000000001,0.0843038826,14.23,0.10912716379999945,0.10912716379999945,14.810000000000219,0.137344456,0.591684592,1.32614853,1.39199995,-0.08476196999999996,0.08476196999999996,20.1
hist_h1_g2_p4_30cm_loss5,0,False,0.14223885536193848,0,False,2.981109142303467,True,True,1,2,4,30,5.0,10,14.1,22.1,0.108543527,14.950000000000001,0.0843038826,14.23,0.10912716379999945,0.10912716379999945,14.810000000000219,0.137344456,0.591684592,1.37725483,1.42026368,-0.06256291999999708,0.06256291999999708,22.809999999999633
hist_h1_g3_p1_30cm_loss5,0,False,0.13350749015808105,0,False,2.492809772491455,True,True,1,3,1,30,5.0,10,16.1,18.100000000000005,0.0382205938,16.87,0.0142071554,16.45,0.07376663569999936,0.07376663569999936,16.899999999999586,0.0509467741,0.672304969,-0.0348431368,-0.0197526121,-0.2639546476593836,0.2639546476593836,19.497999999999276
hist_h1_g3_p2_30cm_loss5,0,False,0.13637232780456543,0,False,2.8035993576049805,True,True,1,3,2,30,5.0,10,16.1,20.1,0.0382205938,16.87,0.0142071554,16.45,0.07376663569999936,0.07376663569999936,16.899999999999586,0.0509467741,0.672304969,0.278321148,1.02151403,-0.743192882,0.743192882,20.1
