slew,slew_ns,edge,threshold_pct,threshold_v,ibis_after_start_ps,ref_after_input_start_ps,ref_after_threshold_ps,ref_minus_ibis_from_start_ps,ref_minus_ibis_from_threshold_ps
5p,0.005,rising,0.25,0.3842500054765,2018.2278512215119,1409.8430880520555,1407.3624190528221,-608.3847631694565,-610.8654321686897
5p,0.005,rising,0.5,0.768500003651,2248.3000036509998,1677.857491428019,1675.376822428786,-570.4425122229808,-572.923181222214
5p,0.005,rising,0.75,1.1527500018255,2806.300003651,2228.3726036701673,2225.8919346709345,-577.9273999808328,-580.4080689800659
5p,0.005,falling,0.25,1.1587499697428572,733.4211642182642,3.975265437485831,0.7355804976256763,-729.4458987807784,-732.6855837206385
5p,0.005,falling,0.5,0.7724999394857143,854.5142802103728,220.2949126416378,217.05522770177765,-634.219367568735,-637.4590525085952
5p,0.005,falling,0.75,0.3862499092285714,973.4583243094281,312.24862441201395,309.00893947215377,-661.2096998974142,-664.4493848372744
50p,0.05,rising,0.25,0.3842500054765,2018.2278512215119,1430.904053183033,1409.2647360323313,-587.3237980384789,-608.9631151891808
50p,0.05,rising,0.5,0.768500003651,2248.3000036509998,1689.4188309633087,1667.7795138126069,-558.8811726876912,-580.5204898383931
50p,0.05,rising,0.75,1.1527500018255,2806.300003651,2238.4016091115145,2216.762291960813,-567.8983945394856,-589.5377116901872
50p,0.05,falling,0.25,1.1587499697428572,733.4211642182642,183.88831799133777,154.6918765843426,-549.5328462269265,-578.7292876339217
50p,0.05,falling,0.5,0.7724999394857143,854.5142802103728,249.99579659668035,220.79935518968517,-604.5184836136924,-633.7149250206876
50p,0.05,falling,0.75,0.3862499092285714,973.4583243094281,341.9600708633066,312.76362945631143,-631.4982534461216,-660.6946948531167
100p,0.1,rising,0.25,0.3842500054765,2018.2278512215119,1453.6457398024547,1410.7791063678253,-564.5821114190572,-607.4487448536867
100p,0.1,rising,0.5,0.768500003651,2248.3000036509998,1700.1429994406342,1657.2763660060048,-548.1570042103656,-591.0236376449951
100p,0.1,rising,0.75,1.1527500018255,2806.300003651,2246.2706220726322,2203.4039886380024,-560.0293815783681,-602.8960150129979
100p,0.1,falling,0.25,1.1587499697428572,733.4211642182642,217.57269516561627,159.58327927166317,-515.8484690526479,-573.8378849466011
100p,0.1,falling,0.5,0.7724999394857143,854.5142802103728,283.68669920549473,225.69728331154158,-570.8275810048781,-628.8169968988312
100p,0.1,falling,0.75,0.3862499092285714,973.4583243094281,375.6394519161628,317.65003602220963,-597.8188723932653,-655.8082882872185
250p,0.25,rising,0.25,0.3842500054765,2018.2278512215119,1530.1908465813292,1423.6730746775659,-488.0370046401827,-594.5547765439461
250p,0.25,rising,0.5,0.768500003651,2248.3000036509998,1755.7274617272478,1649.2096898234845,-492.5725419237521,-599.0903138275154
250p,0.25,rising,0.75,1.1527500018255,2806.300003651,2289.538057528897,2183.0202856251335,-516.7619461221032,-623.2797180258665
250p,0.25,falling,0.25,1.1587499697428572,733.4211642182642,319.6697635853809,175.30752834879948,-413.7514006328833,-558.1136358694647
250p,0.25,falling,0.5,0.7724999394857143,854.5142802103728,385.7156804479143,241.35344521133283,-468.79859976245854,-613.1608349990399
250p,0.25,falling,0.75,0.3862499092285714,973.4583243094281,477.70895398535805,333.34671874877665,-495.74937032407007,-640.1116055606515
500p,0.5,rising,0.25,0.3842500054765,2018.2278512215119,1676.682990678898,1464.0748018121737,-341.5448605426139,-554.1530494093383
500p,0.5,rising,0.5,0.768500003651,2248.3000036509998,1888.1513817236848,1675.5431928569603,-360.1486219273151,-572.7568107940396
500p,0.5,rising,0.75,1.1527500018255,2806.300003651,2411.2540814877657,2198.6458926210416,-395.0459221632343,-607.6541110299587
500p,0.5,falling,0.25,1.1587499697428572,733.4211642182642,479.81364883716185,191.50058810973115,-253.6075153811024,-541.920576108533
500p,0.5,falling,0.5,0.7724999394857143,854.5142802103728,557.044952895664,268.73189216823334,-297.4693273147088,-585.7823880421395
500p,0.5,falling,0.75,0.3862499092285714,973.4583243094281,648.9828513856803,360.66979065824967,-324.4754729237478,-612.7885336511785
750p,0.75,rising,0.25,0.3842500054765,2018.2278512215119,1832.3750216517856,1513.692395628246,-185.85282956972637,-504.53545559326597
750p,0.75,rising,0.5,0.768500003651,2248.3000036509998,2037.7730036239582,1719.0903776004186,-210.52700002704182,-529.2096260505814
750p,0.75,rising,0.75,1.1527500018255,2806.300003651,2556.6716830754185,2237.989057051879,-249.6283205755816,-568.3109465991212
750p,0.75,falling,0.25,1.1587499697428572,733.4211642182642,615.2909593825058,183.0272664078194,-118.13020483575842,-550.3938978104447
750p,0.75,falling,0.5,0.7724999394857143,854.5142802103728,717.6904221726179,285.42672919793154,-136.8238580377549,-569.0875510124413
750p,0.75,falling,0.75,0.3862499092285714,973.4583243094281,819.8208918503483,387.55719887566187,-153.6374324590799,-585.9011254337663
1n,1.0,rising,0.25,0.3842500054765,2018.2278512215119,1992.017472010899,1567.26673819571,-26.210379210612977,-450.96111302580175
1n,1.0,rising,0.5,0.768500003651,2248.3000036509998,2194.825394822111,1770.074661006922,-53.4746088288891,-478.2253426440779
1n,1.0,rising,0.75,1.1527500018255,2806.300003651,2711.91513289596,2287.1643990807715,-94.38487075503987,-519.1356045702285
1n,1.0,falling,0.25,1.1587499697428572,733.4211642182642,740.9383486995011,164.72472193696143,7.517184481236949,-568.6964422813028
1n,1.0,falling,0.5,0.7724999394857143,854.5142802103728,863.7242270531651,287.51060029062535,9.209946842792306,-567.0036799197475
1n,1.0,falling,0.75,0.3862499092285714,973.4583243094281,981.6774202795617,405.463793517022,8.219095970133594,-567.9945307924062
1.25n,1.25,rising,0.25,0.3842500054765,2018.2278512215119,2153.392158144168,1622.57587292734,135.16430692265624,-395.65197829417184
1.25n,1.25,rising,0.5,0.768500003651,2248.3000036509998,2355.603872433793,1824.787587216965,107.30386878279319,-423.51241643403495
1.25n,1.25,rising,0.75,1.1527500018255,2806.300003651,2872.2651098414112,2341.448824624583,65.96510619041096,-464.8511790264171
1.25n,1.25,falling,0.25,1.1587499697428572,733.4211642182642,859.9068517830179,139.74413187603218,126.48568756475376,-593.677032342232
1.25n,1.25,falling,0.5,0.7724999394857143,854.5142802103728,1001.7461605582749,281.58344065128915,147.23188034790212,-572.9308395590837
1.25n,1.25,falling,0.75,0.3862499092285714,973.4583243094281,1134.717924607955,414.55520470096906,161.25960029852672,-558.9031196084591
1.5n,1.5,rising,0.25,0.3842500054765,2018.2278512215119,2315.048327664219,1678.172936941382,296.82047644270693,-340.0549142801299
1.5n,1.5,rising,0.5,0.768500003651,2248.3000036509998,2518.260140072039,1881.3847493492021,269.9601364210391,-366.91525430179775
1.5n,1.5,rising,0.75,1.1527500018255,2806.300003651,3035.6374672126094,2398.7620764897724,229.3374635616092,-407.53792716122786
1.5n,1.5,falling,0.25,1.1587499697428572,733.4211642182642,973.8937395585126,109.7826996211726,240.47257534024834,-623.6384645970916
1.5n,1.5,falling,0.5,0.7724999394857143,854.5142802103728,1134.3073398896256,270.1962999522856,279.79305967925274,-584.3179802580872
