channel_id,source,source_family,validation_split,channel_path,relative_path,ports,points,f_min_hz,f_max_hz,inventory_dominant_path,max_low_freq_start_hz,low_freq_coverage_ok,low_freq_coverage_ratio,min_frequency_points,frequency_point_count_ok,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,qualification_profile,combined_rx_shape_degradation_v,candidate,candidate_family,return_code,raw,log,stop_ns,v(p1)_min_v,v(p1)_max_v,v(p1)_finite,v(p3)_min_v,v(p3)_max_v,v(p3)_finite,tx_low_v,tx_active_v,tx_threshold_v,rx_low_v,rx_active_v,rx_threshold_v,tx_rise50_ns,rx_rise50_ns,tx_fall50_ns,rx_fall50_ns,rx_minus_tx_rise50_ps,rx_minus_tx_fall50_ps,tx_pre_response_abs_v,tx_overshoot_v,tx_undershoot_v,tx_settling_abs_v,tx_rise_threshold_crossing_count,tx_fall_threshold_crossing_count,tx_swing_v,tx_ringing_threshold_ambiguous,tx_overshoot_pct_swing,tx_undershoot_pct_swing,tx_settling_pct_swing,tx_pre_response_pct_swing,rx_pre_response_abs_v,rx_overshoot_v,rx_undershoot_v,rx_settling_abs_v,rx_rise_threshold_crossing_count,rx_fall_threshold_crossing_count,rx_swing_v,rx_ringing_threshold_ambiguous,rx_overshoot_pct_swing,rx_undershoot_pct_swing,rx_settling_pct_swing,rx_pre_response_pct_swing,finite_reasonable,last_trouble,case,rsrc_ohm,edge_ps,amplitude_v,voltage_shape_score_v,threshold_delay_confidence,threshold_delay_confidence_reasons
Ch10_35_5F3N_f4_ce6f6d8c,extra,extra,calibration,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,4,3541,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6213284094841652,45563387500.0,True,full,0.002,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,0,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp1p5_edge5_ideal.raw,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp1p5_edge5_ideal.log,35.0,0.0,1.5,True,-4.07710451145474e-05,1.538693595561454e-05,True,0.0,1.5,0.75,0.0,-2.502298263612474e-05,-1.251149131806237e-05,1.0025000000000002,21.550857285253123,9.002500000000001,21.632560915916354,20548.357285253125,12630.060915916354,0.0,0.0,0.0,0.0,1,1,1.5,False,0.0,0.0,0.0,0.0,0.0,1.538693595561454e-05,1.574806247842266e-05,0.0,0,0,2.502298263612474e-05,False,61.491214614044445,62.93439398262528,0.0,0.0,True,,amp1p5_edge5_ideal,ideal,5.0,1.5,1.574806247842266e-05,low,rx_low_swing
Ch10_35_5F3N_f4_ce6f6d8c,extra,extra,calibration,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,4,3526,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6213284094841652,45563387500.0,True,full,0.002,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,0,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp1p5_edge50_ideal.raw,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp1p5_edge50_ideal.log,35.0,0.0,1.5,True,-3.441553492466022e-05,9.189002809890581e-06,True,0.0,1.5,0.75,0.0,-2.501714344032256e-05,-1.250857172016128e-05,1.0250000000000001,21.56842141465471,9.025,21.658211704807417,20543.421414654713,12633.211704807416,0.0,0.0,0.0,0.0,1,1,1.5,False,0.0,0.0,0.0,0.0,0.0,9.189002809890581e-06,9.398391484337661e-06,0.0,0,0,2.501714344032256e-05,False,36.73082353231334,37.56780428092106,0.0,0.0,True,,amp1p5_edge50_ideal,ideal,50.0,1.5,9.398391484337661e-06,low,rx_low_swing
Ch10_35_5F3N_f4_ce6f6d8c,extra,extra,calibration,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,4,3520,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6213284094841652,45563387500.0,True,full,0.002,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,0,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp1p5_edge500_ideal.raw,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp1p5_edge500_ideal.log,35.0,0.0,1.5,True,-3.166757652528584e-05,5.950311729323245e-06,True,0.0,1.5,0.75,0.0,-2.4914256269828992e-05,-1.2457128134914496e-05,1.2499999999999996,21.907673164333662,9.250000000000002,22.52536851287246,20657.67316433366,13275.36851287246,0.0,0.0,0.0,0.0,1,1,1.5,False,0.0,0.0,0.0,0.0,0.0,5.950311729323245e-06,6.753320255456846e-06,0.0,0,0,2.4914256269828992e-05,False,23.883160166932356,27.10624865665797,0.0,0.0,True,,amp1p5_edge500_ideal,ideal,500.0,1.5,6.753320255456846e-06,low,rx_low_swing
Ch10_35_5F3N_f4_ce6f6d8c,extra,extra,calibration,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,4,3539,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6213284094841652,45563387500.0,True,full,0.002,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,0,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp1p5_edge5_r50.raw,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp1p5_edge5_r50.log,35.0,0.0,0.75,True,-2.018501873416478e-05,7.775193484781527e-06,True,0.0,0.75,0.375,0.0,-1.2511225058014465e-05,-6.255612529007233e-06,1.0025000000000002,21.55103249711739,9.002500000000001,21.6326783692474,20548.532497117387,12630.178369247398,0.0,0.0,0.0,0.0,1,1,0.75,False,0.0,0.0,0.0,0.0,0.0,7.775193484781527e-06,7.673793676150315e-06,0.0,0,0,1.2511225058014465e-05,False,62.1457407146623,61.335270052029166,0.0,0.0,True,,amp1p5_edge5_r50,50.0,5.0,1.5,7.775193484781527e-06,low,rx_low_swing
Ch10_35_5F3N_f4_ce6f6d8c,extra,extra,calibration,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,4,3524,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6213284094841652,45563387500.0,True,full,0.002,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,0,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp1p5_edge50_r50.raw,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp1p5_edge50_r50.log,35.0,0.0,0.75,True,-1.715641148051101e-05,4.408937878878173e-06,True,0.0,0.75,0.375,0.0,-1.250625122330295e-05,-6.253125611651475e-06,1.025,21.568455841836013,9.025000000000002,21.65811481512265,20543.455841836014,12633.114815122652,0.0,0.0,0.0,0.0,1,1,0.75,False,0.0,0.0,0.0,0.0,0.0,4.408937878878173e-06,4.65016025720806e-06,0.0,0,0,1.250625122330295e-05,False,35.253872644609764,37.18268707527158,0.0,0.0,True,,amp1p5_edge50_r50,50.0,50.0,1.5,4.65016025720806e-06,low,rx_low_swing
Ch10_35_5F3N_f4_ce6f6d8c,extra,extra,calibration,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,4,3520,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6213284094841652,45563387500.0,True,full,0.002,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,0,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp1p5_edge500_r50.raw,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp1p5_edge500_r50.log,35.0,0.0,0.75,True,-1.583377449470847e-05,2.975157063543545e-06,True,0.0,0.75,0.375,0.0,-1.2457145378877559e-05,-6.2285726894387795e-06,1.2499999999999996,21.907673860085833,9.250000000000002,22.525368858345363,20657.673860085833,13275.368858345362,0.0,0.0,0.0,0.0,1,1,0.75,False,0.0,0.0,0.0,0.0,0.0,2.975157063543545e-06,3.376629115830912e-06,0.0,0,0,1.2457145378877559e-05,False,23.88313673041214,27.10596218581789,0.0,0.0,True,,amp1p5_edge500_r50,50.0,500.0,1.5,3.376629115830912e-06,low,rx_low_swing
Ch10_35_5F3N_f4_ce6f6d8c,extra,extra,calibration,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,4,3524,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6213284094841652,45563387500.0,True,full,0.002,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,0,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp0p05_edge5_ideal.raw,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp0p05_edge5_ideal.log,35.0,0.0,0.05,True,-1.25103693580049e-06,4.214201709987298e-07,True,0.0,0.05,0.025,0.0,-8.339057799512913e-07,-4.1695288997564567e-07,1.0025000000000002,21.550928173867465,9.002500000000001,21.635213508633107,20548.428173867465,12632.713508633107,0.0,0.0,0.0,0.0,1,1,0.05,False,0.0,0.0,0.0,0.0,0.0,4.214201709987298e-07,4.1713115584919864e-07,0.0,0,0,8.339057799512913e-07,False,50.53570572725195,50.02137722004557,0.0,0.0,True,,amp0p05_edge5_ideal,ideal,5.0,0.05,4.214201709987298e-07,low,rx_low_swing
Ch10_35_5F3N_f4_ce6f6d8c,extra,extra,calibration,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,4,3524,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6213284094841652,45563387500.0,True,full,0.002,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,0,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp0p05_edge5_r50.raw,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp0p05_edge5_r50.log,35.0,0.0,0.025,True,-6.266722523135987e-07,2.08461576416906e-07,True,0.0,0.025,0.0125,0.0,-4.169540842757307e-07,-2.0847704213786535e-07,1.0025000000000002,21.55092819643937,9.002500000000001,21.63526415067072,20548.428196439367,12632.764150670719,0.0,0.0,0.0,0.0,1,1,0.025,False,0.0,0.0,0.0,0.0,0.0,2.08461576416906e-07,2.09718168037868e-07,0.0,0,0,4.169540842757307e-07,False,49.99629078559424,50.297664886088974,0.0,0.0,True,,amp0p05_edge5_r50,50.0,5.0,0.05,2.09718168037868e-07,low,rx_low_swing
Ch10_35_5F3N_f4_ce6f6d8c,extra,extra,calibration,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,4,3526,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6213284094841652,45563387500.0,True,full,0.002,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,0,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp0p1_edge5_ideal.raw,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp0p1_edge5_ideal.log,35.0,0.0,0.1,True,-2.600860540745659e-06,9.333346634780358e-07,True,0.0,0.1,0.05,0.0,-1.667853216798621e-06,-8.339266083993105e-07,1.0025000000000002,21.5502525601862,9.002500000000001,21.63333591953281,20547.7525601862,12630.83591953281,0.0,0.0,0.0,0.0,1,1,0.1,False,0.0,0.0,0.0,0.0,0.0,9.333346634780358e-07,9.330073239470381e-07,0.0,0,0,1.667853216798621e-06,False,55.960240030566666,55.94061363133076,0.0,0.0,True,,amp0p1_edge5_ideal,ideal,5.0,0.1,9.333346634780358e-07,low,rx_low_swing
Ch10_35_5F3N_f4_ce6f6d8c,extra,extra,calibration,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,results/bbs_integration_s4p_input_2026-06-16/Ch10_35_5F3N_f4.s4p,4,3524,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6213284094841652,45563387500.0,True,full,0.002,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,0,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp0p1_edge5_r50.raw,results/sparam_bbs_integration_v1_s4p_timeout_smoke_2026-06-16/channels/Ch10_35_5F3N_f4_ce6f6d8c/ngspice_smoke/reduced_4p_rx_dominant_delay_rc/amp0p1_edge5_r50.log,35.0,0.0,0.05,True,-1.25103693580049e-06,4.214201709987349e-07,True,0.0,0.05,0.025,0.0,-8.339057799512896e-07,-4.169528899756448e-07,1.0025000000000002,21.550928173867465,9.002500000000001,21.635213508633107,20548.428173867465,12632.713508633107,0.0,0.0,0.0,0.0,1,1,0.05,False,0.0,0.0,0.0,0.0,0.0,4.214201709987349e-07,4.1713115584920033e-07,0.0,0,0,8.339057799512896e-07,False,50.53570572725267,50.02137722004588,0.0,0.0,True,,amp0p1_edge5_r50,50.0,5.0,0.1,4.214201709987349e-07,low,rx_low_swing
