channel_id,source,path,relative_path,bytes,ports_from_suffix,status,ports,points,f_min_hz,f_max_hz,z0_summary,supported_v1
Ch10_35_5F3N_f1_49905299,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,1141073,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch10_35_5F3N_f2_f23c49e2,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,1140915,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch10_35_5F3N_f3_81049e25,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f3.s4p,1141263,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch10_35_5F3N_f4_fc94db99,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f4.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f4.s4p,1141247,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch10_35_5F3N_f5_3a904f20,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f5.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f5.s4p,1141082,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch10_35_5F3N_n1_8e377765,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n1.s4p,1141573,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch10_35_5F3N_n2_b3e24295,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_n2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n2.s4p,1142126,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch10_35_5F3N_n3_a9ef8f2b,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_n3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n3.s4p,1142025,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch10_35_5F3N_t_d3c7dddc,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_t.s4p,1141329,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch1_10_5F3N_f1_8f9c2982,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f1.s4p,1141934,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch1_10_5F3N_f2_47dc69c2,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f2.s4p,1142185,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch1_10_5F3N_f3_ab427591,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_f3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f3.s4p,1142422,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch1_10_5F3N_f4_dfb4f0b9,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_f4.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f4.s4p,1142214,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch1_10_5F3N_f5_30ca600f,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_f5.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f5.s4p,1142130,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch1_10_5F3N_n1_9a8781a5,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_n1.s4p,1141573,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch1_10_5F3N_n2_a8ccad10,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_n2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_n2.s4p,1142126,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch1_10_5F3N_n3_3af593d3,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_n3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_n3.s4p,1142025,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch1_10_5F3N_t_9f42119e,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_t.s4p,1141978,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch2_12_5F3N_f1_3378b0a3,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch2_12_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch2_12_5F3N_f1.s4p,1142031,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch2_12_5F3N_f2_d795f530,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch2_12_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch2_12_5F3N_f2.s4p,1142303,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch2_12_5F3N_f3_c4aa62ca,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch2_12_5F3N_f3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch2_12_5F3N_f3.s4p,1142262,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch2_12_5F3N_f4_5d940b85,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch2_12_5F3N_f4.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch2_12_5F3N_f4.s4p,1141985,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch2_12_5F3N_f5_f42d0440,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch2_12_5F3N_f5.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch2_12_5F3N_f5.s4p,1141966,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch2_12_5F3N_n1_a8c804cf,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch2_12_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch2_12_5F3N_n1.s4p,1141573,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch2_12_5F3N_n2_7df3d449,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch2_12_5F3N_n2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch2_12_5F3N_n2.s4p,1142126,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch2_12_5F3N_n3_0722c1a4,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch2_12_5F3N_n3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch2_12_5F3N_n3.s4p,1142025,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch2_12_5F3N_t_6b0325a2,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch2_12_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch2_12_5F3N_t.s4p,1141948,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch3_17_5F3N_f1_ea073bed,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch3_17_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch3_17_5F3N_f1.s4p,1142051,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch3_17_5F3N_f2_88fcb92b,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch3_17_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch3_17_5F3N_f2.s4p,1142268,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch3_17_5F3N_f3_c08ef229,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch3_17_5F3N_f3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch3_17_5F3N_f3.s4p,1142125,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch3_17_5F3N_f4_efc6aab7,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch3_17_5F3N_f4.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch3_17_5F3N_f4.s4p,1142151,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch3_17_5F3N_f5_2005253f,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch3_17_5F3N_f5.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch3_17_5F3N_f5.s4p,1141924,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch3_17_5F3N_n1_154e3882,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch3_17_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch3_17_5F3N_n1.s4p,1141573,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch3_17_5F3N_n2_6af9a3d7,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch3_17_5F3N_n2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch3_17_5F3N_n2.s4p,1142126,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch3_17_5F3N_n3_7c2c38b4,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch3_17_5F3N_n3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch3_17_5F3N_n3.s4p,1142025,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch3_17_5F3N_t_b5beac5f,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch3_17_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch3_17_5F3N_t.s4p,1141966,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch4_20_5F3N_f1_3d23614b,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch4_20_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch4_20_5F3N_f1.s4p,1141334,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch4_20_5F3N_f2_82231e3b,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch4_20_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch4_20_5F3N_f2.s4p,1141231,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch4_20_5F3N_f3_f9f1e38c,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch4_20_5F3N_f3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch4_20_5F3N_f3.s4p,1141285,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch4_20_5F3N_f4_b2aeb782,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch4_20_5F3N_f4.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch4_20_5F3N_f4.s4p,1141150,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch4_20_5F3N_f5_fb83e9a3,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch4_20_5F3N_f5.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch4_20_5F3N_f5.s4p,1141367,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch4_20_5F3N_n1_18bbe129,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch4_20_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch4_20_5F3N_n1.s4p,1141573,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch4_20_5F3N_n2_63b78e89,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch4_20_5F3N_n2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch4_20_5F3N_n2.s4p,1142126,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch4_20_5F3N_n3_3aef7b19,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch4_20_5F3N_n3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch4_20_5F3N_n3.s4p,1142025,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch4_20_5F3N_t_78b3548c,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch4_20_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch4_20_5F3N_t.s4p,1141186,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch5_22_5F3N_f1_ceb18ce3,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch5_22_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch5_22_5F3N_f1.s4p,1141974,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch5_22_5F3N_f2_46ed874c,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch5_22_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch5_22_5F3N_f2.s4p,1142133,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch5_22_5F3N_f3_8c03a4fd,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch5_22_5F3N_f3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch5_22_5F3N_f3.s4p,1141930,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch5_22_5F3N_f4_23652cf6,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch5_22_5F3N_f4.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch5_22_5F3N_f4.s4p,1141835,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch5_22_5F3N_f5_45e65429,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch5_22_5F3N_f5.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch5_22_5F3N_f5.s4p,1141988,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch5_22_5F3N_n1_5e444e53,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch5_22_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch5_22_5F3N_n1.s4p,1141573,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch5_22_5F3N_n2_62fabfed,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch5_22_5F3N_n2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch5_22_5F3N_n2.s4p,1142126,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch5_22_5F3N_n3_b15f7e50,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch5_22_5F3N_n3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch5_22_5F3N_n3.s4p,1142025,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch5_22_5F3N_t_cd60ff78,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch5_22_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch5_22_5F3N_t.s4p,1142072,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
Ch6_25_5F3N_f1_fbd74da8,extra,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch6_25_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch6_25_5F3N_f1.s4p,1141137,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True
