channel_id,path,relative_path,ports_from_suffix,bytes,status,supported_v1,ports,points,f_min_hz,f_max_hz,z0_summary,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,dominant_path,dominant_peak_mag_db,dominant_low_freq_mag_db,dominant_high_freq_mag_db,dominant_delay_ns,delay_fmax_cycles,through_delay_spread_ns,through_paths_json,recommended_flow,route_reason,recommended_smoke_stop_ns,recommended_audit_stop_ns,recommended_candidates,ngspice_action
Ch1_10_5F3N_t_9f42119e,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_t.s4p,4,1141978,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.9999600977658687,10000000.0,True,S31,-0.21383205000000058,-0.21383205000000058,-53.606308,2.435929585917641,121.79647929588205,0.0022370696361284637,S31 peak=-0.2138dB delay=2.436ns; S42 peak=-0.2155dB delay=2.434ns; S13 peak=-0.2255dB delay=2.437ns; S24 peak=-0.2277dB delay=2.434ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,23,23,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch1_10_8F_t_73ade4ae,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\8F\Ch1_10_8F_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/8F/Ch1_10_8F_t.s4p,4,1141978,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.9999600977658687,10000000.0,True,S31,-0.21383205000000058,-0.21383205000000058,-53.606308,2.435929585917641,121.79647929588205,0.0022370696361284637,S31 peak=-0.2138dB delay=2.436ns; S42 peak=-0.2155dB delay=2.434ns; S13 peak=-0.2255dB delay=2.437ns; S24 peak=-0.2277dB delay=2.434ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,23,23,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch3_17_5F3N_t_b5beac5f,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch3_17_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch3_17_5F3N_t.s4p,4,1141966,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.9988032878733762,10000000.0,True,S31,-0.4315367900000006,-0.4315367900000006,-74.031525,4.454522193327656,222.7261096663828,0.0015551554756401131,S31 peak=-0.4315dB delay=4.455ns; S42 peak=-0.4323dB delay=4.453ns; S13 peak=-0.4442dB delay=4.454ns; S24 peak=-0.4462dB delay=4.453ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,25,25,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch3_17_8F_t_1063b4ed,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\8F\Ch3_17_8F_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/8F/Ch3_17_8F_t.s4p,4,1141966,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.9988032878733762,10000000.0,True,S31,-0.4315367900000006,-0.4315367900000006,-74.031525,4.454522193327656,222.7261096663828,0.0015551554756401131,S31 peak=-0.4315dB delay=4.455ns; S42 peak=-0.4323dB delay=4.453ns; S13 peak=-0.4442dB delay=4.454ns; S24 peak=-0.4462dB delay=4.453ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,25,25,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch5_22_5F3N_t_cd60ff78,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch5_22_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch5_22_5F3N_t.s4p,4,1142072,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.997476500771818,10000000.0,True,S31,-0.5885916900000003,-0.5885916900000003,-85.16835,5.940826298592869,297.0413149296435,0.002211909047590943,S31 peak=-0.5886dB delay=5.941ns; S42 peak=-0.589dB delay=5.939ns; S13 peak=-0.5991dB delay=5.941ns; S24 peak=-0.599dB delay=5.939ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,26,26,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch5_22_8F_t_afe82982,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\8F\Ch5_22_8F_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/8F/Ch5_22_8F_t.s4p,4,1142072,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.997476500771818,10000000.0,True,S31,-0.5885916900000003,-0.5885916900000003,-85.16835,5.940826298592869,297.0413149296435,0.002211909047590943,S31 peak=-0.5886dB delay=5.941ns; S42 peak=-0.589dB delay=5.939ns; S13 peak=-0.5991dB delay=5.941ns; S24 peak=-0.599dB delay=5.939ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,26,26,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch7_28_5F3N_t_14e90129,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch7_28_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch7_28_5F3N_t.s4p,4,1141965,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.9953788729534329,10000000.0,True,S31,-0.7412899100000003,-0.7412899100000003,-74.569191,7.4313348892000235,371.5667444600012,0.0007987775336122382,S31 peak=-0.7413dB delay=7.431ns; S42 peak=-0.7435dB delay=7.431ns; S13 peak=-0.7532dB delay=7.432ns; S24 peak=-0.7533dB delay=7.431ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,28,28,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch7_28_8F_t_b6a7aed0,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\8F\Ch7_28_8F_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/8F/Ch7_28_8F_t.s4p,4,1141965,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.9953788729534329,10000000.0,True,S31,-0.7412899100000003,-0.7412899100000003,-74.569191,7.4313348892000235,371.5667444600012,0.0007987775336122382,S31 peak=-0.7413dB delay=7.431ns; S42 peak=-0.7435dB delay=7.431ns; S13 peak=-0.7532dB delay=7.432ns; S24 peak=-0.7533dB delay=7.431ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,28,28,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch4_20_5F3N_t_78b3548c,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch4_20_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch4_20_5F3N_t.s4p,4,1141186,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.9931324963059647,10000000.0,True,S31,-0.3473958100000012,-0.3473958100000012,-83.338593,8.993794092151655,449.68970460758277,0.0037878686848831222,S31 peak=-0.3474dB delay=8.994ns; S42 peak=-0.3825dB delay=8.991ns; S13 peak=-0.3532dB delay=8.994ns; S24 peak=-0.3606dB delay=8.99ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,29,29,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch4_20_8F_t_afb27bdd,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\8F\Ch4_20_8F_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/8F/Ch4_20_8F_t.s4p,4,1141186,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.9931324963059647,10000000.0,True,S31,-0.3473958100000012,-0.3473958100000012,-83.338593,8.993794092151655,449.68970460758277,0.0037878686848831222,S31 peak=-0.3474dB delay=8.994ns; S42 peak=-0.3825dB delay=8.991ns; S13 peak=-0.3532dB delay=8.994ns; S24 peak=-0.3606dB delay=8.99ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,29,29,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch8_30_5F3N_t_21ef6343,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch8_30_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch8_30_5F3N_t.s4p,4,1141151,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.9901391142767676,10000000.0,True,S31,-0.7146821000000014,-0.7146821000000014,-100.6663,12.488049832188528,624.4024916094264,0.0022168878215982346,S31 peak=-0.7147dB delay=12.49ns; S42 peak=-0.7358dB delay=12.49ns; S13 peak=-0.7149dB delay=12.49ns; S24 peak=-0.7154dB delay=12.49ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,33,33,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch8_30_8F_t_887ed30d,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\8F\Ch8_30_8F_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/8F/Ch8_30_8F_t.s4p,4,1141151,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.9901391142767676,10000000.0,True,S31,-0.7146821000000014,-0.7146821000000014,-100.6663,12.488049832188528,624.4024916094264,0.0022168878215982346,S31 peak=-0.7147dB delay=12.49ns; S42 peak=-0.7358dB delay=12.49ns; S13 peak=-0.7149dB delay=12.49ns; S24 peak=-0.7154dB delay=12.49ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,33,33,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
