"channel_id","source","path","relative_path","bytes","ports_from_suffix","status","ports","points","f_min_hz","f_max_hz","z0_summary","supported_v1"
"Ch10_35_5F3N_f5_3a904f20","extra","C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f5.s4p","hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f5.s4p","1141082","4","ok","4","3201","10000000.0","50000000000.0","50;50;50;50;50;50;50;50...","True"
"Ch10_35_5F3N_n3_a9ef8f2b","extra","C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_n3.s4p","hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n3.s4p","1142025","4","ok","4","3201","10000000.0","50000000000.0","50;50;50;50;50;50;50;50...","True"
"Ch10_35_5F3N_t_d3c7dddc","extra","C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_t.s4p","hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_t.s4p","1141329","4","ok","4","3201","10000000.0","50000000000.0","50;50;50;50;50;50;50;50...","True"
"Ch1_10_5F3N_f1_8f9c2982","extra","C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_f1.s4p","hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f1.s4p","1141934","4","ok","4","3201","10000000.0","50000000000.0","50;50;50;50;50;50;50;50...","True"
"Ch1_10_5F3N_n1_9a8781a5","extra","C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_n1.s4p","hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_n1.s4p","1141573","4","ok","4","3201","10000000.0","50000000000.0","50;50;50;50;50;50;50;50...","True"
"Ch1_10_5F3N_t_9f42119e","extra","C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_t.s4p","hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_t.s4p","1141978","4","ok","4","3201","10000000.0","50000000000.0","50;50;50;50;50;50;50;50...","True"
"Ch10_35_8F_f8_95b91b5e","extra","C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\8F\Ch10_35_8F_f8.s4p","hspice/sparam/Cisco_Backplane_channel_data/8F/Ch10_35_8F_f8.s4p","1141082","4","ok","4","3201","10000000.0","50000000000.0","50;50;50;50;50;50;50;50...","True"
"Ch10_35_8F_t_99349b74","extra","C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\8F\Ch10_35_8F_t.s4p","hspice/sparam/Cisco_Backplane_channel_data/8F/Ch10_35_8F_t.s4p","1141329","4","ok","4","3201","10000000.0","50000000000.0","50;50;50;50;50;50;50;50...","True"
"Ch1_10_8F_f1_2b7329d0","extra","C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\8F\Ch1_10_8F_f1.s4p","hspice/sparam/Cisco_Backplane_channel_data/8F/Ch1_10_8F_f1.s4p","1141934","4","ok","4","3201","10000000.0","50000000000.0","50;50;50;50;50;50;50;50...","True"
"Ch1_10_8F_t_73ade4ae","extra","C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\8F\Ch1_10_8F_t.s4p","hspice/sparam/Cisco_Backplane_channel_data/8F/Ch1_10_8F_t.s4p","1141978","4","ok","4","3201","10000000.0","50000000000.0","50;50;50;50;50;50;50;50...","True"
