channel_id,channel_path,ports,points,f_min_hz,f_max_hz,max_low_freq_start_hz,low_freq_coverage_ok,low_freq_coverage_ratio,min_frequency_points,frequency_point_count_ok,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,candidate,stage,fit_warnings,fit_complex_rms,fit_complex_max,fit_mag_db_rms_above_m40,fit_mag_db_max_above_m40,fit_phase_deg_rms_above_m40,fit_phase_deg_max_above_m40,fit_group_delay_rms_ps,fit_group_delay_max_ps,model_order,pole_count_array,is_passive,passivity_violation_bands_hz,max_sv_input_samples,max_sv_input_samples_freq_hz,max_sv_high,max_sv_high_freq_hz,sv_at_high_fmax,spice_file,math_pass,math_fail_reasons,ngspice_pass,selected
Ch10_35_5F3N_f5_3a904f20,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f5.s4p,4,3201,10000000.0,50000000000.0,5000000000.0,True,0.002,8,True,400000000000.0,0.6208303208282462,45563387500.0,True,vector_3r3c,raw,"Vector Fitting: The pole relocation process stopped after reaching the maximum number of iterations (N_max = 100). The results did not converge properly. | The fitted network is passive, but the vector fit is not passive. Consider running `passivity_enforce()` to enforce passivity before using this model.",0.09995076929096613,0.46846115939826616,30.94743116385051,100.4182213750485,95.44587026166812,179.99456003190755,13381.30636001818,32028.77004120728,9,5,False,"[[425344977829.2365, 585695652361.409], [585695652361.409, 610355356842.6201], [610355356842.6201, 734632908166.7714], [734632908166.7714, Infinity]]",0.5084499678401598,17943912500.0,0.9413975337351435,400000000000.0,0.9413975337351435,results/sparam_cisco_stage_2026-06-08/channels/Ch10_35_5F3N_f5_3a904f20/models/vector_3r3c/Ch10_35_5F3N_f5_3a904f20_vector_3r3c.sp,False,non_passive_fit;complex_rms_error;magnitude_db_error;group_delay_error,False,False
Ch10_35_5F3N_f5_3a904f20,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f5.s4p,4,3201,10000000.0,50000000000.0,5000000000.0,True,0.002,8,True,400000000000.0,0.6208303208282462,45563387500.0,True,vector_5r5c,raw,"Vector Fitting: The pole relocation process stopped after reaching the maximum number of iterations (N_max = 100). The results did not converge properly. | The fitted network is passive, but the vector fit is not passive. Consider running `passivity_enforce()` to enforce passivity before using this model.",0.0964380961655516,0.48103497117978483,26.535799351622618,82.46920160370256,94.6804184133764,179.9844424909408,13368.887599795402,32038.11591086713,15,8,False,"[[345326390345.1032, 450888261210.89374], [450888261210.89374, 592969317885.0643], [592969317885.0643, 722104321830.4379], [722104321830.4379, Infinity]]",0.5277262032936461,15585009375.0,1.1553458082264823,400000000000.0,1.1553458082264823,results/sparam_cisco_stage_2026-06-08/channels/Ch10_35_5F3N_f5_3a904f20/models/vector_5r5c/Ch10_35_5F3N_f5_3a904f20_vector_5r5c.sp,False,non_passive_fit;dense_singular_value;complex_rms_error;magnitude_db_error;group_delay_error,False,False
Ch10_35_5F3N_f5_3a904f20,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f5.s4p,4,3201,10000000.0,50000000000.0,5000000000.0,True,0.002,8,True,400000000000.0,0.6208303208282462,45563387500.0,True,vector_8r8c,raw,,0.09022095943882251,0.4621255180582457,26.04560873844794,100.49177601307215,91.42637875103088,179.99709929343976,13371.326303159023,32548.14605373497,24,12,True,[],0.5714511250039248,17818937500.0,0.5245748393752551,15600000000.0,0.02996635638804901,results/sparam_cisco_stage_2026-06-08/channels/Ch10_35_5F3N_f5_3a904f20/models/vector_8r8c/Ch10_35_5F3N_f5_3a904f20_vector_8r8c.sp,False,complex_rms_error;magnitude_db_error;group_delay_error,False,False
Ch10_35_5F3N_n3_a9ef8f2b,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n3.s4p,4,3201,10000000.0,50000000000.0,5000000000.0,True,0.002,8,True,400000000000.0,0.6008022618005516,45547765625.0,True,vector_3r3c,raw,Vector Fitting: The pole relocation process stopped after reaching the maximum number of iterations (N_max = 100). The results did not converge properly.,0.12109359831753619,0.6085586577982286,21.505279327483457,45.821898384185786,93.16687197519116,179.99875650743232,2268.454555181922,31308.28576031965,9,5,True,[],0.4459761750967918,44048065625.0,0.4459526719590403,44000000000.0,0.3060093196903653,results/sparam_cisco_stage_2026-06-08/channels/Ch10_35_5F3N_n3_a9ef8f2b/models/vector_3r3c/Ch10_35_5F3N_n3_a9ef8f2b_vector_3r3c.sp,False,complex_rms_error;magnitude_db_error;group_delay_error,False,False
Ch10_35_5F3N_n3_a9ef8f2b,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n3.s4p,4,3201,10000000.0,50000000000.0,5000000000.0,True,0.002,8,True,400000000000.0,0.6008022618005516,45547765625.0,True,vector_5r5c,raw,"Vector Fitting: The pole relocation process stopped after reaching the maximum number of iterations (N_max = 100). The results did not converge properly. | The fitted network is passive, but the vector fit is not passive. Consider running `passivity_enforce()` to enforce passivity before using this model.",0.11487155463857807,0.46079248970124187,21.895099716431783,61.75689904689947,90.92344743204823,179.99017549657447,2240.660115905136,31309.965045056157,15,8,False,"[[587345775706.0258, 2220900831659.307], [2220900831659.307, Infinity]]",0.462873083620272,44860403125.0,0.7144446016873185,400000000000.0,0.7144446016873185,results/sparam_cisco_stage_2026-06-08/channels/Ch10_35_5F3N_n3_a9ef8f2b/models/vector_5r5c/Ch10_35_5F3N_n3_a9ef8f2b_vector_5r5c.sp,False,non_passive_fit;complex_rms_error;magnitude_db_error;group_delay_error,False,False
Ch10_35_5F3N_n3_a9ef8f2b,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n3.s4p,4,3201,10000000.0,50000000000.0,5000000000.0,True,0.002,8,True,400000000000.0,0.6008022618005516,45547765625.0,True,vector_8r8c,raw,Vector Fitting: The pole relocation process stopped after reaching the maximum number of iterations (N_max = 100). The results did not converge properly.,0.10939436242430928,0.5272228975116511,13.621309918172546,48.149305717985285,88.1413205927188,179.98156081239762,2247.5362484806565,31313.221062122197,24,12,True,[],0.48707646231122004,44688562500.0,0.4867923703187827,44800000000.0,0.1820405612960784,results/sparam_cisco_stage_2026-06-08/channels/Ch10_35_5F3N_n3_a9ef8f2b/models/vector_8r8c/Ch10_35_5F3N_n3_a9ef8f2b_vector_8r8c.sp,False,complex_rms_error;magnitude_db_error;group_delay_error,False,False
Ch10_35_5F3N_t_d3c7dddc,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_t.s4p,4,3201,10000000.0,50000000000.0,5000000000.0,True,0.002,8,True,400000000000.0,0.9876758453841427,10000000.0,True,vector_3r3c,raw,"Vector Fitting: The pole relocation process stopped after reaching the maximum number of iterations (N_max = 100). The results did not converge properly. | The fitted network is passive, but the vector fit is not passive. Consider running `passivity_enforce()` to enforce passivity before using this model.",0.11917973055776165,0.9887787130399766,26.173660507301143,59.63171593999302,97.60919670753549,179.9920154378571,13782.658700827888,31392.477266207596,9,5,False,"[[0.0, 5660183.020020127], [5660183.020020127, 6116089.775045708], [6116089.775045708, 7946931.163698711], [7946931.163698711, 8331551.850485171], [57566377.29008985, 57754809.55521397], [57754809.55521397, 59120194.182330325], [59120194.182330325, 59442462.28964665], [59442462.28964665, 60486016.42194517], [60486016.42194517, 60620975.628962964], [60620975.628962964, 62539169.566665016], [62539169.566665016, 63016857.270974755]]",0.9609680996434207,56865625.0,1.7051077918087445,0.0,0.20199989163876256,results/sparam_cisco_stage_2026-06-08/channels/Ch10_35_5F3N_t_d3c7dddc/models/vector_3r3c/Ch10_35_5F3N_t_d3c7dddc_vector_3r3c.sp,False,non_passive_fit;dense_singular_value;complex_rms_error;magnitude_db_error;group_delay_error,False,False
Ch10_35_5F3N_t_d3c7dddc,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_t.s4p,4,3201,10000000.0,50000000000.0,5000000000.0,True,0.002,8,True,400000000000.0,0.9876758453841427,10000000.0,True,vector_5r5c,raw,"Vector Fitting: The pole relocation process stopped after reaching the maximum number of iterations (N_max = 100). The results did not converge properly. | The fitted network is passive, but the vector fit is not passive. Consider running `passivity_enforce()` to enforce passivity before using this model.",0.11789800493754143,1.0400723992739191,26.237544235324446,62.55815388205593,96.89171922414504,179.99429403503987,13735.172143819196,31417.346734244085,15,9,False,"[[0.0, 6255863.640630283], [6255863.640630283, 6744252.851124085], [6744252.851124085, 7753730.800762742], [7753730.800762742, 8246935.949435534], [57283253.24521893, 57714793.02075143], [57714793.02075143, 59335083.44411462], [59335083.44411462, 63128665.22279995], [63128665.22279995, 64065119.2250082], [64065119.2250082, 64970775.040062696], [186606570323.05212, 253770108715.80695], [253770108715.80695, 449416937676.8216], [449416937676.8216, 478897431917.1624], [478897431917.1624, Infinity]]",0.978721659166533,56865625.0,2.162076766126547,400000000000.0,2.162076766126547,results/sparam_cisco_stage_2026-06-08/channels/Ch10_35_5F3N_t_d3c7dddc/models/vector_5r5c/Ch10_35_5F3N_t_d3c7dddc_vector_5r5c.sp,False,non_passive_fit;dense_singular_value;complex_rms_error;magnitude_db_error;group_delay_error,False,False
Ch10_35_5F3N_t_d3c7dddc,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_t.s4p,4,3201,10000000.0,50000000000.0,5000000000.0,True,0.002,8,True,400000000000.0,0.9876758453841427,10000000.0,True,vector_8r8c,raw,"Vector Fitting: The pole relocation process stopped after reaching the maximum number of iterations (N_max = 100). The results did not converge properly. | The fitted network is passive, but the vector fit is not passive. Consider running `passivity_enforce()` to enforce passivity before using this model.",0.1129617846705706,1.036851104256084,23.432081232019858,59.69681333337688,95.08849541165499,179.99635706660996,13683.685624093298,31454.83902701221,24,13,False,"[[0.0, 4536960.041521925], [4536960.041521925, 5312142.466949257], [5312142.466949257, 8924616.187786287], [8924616.187786287, 9451024.162315803], [57902877.73884666, 58935067.4402248], [58935067.4402248, 59683265.49679642], [59683265.49679642, 63906008.01159288], [63906008.01159288, 64058353.58265308], [64058353.58265308, 65950045.0359352], [123633909.17672057, 128397402.30111873], [374316211.2996478, 377659964.60654664], [121691598621.89822, 145628336263.13287], [145628336263.13287, 484163675893.4997], [484163675893.4997, 741438374936.2621], [741438374936.2621, Infinity]]",0.9714813053842719,10000000.0,3.32801492731364,400000000000.0,3.32801492731364,results/sparam_cisco_stage_2026-06-08/channels/Ch10_35_5F3N_t_d3c7dddc/models/vector_8r8c/Ch10_35_5F3N_t_d3c7dddc_vector_8r8c.sp,False,non_passive_fit;dense_singular_value;complex_rms_error;magnitude_db_error;group_delay_error,False,False
Ch10_35_8F_f8_95b91b5e,hspice/sparam/Cisco_Backplane_channel_data/8F/Ch10_35_8F_f8.s4p,4,3201,10000000.0,50000000000.0,5000000000.0,True,0.002,8,True,400000000000.0,0.6208303208282462,45563387500.0,True,vector_3r3c,raw,"Vector Fitting: The pole relocation process stopped after reaching the maximum number of iterations (N_max = 100). The results did not converge properly. | The fitted network is passive, but the vector fit is not passive. Consider running `passivity_enforce()` to enforce passivity before using this model.",0.09995076929096613,0.46846115939826616,30.94743116385051,100.4182213750485,95.44587026166812,179.99456003190755,13381.30636001818,32028.77004120728,9,5,False,"[[425344977829.2365, 585695652361.409], [585695652361.409, 610355356842.6201], [610355356842.6201, 734632908166.7714], [734632908166.7714, Infinity]]",0.5084499678401598,17943912500.0,0.9413975337351435,400000000000.0,0.9413975337351435,results/sparam_cisco_stage_2026-06-08/channels/Ch10_35_8F_f8_95b91b5e/models/vector_3r3c/Ch10_35_8F_f8_95b91b5e_vector_3r3c.sp,False,non_passive_fit;complex_rms_error;magnitude_db_error;group_delay_error,False,False
