channel_id,channel_path,ports,points,f_min_hz,f_max_hz,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,selected_candidate,status,reason,selected_spice_file,selected_model_order,selected_fit_complex_rms,selected_max_sv_high,hspice_cases_ok,hspice_cases_missing,tx_rmse_median_v,rx_rmse_median_v,rx_rmse_max_v,channel_delay_rise_delta_median_abs_ps,channel_delay_fall_delta_median_abs_ps
Agilent_E5071B_4f4fd1d7,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,4,205,500000000.0,4500000000.0,400000000000.0,0.974180745358752,500000000.0,True,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
Clarity_example_acf20e4a,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,400000000000.0,0.9981438316324364,50000000.0,True,vector_3r3c,selected,lowest model order among candidates passing math + ngspice gates,results/sparam_conversion_quality_2026-06-08/channels/Clarity_example_acf20e4a/models/vector_3r3c/Clarity_example_acf20e4a_vector_3r3c.sp,9,0.0004875352609379861,0.9983643763329778,3,0,0.006231956569746911,0.04980215197014636,0.08386564419497808,11.881908992632532,12.414393258741143
cst_example_4ports_e82e6e67,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_4ports.s4p,4,601,0.0,60000000.0,400000000000.0,1.0849718071998142,19900000.0,False,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
designer_variable_coupler_ideal_20deg_e31d0708,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/designer_variable_coupler_ideal_20deg.s4p,4,1,1500000000.0,1500000000.0,400000000000.0,1.0000000000000002,1500000000.0,True,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
designer_variable_coupler_ideal_75deg_50e48e76,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/designer_variable_coupler_ideal_75deg.s4p,4,1,1500000000.0,1500000000.0,400000000000.0,1.0,1500000000.0,True,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
fet_7e5200ad,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/fet.s2p,2,101,30000000000.0,40000000000.0,400000000000.0,1.4317851903488026,30000000000.0,False,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
hfss_twoport_e975fe9f,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_twoport.s2p,2,101,75000000000.0,110000000000.0,400000000000.0,0.9905657630375243,75700000000.0,True,auto_fit,selected,lowest model order among candidates passing math + ngspice gates,results/sparam_conversion_quality_2026-06-08/channels/hfss_twoport_e975fe9f/models/auto_fit/hfss_twoport_e975fe9f_auto_fit.sp,5,0.0001147387268066288,0.9925549523750632,3,0,0.010664440204110386,0.2200282482861923,0.2202825851737993,9.517500645404791,9.914194524139322
LFCN-2352__Plus125degC_4793e65c,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/LFCN-2352+_Plus125degC.s2p,2,2006,10000000.0,50000000000.0,400000000000.0,1.1201258463409525,10625000000.0,False,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
LFCN-2352__Plus25degC_d04142bc,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/LFCN-2352+_Plus25degC.s2p,2,2006,10000000.0,50000000000.0,400000000000.0,1.1536655525959123,10625000000.0,False,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
ntwk1_f450e450,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk1.s2p,2,91,1000000000.0,10000000000.0,400000000000.0,1.0000000007608698,9000000000.0,False,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
ntwk2_e1c16499,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk2.s2p,2,91,1000000000.0,10000000000.0,400000000000.0,1.0000000005841938,5700000000.0,False,vector_5r5c,selected,lowest model order among candidates passing math + ngspice gates,results/sparam_conversion_quality_2026-06-08/channels/ntwk2_e1c16499/models/vector_5r5c/ntwk2_e1c16499_vector_5r5c.sp,15,3.1307336447400265e-10,1.0000000001450986,3,0,0.0019118359202858113,0.0009504762044148723,0.0023059495208204257,0.12855761899273688,0.47710174844132425
ntwk3_ad74ab42,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk3.s2p,2,91,1000000000.0,10000000000.0,400000000000.0,0.999708035011139,1000000000.0,True,vector_4r4c,selected,lowest model order among candidates passing math + ngspice gates,results/sparam_conversion_quality_2026-06-08/channels/ntwk3_ad74ab42/models/vector_4r4c/ntwk3_ad74ab42_vector_4r4c.sp,12,5.569580403452357e-10,0.9999999994631221,3,0,0.00018782854358421002,0.0004572909302132477,0.0040696353173707,0.3692842782905892,0.29886920878336043
ntwk4_806cfc7d,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4.s2p,2,301,70000000000.0,85000000000.0,400000000000.0,0.9075975599388516,70350000000.0,True,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
ntwk4_n_6d3c414e,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk4_n.s2p,2,301,70000000000.0,85000000000.0,400000000000.0,0.9075975599388516,70350000000.0,True,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
ntwk_arbitrary_frequency_3e8760a8,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_arbitrary_frequency.s2p,2,4,1.0,20.0,400000000000.0,0.9999999997735052,1.0,True,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
ntwk_noise_65eeb4e4,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise.s2p,2,11,1000000000.0,2000000000.0,400000000000.0,10.0,1000000000.0,False,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
ntwk_noise_interp_a132609e,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk_noise_interp.s2p,2,13,100000000.0,10000000000.0,400000000000.0,10.0,100000000.0,False,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
ntwk1_e20029da,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk1.s2p,2,91,1000000000.0,10000000000.0,400000000000.0,1.0000000007608698,9000000000.0,False,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
ntwk2_24638a5f,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk2.s2p,2,91,1000000000.0,10000000000.0,400000000000.0,1.0000000005841938,5700000000.0,False,vector_5r5c,selected,lowest model order among candidates passing math + ngspice gates,results/sparam_conversion_quality_2026-06-08/channels/ntwk2_24638a5f/models/vector_5r5c/ntwk2_24638a5f_vector_5r5c.sp,15,3.1307336447400265e-10,1.0000000001450986,3,0,0.0019118359202858113,0.0009504762044148723,0.0023059495208204257,0.12855761899273688,0.47710174844132425
ntwk3_8f8a2430,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwks/ntwk3.s2p,2,91,1000000000.0,10000000000.0,400000000000.0,0.999708035011139,1000000000.0,True,vector_4r4c,selected,lowest model order among candidates passing math + ngspice gates,results/sparam_conversion_quality_2026-06-08/channels/ntwk3_8f8a2430/models/vector_4r4c/ntwk3_8f8a2430_vector_4r4c.sp,12,5.569580403452357e-10,0.9999999994631221,3,0,0.00018782854358421002,0.0004572909302132477,0.0040696353173707,0.3692842782905892,0.29886920878336043
RS_ZNB8_23e14c3f,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/RS_ZNB8.s4p,4,1001,40000000.0,60000000.0,400000000000.0,0.9866017223194978,40520000.0,True,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
RS_ZVR_1.20_beta_f_6cd9e598,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/RS_ZVR_1.20_beta_f.s2p,2,1,1000.0,1000.0,400000000000.0,1.5321003374277322,1000.0,False,,no_candidate_passed,no candidate passed math + ngspice gates,,,,,0,0,,,,,
thru_a0b4754f,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/thru.s2p,2,4,1000000000.0,100000000000.0,400000000000.0,1.0,1000000000.0,True,vector_1r1c,selected,lowest model order among candidates passing math + ngspice gates,results/sparam_conversion_quality_2026-06-08/channels/thru_a0b4754f/models/vector_1r1c/thru_a0b4754f_vector_1r1c.sp,3,1.429934003611199e-16,1.0,0,3,,,,,
Clarity_example_4669a7eb,hspice/sparam/Clarity_example.S2P,2,40,50000000.0,2000000000.0,400000000000.0,0.9981438316324364,50000000.0,True,vector_3r3c,selected,lowest model order among candidates passing math + ngspice gates,results/sparam_conversion_quality_2026-06-08/channels/Clarity_example_4669a7eb/models/vector_3r3c/Clarity_example_4669a7eb_vector_3r3c.sp,9,0.0004875352609379861,0.9983643763329778,3,0,0.006231956569746911,0.04980215197014636,0.08386564419497808,11.881908992632532,12.414393258741143
