channel_id,source,path,relative_path,bytes,ports_from_suffix,status,ports,points,f_min_hz,f_max_hz,z0_summary,supported_v1
Agilent_E5071B_4f4fd1d7,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\Agilent_E5071B.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,99998,4,ok,4,205,500000000.0,4500000000.0,75;75;75;75;75;75;75;75...,True
Clarity_example_acf20e4a,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,6728,2,ok,2,40,50000000.0,2000000000.0,50;50;50;50;50;50;50;50...,True
cst_example_4ports_e82e6e67,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\cst_example_4ports.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_4ports.s4p,356554,4,ok,4,601,0.0,60000000.0,50;50;50;50;50;50;50;50...,True
cst_example_6ports_6e1e1a50,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\cst_example_6ports.s6p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_6ports.s6p,1382390,6,unsupported_v1,6,1001,0.0,60000000.0,50;50;50;50;50;50;50;50...,False
cst_example_6ports_V2_95b054fc,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\cst_example_6ports_V2.s6p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_6ports_V2.s6p,1286336,6,unsupported_v1,6,1001,0.0,60000000.0,15.063;15.063;15.063;15.063;15.063;15.063;15.063;15.063...,False
designer_variable_coupler_ideal_20deg_e31d0708,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\designer_variable_coupler_ideal_20deg.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/designer_variable_coupler_ideal_20deg.s4p,1490,4,ok,4,1,1500000000.0,1500000000.0,50;50;50;50,True
designer_variable_coupler_ideal_75deg_50e48e76,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\designer_variable_coupler_ideal_75deg.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/designer_variable_coupler_ideal_75deg.s4p,1483,4,ok,4,1,1500000000.0,1500000000.0,50;50;50;50,True
designer_wilkinson_splitter_4903aae4,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\designer_wilkinson_splitter.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/designer_wilkinson_splitter.s3p,933,3,unsupported_v1,3,1,1000000000.0,1000000000.0,50;50;50,False
fet_7e5200ad,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\fet.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/fet.s2p,17600,2,ok,2,101,30000000000.0,40000000000.0,50;50;50;50;50;50;50;50...,True
hfss_18.2_4ce9f186,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_18.2.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_18.2.s3p,7565,3,unsupported_v1,3,11,20000000.0,21000000.0,6.46754-0.00592542j;14.3712-0.00459214j;13.603-0.00457221j;6.46753-0.00591068j;14.3712-0.0045807j;13.603-0.00456083j;6.46752-0.00589604j;14.3712-0.00456935j...,False
