channel_id,path,relative_path,ports_from_suffix,bytes,status,supported_v1,ports,points,f_min_hz,f_max_hz,z0_summary,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,dominant_path,dominant_peak_mag_db,dominant_low_freq_mag_db,dominant_high_freq_mag_db,dominant_delay_ns,delay_fmax_cycles,through_delay_spread_ns,through_paths_json,recommended_flow,route_reason,recommended_smoke_stop_ns,recommended_audit_stop_ns,recommended_candidates,ngspice_action
Ch10_35_5F3N_f1_49905299,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,1141073,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.622332333104745,45563387500.0,True,S42,-48.241837,-48.241837,-88.275536,15.534287035184803,776.7143517592401,0.07340712586962184,S31 peak=-48.34dB delay=15.6ns; S42 peak=-48.24dB delay=15.53ns; S13 peak=-48.34dB delay=15.61ns; S24 peak=-48.24dB delay=15.61ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,36,36,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch10_35_5F3N_f2_f23c49e2,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,4,1140915,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6203501152758982,45563387500.0,True,S13,-71.591721,-76.383888,-81.368607,2.866934275744926,143.34671378724633,11.00116272143232,S31 peak=-74.03dB delay=9.193ns; S42 peak=-73.2dB delay=13.87ns; S13 peak=-71.59dB delay=2.867ns; S24 peak=-72.56dB delay=13.79ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,23,23,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch10_35_5F3N_f3_81049e25,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f3.s4p,4,1141263,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6199820808783555,45563387500.0,True,S13,-56.614258,-85.118546,-85.09697700000001,14.00057255895551,700.0286279477755,0.009189482341835031,S31 peak=-56.62dB delay=14.01ns; S42 peak=-58.36dB delay=14.01ns; S13 peak=-56.61dB delay=14ns; S24 peak=-58.37dB delay=14.01ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,35,35,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch10_35_5F3N_f4_fc94db99,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f4.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f4.s4p,4,1141247,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6213284094841652,45563387500.0,True,S13,-68.716118,-81.76296199999999,-85.797722,13.939940797047864,696.9970398523933,0.05210694583374931,S31 peak=-68.74dB delay=13.99ns; S42 peak=-71.55dB delay=13.99ns; S13 peak=-68.72dB delay=13.94ns; S24 peak=-71.46dB delay=13.97ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,34,34,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch10_35_5F3N_f5_3a904f20,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f5.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f5.s4p,4,1141082,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6208303208282462,45563387500.0,True,S13,-72.19915,-83.148476,-86.827477,10.267981507413744,513.3990753706872,10.818426805365592,S31 peak=-74.47dB delay=13.71ns; S42 peak=-73.44dB delay=2.894ns; S13 peak=-72.2dB delay=10.27ns; S24 peak=-74.55dB delay=4.37ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,31,31,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch10_35_5F3N_t_d3c7dddc,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_t.s4p,4,1141329,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.9876758453841427,10000000.0,True,S31,-0.8620925500000014,-0.8620925500000014,-93.00325799999999,13.98319139383422,699.159569691711,0.0017512835903357171,S31 peak=-0.8621dB delay=13.98ns; S42 peak=-0.8836dB delay=13.98ns; S13 peak=-0.8682dB delay=13.98ns; S24 peak=-0.8668dB delay=13.98ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,34,34,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch1_10_5F3N_f1_8f9c2982,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f1.s4p,4,1141934,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6048283591437132,48359703125.0,True,S31,-52.37392,-62.113609,-71.234756,2.5338008046053617,126.6900402302681,0.016429952657200708,S31 peak=-52.37dB delay=2.534ns; S42 peak=-53.62dB delay=2.527ns; S13 peak=-52.44dB delay=2.525ns; S24 peak=-53.61dB delay=2.517ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,23,23,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch1_10_5F3N_f2_47dc69c2,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f2.s4p,4,1142185,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6209019704763541,45985178125.0,True,S13,-57.83828,-80.053482,-76.143784,2.6009841968393985,130.04920984196994,0.09267774888291758,S31 peak=-57.93dB delay=2.605ns; S42 peak=-58.43dB delay=2.513ns; S13 peak=-57.84dB delay=2.601ns; S24 peak=-58.3dB delay=2.514ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,23,23,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch1_10_5F3N_f3_ab427591,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_f3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f3.s4p,4,1142422,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6057306914099176,44985378125.0,True,S13,-34.023335,-82.50016,-66.568199,2.497635971638773,124.88179858193865,0.03851741459415914,S31 peak=-34.03dB delay=2.497ns; S42 peak=-34.8dB delay=2.536ns; S13 peak=-34.02dB delay=2.498ns; S24 peak=-34.8dB delay=2.531ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,23,23,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
Ch1_10_5F3N_f4_dfb4f0b9,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_f4.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f4.s4p,4,1142214,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.5931244036283684,49406368750.0,True,S31,-50.53353899999999,-75.419769,-74.087967,2.6212109977555267,131.06054988777635,0.08852557178100717,S31 peak=-50.53dB delay=2.621ns; S42 peak=-54.5dB delay=2.702ns; S13 peak=-50.54dB delay=2.613ns; S24 peak=-54.42dB delay=2.694ns,delay_aware_required,long propagation delay creates too many phase wraps for direct vector-fit export,23,23,none_as_final,skip direct vector-fit as final; run delay-aware residual/prototype and HSPICE audit
