channel_id,path,relative_path,ports_from_suffix,bytes,status,supported_v1,ports,points,f_min_hz,f_max_hz,z0_summary,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,dominant_path,dominant_peak_mag_db,dominant_low_freq_mag_db,dominant_high_freq_mag_db,dominant_delay_ns,delay_fmax_cycles,through_delay_spread_ns,through_paths_json,recommended_flow,route_reason,recommended_smoke_stop_ns,recommended_audit_stop_ns,recommended_candidates,ngspice_action
Clarity_example_4669a7eb,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Clarity_example.S2P,hspice/sparam/Clarity_example.S2P,2,6728,ok,True,2,40,50000000.0,2000000000.0,50;50;50;50;50;50;50;50...,0.9981438316324364,50000000.0,True,S21,-0.02039039622382636,-0.02039039622382636,-0.4797511899368061,0.35910826794047845,0.718216535880957,0.0,S21 peak=-0.02039dB delay=0.3591ns; S12 peak=-0.02039dB delay=0.3591ns,direct_vector_fit,short/low-complexity enough for direct vector-fit candidate search,12.0,12.0,"auto_fit,vector_1r1c,vector_2r2c,vector_3r3c,vector_4r4c,vector_5r5c,vector_6r6c,vector_8r8c","run direct vector-fit candidate search, ngspice smoke, then HSPICE audit"
Ch10_35_5F3N_n1_8e377765,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n1.s4p,4,1141573,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6022031833020703,45547765625.0,True,S13,-42.38089000000001,-82.080948,-63.421165,1.2826607988258503,64.13303994129251,0.0746230134908672,S31 peak=-42.43dB delay=1.266ns; S42 peak=-43.91dB delay=1.208ns; S13 peak=-42.38dB delay=1.283ns; S24 peak=-43.79dB delay=1.209ns,direct_vector_fit,short/low-complexity enough for direct vector-fit candidate search,12.0,12.0,"auto_fit,vector_1r1c,vector_2r2c,vector_3r3c,vector_4r4c,vector_5r5c,vector_6r6c,vector_8r8c","run direct vector-fit candidate search, ngspice smoke, then HSPICE audit"
Ch10_35_5F3N_n2_b3e24295,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_n2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n2.s4p,4,1142126,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6286383607702243,45547765625.0,True,S13,-22.308569,-79.175079,-33.925568,1.1113102620527524,55.56551310263762,0.01835335956059314,S31 peak=-22.31dB delay=1.112ns; S42 peak=-24.58dB delay=1.094ns; S13 peak=-22.31dB delay=1.111ns; S24 peak=-24.57dB delay=1.094ns,direct_vector_fit,short/low-complexity enough for direct vector-fit candidate search,12.0,12.0,"auto_fit,vector_1r1c,vector_2r2c,vector_3r3c,vector_4r4c,vector_5r5c,vector_6r6c,vector_8r8c","run direct vector-fit candidate search, ngspice smoke, then HSPICE audit"
Ch10_35_5F3N_n3_a9ef8f2b,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_n3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n3.s4p,4,1142025,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6008022618005516,45547765625.0,True,S13,-42.694981,-83.33869899999999,-70.186028,1.2366151897044961,61.83075948522481,0.0976215954300228,S31 peak=-42.74dB delay=1.234ns; S42 peak=-46.47dB delay=1.318ns; S13 peak=-42.69dB delay=1.237ns; S24 peak=-46.46dB delay=1.331ns,direct_vector_fit,short/low-complexity enough for direct vector-fit candidate search,12.0,12.0,"auto_fit,vector_1r1c,vector_2r2c,vector_3r3c,vector_4r4c,vector_5r5c,vector_6r6c,vector_8r8c","run direct vector-fit candidate search, ngspice smoke, then HSPICE audit"
Ch1_10_5F3N_n1_9a8781a5,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_n1.s4p,4,1141573,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6022031833020703,45547765625.0,True,S13,-42.38089000000001,-82.080948,-63.421165,1.2826607988258503,64.13303994129251,0.0746230134908672,S31 peak=-42.43dB delay=1.266ns; S42 peak=-43.91dB delay=1.208ns; S13 peak=-42.38dB delay=1.283ns; S24 peak=-43.79dB delay=1.209ns,direct_vector_fit,short/low-complexity enough for direct vector-fit candidate search,12.0,12.0,"auto_fit,vector_1r1c,vector_2r2c,vector_3r3c,vector_4r4c,vector_5r5c,vector_6r6c,vector_8r8c","run direct vector-fit candidate search, ngspice smoke, then HSPICE audit"
Ch1_10_5F3N_n2_a8ccad10,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_n2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_n2.s4p,4,1142126,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6286383607702243,45547765625.0,True,S13,-22.308569,-79.175079,-33.925568,1.1113102620527524,55.56551310263762,0.01835335956059314,S31 peak=-22.31dB delay=1.112ns; S42 peak=-24.58dB delay=1.094ns; S13 peak=-22.31dB delay=1.111ns; S24 peak=-24.57dB delay=1.094ns,direct_vector_fit,short/low-complexity enough for direct vector-fit candidate search,12.0,12.0,"auto_fit,vector_1r1c,vector_2r2c,vector_3r3c,vector_4r4c,vector_5r5c,vector_6r6c,vector_8r8c","run direct vector-fit candidate search, ngspice smoke, then HSPICE audit"
Ch1_10_5F3N_n3_3af593d3,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_n3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_n3.s4p,4,1142025,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6008022618005516,45547765625.0,True,S13,-42.694981,-83.33869899999999,-70.186028,1.2366151897044961,61.83075948522481,0.0976215954300228,S31 peak=-42.74dB delay=1.234ns; S42 peak=-46.47dB delay=1.318ns; S13 peak=-42.69dB delay=1.237ns; S24 peak=-46.46dB delay=1.331ns,direct_vector_fit,short/low-complexity enough for direct vector-fit candidate search,12.0,12.0,"auto_fit,vector_1r1c,vector_2r2c,vector_3r3c,vector_4r4c,vector_5r5c,vector_6r6c,vector_8r8c","run direct vector-fit candidate search, ngspice smoke, then HSPICE audit"
Ch2_12_5F3N_n1_a8c804cf,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch2_12_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch2_12_5F3N_n1.s4p,4,1141573,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6022031833020703,45547765625.0,True,S13,-42.38089000000001,-82.080948,-63.421165,1.2826607988258503,64.13303994129251,0.0746230134908672,S31 peak=-42.43dB delay=1.266ns; S42 peak=-43.91dB delay=1.208ns; S13 peak=-42.38dB delay=1.283ns; S24 peak=-43.79dB delay=1.209ns,direct_vector_fit,short/low-complexity enough for direct vector-fit candidate search,12.0,12.0,"auto_fit,vector_1r1c,vector_2r2c,vector_3r3c,vector_4r4c,vector_5r5c,vector_6r6c,vector_8r8c","run direct vector-fit candidate search, ngspice smoke, then HSPICE audit"
Ch2_12_5F3N_n2_7df3d449,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch2_12_5F3N_n2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch2_12_5F3N_n2.s4p,4,1142126,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6286383607702243,45547765625.0,True,S13,-22.308569,-79.175079,-33.925568,1.1113102620527524,55.56551310263762,0.01835335956059314,S31 peak=-22.31dB delay=1.112ns; S42 peak=-24.58dB delay=1.094ns; S13 peak=-22.31dB delay=1.111ns; S24 peak=-24.57dB delay=1.094ns,direct_vector_fit,short/low-complexity enough for direct vector-fit candidate search,12.0,12.0,"auto_fit,vector_1r1c,vector_2r2c,vector_3r3c,vector_4r4c,vector_5r5c,vector_6r6c,vector_8r8c","run direct vector-fit candidate search, ngspice smoke, then HSPICE audit"
Ch2_12_5F3N_n3_0722c1a4,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch2_12_5F3N_n3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch2_12_5F3N_n3.s4p,4,1142025,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6008022618005516,45547765625.0,True,S13,-42.694981,-83.33869899999999,-70.186028,1.2366151897044961,61.83075948522481,0.0976215954300228,S31 peak=-42.74dB delay=1.234ns; S42 peak=-46.47dB delay=1.318ns; S13 peak=-42.69dB delay=1.237ns; S24 peak=-46.46dB delay=1.331ns,direct_vector_fit,short/low-complexity enough for direct vector-fit candidate search,12.0,12.0,"auto_fit,vector_1r1c,vector_2r2c,vector_3r3c,vector_4r4c,vector_5r5c,vector_6r6c,vector_8r8c","run direct vector-fit candidate search, ngspice smoke, then HSPICE audit"
Ch3_17_5F3N_n1_154e3882,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch3_17_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch3_17_5F3N_n1.s4p,4,1141573,ok,True,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,0.6022031833020703,45547765625.0,True,S13,-42.38089000000001,-82.080948,-63.421165,1.2826607988258503,64.13303994129251,0.0746230134908672,S31 peak=-42.43dB delay=1.266ns; S42 peak=-43.91dB delay=1.208ns; S13 peak=-42.38dB delay=1.283ns; S24 peak=-43.79dB delay=1.209ns,direct_vector_fit,short/low-complexity enough for direct vector-fit candidate search,12.0,12.0,"auto_fit,vector_1r1c,vector_2r2c,vector_3r3c,vector_4r4c,vector_5r5c,vector_6r6c,vector_8r8c","run direct vector-fit candidate search, ngspice smoke, then HSPICE audit"
