hspice_audit_class,channel_id,case,overlay_plot,hspice_audit_reason
FAIL,Clarity_example_acf20e4a,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Clarity_example_acf20e4a/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,rx_active_rmse;rx_active_maxabs
FAIL,Clarity_example_acf20e4a,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Clarity_example_acf20e4a/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,rx_active_rmse;rx_active_maxabs
PASS,Clarity_example_acf20e4a,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Clarity_example_acf20e4a/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,thresholds passed
FAIL,ntwk2_e1c16499,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/ntwk2_e1c16499/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,rx_active_maxabs
PASS,ntwk2_e1c16499,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/ntwk2_e1c16499/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,thresholds passed
PASS,ntwk2_e1c16499,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/ntwk2_e1c16499/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,thresholds passed
FAIL,ntwk2_24638a5f,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/ntwk2_24638a5f/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,rx_active_maxabs
PASS,ntwk2_24638a5f,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/ntwk2_24638a5f/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,thresholds passed
PASS,ntwk2_24638a5f,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/ntwk2_24638a5f/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,thresholds passed
FAIL,RS_ZNB8_23e14c3f,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/RS_ZNB8_23e14c3f/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,tx_active_rmse
FAIL,RS_ZNB8_23e14c3f,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/RS_ZNB8_23e14c3f/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,tx_active_rmse
FAIL,RS_ZNB8_23e14c3f,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/RS_ZNB8_23e14c3f/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,tx_active_rmse
WARN,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f1_49905299/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f1_49905299/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f1_49905299/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f2_f23c49e2,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f2_f23c49e2/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f2_f23c49e2,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f2_f23c49e2/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f3_81049e25,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f3_81049e25/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f3_81049e25,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f3_81049e25/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f3_81049e25,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f3_81049e25/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f4_fc94db99,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f4_fc94db99/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f4_fc94db99,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f4_fc94db99/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f4_fc94db99,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f4_fc94db99/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
