channel_id,source,source_family,validation_split,channel_path,relative_path,ports,points,f_min_hz,f_max_hz,inventory_dominant_path,max_low_freq_start_hz,low_freq_coverage_ok,low_freq_coverage_ratio,min_frequency_points,frequency_point_count_ok,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,qualification_profile,combined_rx_shape_degradation_v,candidate,candidate_family,stage,fit_source,use_scope,view_role,dominant_path,delay_estimate_ns,delay_equalized,delay_estimator_source,delay_step_threshold_ns,delay_impulse_peak_ns,delay_group_delay_median_ns,delay_candidate_sources,basis_order,ring_basis_count,reflection_basis_count,dc_gain_to_load,reduced_fit_objective,spice_file,fit_warnings,edge5_fit_rx_active_rmse_v,edge5_fit_rx_active_maxabs_v,edge50_fit_rx_active_rmse_v,edge50_fit_rx_active_maxabs_v,edge500_fit_rx_active_rmse_v,edge500_fit_rx_active_maxabs_v,fit_complex_rms,fit_complex_max,fit_mag_db_rms_above_m40,fit_mag_db_max_above_m40,fit_phase_deg_rms_above_m40,fit_phase_deg_max_above_m40,fit_group_delay_rms_ps,fit_group_delay_max_ps,model_order,pole_count_array,is_passive,passivity_violation_bands_hz,max_sv_input_samples,max_sv_input_samples_freq_hz,max_sv_high,max_sv_high_freq_hz,sv_at_high_fmax,rx_group_delay_rms_ps,rx_group_delay_std_ps,rx_delayeq_group_delay_rms_ps,rx_delayeq_group_delay_std_ps,rx_fit_complex_rms,rx_fit_complex_max,rx_fit_mag_db_rms_above_m40,rx_fit_mag_db_max_above_m40,rx_fit_phase_deg_rms_above_m40,rx_fit_phase_deg_max_above_m40,rx_fit_group_delay_rms_ps,rx_fit_group_delay_max_ps,reflection_fit_complex_rms,reflection_fit_complex_max,reflection_fit_mag_db_rms_above_m40,reflection_fit_mag_db_max_above_m40,reflection_fit_phase_deg_rms_above_m40,reflection_fit_phase_deg_max_above_m40,reflection_fit_group_delay_rms_ps,reflection_fit_group_delay_max_ps,math_pass,math_fail_reasons,ngspice_pass,ngspice_cases,ngspice_cases_passed,max_voltage_shape_score_v,max_rx_voltage_shape_score_v,max_tx_voltage_shape_score_v,threshold_delay_confidence_low_cases,rx_threshold_delay_confidence_low_cases,tx_threshold_delay_confidence_low_cases,threshold_delay_confidence_low_reasons,ngspice_fail_reasons,trust_class,trust_fail_reasons,trust_warn_reasons,rx_voltage_shape_class,rx_voltage_shape_fail_reasons,rx_voltage_shape_warn_reasons,rx_timing_class,rx_timing_fail_reasons,rx_timing_warn_reasons,rx_trust_class,rx_fail_reasons,rx_warn_reasons,rx_ready_status_candidate,reflection_trust_class,reflection_fail_reasons,reflection_warn_reasons,full_model_trust_class,full_model_fail_reasons,full_model_warn_reasons,independent_score,rx_independent_score,reflection_independent_score,full_model_independent_score,selected,rx_selected,reflection_selected,full_model_selected,fit_error
Agilent_E5071B_4f4fd1d7,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,4,205,500000000.0,4500000000.0,S12,5000000000.0,True,0.1,8,True,400000000000.0,0.974180745358752,500000000.0,True,fast_calibration,0.002,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,touchstone_time_fit,touchstone_time_domain,matched_50ohm_rx_through,rx_through,S31,1.1085854725284885,False,step_threshold,1.1085854725284885,3.8399999999999985,2.6521493055555525,step_threshold:1.10858547253;impulse_peak:3.84;group_delay_median:2.65214930556,8,0,0,-0.0005456252718724908,0.5792970913045437,results/sparam_rx_trust_v2_2026-06-11/channels/Agilent_E5071B_4f4fd1d7/models/reduced_4p_rx_dominant_delay_rc/Agilent_E5071B_4f4fd1d7_reduced_4p_rx_dominant_delay_rc.sp,,0.012895886237022267,0.06256326593786246,0.012717351006826923,0.06166932442814385,0.0017127666631612277,0.0067299181884806145,0.30321616449528005,0.7998833220079083,26.605387341196156,33.15703322086315,117.53027951545299,179.43846416495555,2244.2875781676676,6721.662074049686,9,9,True,[],0.018520169489992678,2700000000.0,0.018456926726800896,2400000000.0,0.00032697914118819354,3379.809544323372,1213.428348838177,2378.6691479573788,1213.428348838177,0.30321616449528005,0.7998833220079083,26.605387341196156,33.15703322086315,117.53027951545299,179.43846416495555,2244.2875781676676,6721.662074049686,0.5497156890385433,0.9739782192397112,590.7046950824613,599.7709849,78.5105243838327,180.0,5013.122685151353,36910.793518518294,False,complex_rms_error;magnitude_db_error;group_delay_error,True,12,12,0.01592845746554217,0.01592845746554217,2.720021764398919e-17,12,12,0,rx_low_swing;rx_threshold_ambiguous,,FAIL,complex_rms_error;group_delay_error;magnitude_db_error,,FAIL,rx_complex_rms_error;rx_magnitude_db_error,,FAIL,rx_group_delay_error,,FAIL,rx_complex_rms_error;rx_magnitude_db_error;rx_group_delay_error,,FAIL,FAIL,reflection_complex_rms_error;reflection_group_delay_error;reflection_magnitude_db_error,,WARN,,not_general_multiport_model;reduced_4p_not_full_matrix;rx_edge_ringing_threshold_ambiguous;rx_low_swing_metric_floor;rx_settling_margin;threshold_delay_confidence_low;voltage_shape_ok_threshold_delay_low,0.340151886023511,0.340151886023511,0.5506156890385433,0.340151886023511,False,False,False,False,
Agilent_E5071B_4f4fd1d7,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,4,205,500000000.0,4500000000.0,S12,5000000000.0,True,0.1,8,True,400000000000.0,0.974180745358752,500000000.0,True,fast_calibration,0.002,reduced_4p_rx_delayeq_rc_ring,reduced_4p_rx_delayeq_rc_ring,touchstone_time_fit,touchstone_time_domain,matched_50ohm_rx_through,rx_through,S31,2.6521493055555525,True,median_step_impulse_group_delay,1.1085854725284885,3.8399999999999985,2.6521493055555525,step_threshold:1.10858547253;impulse_peak:3.84;group_delay_median:2.65214930556,8,15,0,-0.001623346759173111,0.5121208408770713,results/sparam_rx_trust_v2_2026-06-11/channels/Agilent_E5071B_4f4fd1d7/models/reduced_4p_rx_delayeq_rc_ring/Agilent_E5071B_4f4fd1d7_reduced_4p_rx_delayeq_rc_ring.sp,,0.012064572637018626,0.06179014515551578,0.011871807041064886,0.06089990319940984,0.0025280014832594505,0.013421913900665659,0.28187134086337085,0.7287508828236118,13.949856806125025,19.046866908164336,42.67603311575796,136.60884072147212,1217.0377854995972,5208.525708505087,24,24,True,[],0.13223099067453825,3360000000.0,0.11309613167295354,4800000000.0,0.0015510019068044028,3379.809544323372,1213.428348838177,1313.292859561987,1213.4283488381768,0.28187134086337085,0.7287508828236118,13.949856806125025,19.046866908164336,42.67603311575796,136.60884072147212,1217.0377854995972,5208.525708505087,0.5497156890385433,0.9739782192397112,590.7046950824613,599.7709849,78.5105243838327,180.0,5013.122685151353,36910.793518518294,False,complex_rms_error;magnitude_db_error;group_delay_error,True,12,12,0.09923912611185139,0.09923912611185139,1.944838006564704e-17,12,12,0,rx_low_swing;rx_threshold_ambiguous,,FAIL,complex_rms_error;group_delay_error;magnitude_db_error,,FAIL,rx_complex_rms_error;rx_magnitude_db_error,,FAIL,rx_group_delay_error,,FAIL,rx_complex_rms_error;rx_magnitude_db_error;rx_group_delay_error,,FAIL,FAIL,reflection_complex_rms_error;reflection_group_delay_error;reflection_magnitude_db_error,,WARN,,not_general_multiport_model;reduced_4p_not_full_matrix;rx_edge_ringing_threshold_ambiguous;rx_low_swing_metric_floor;rx_settling_margin;threshold_delay_confidence_low;voltage_shape_ok_threshold_delay_low,0.318365631329552,0.318365631329552,0.5521156890385432,0.318365631329552,False,False,False,False,
Agilent_E5071B_4f4fd1d7,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,4,205,500000000.0,4500000000.0,S12,5000000000.0,True,0.1,8,True,400000000000.0,0.974180745358752,500000000.0,True,fast_calibration,0.002,reduced_4p_reflection_s11_rc,reduced_4p_reflection_s11_rc,touchstone_time_fit,touchstone_time_domain,matched_50ohm_reflection,reflection,S31,1.1085854725284885,False,step_threshold,1.1085854725284885,3.8399999999999985,2.6521493055555525,step_threshold:1.10858547253;impulse_peak:3.84;group_delay_median:2.65214930556,8,0,7,-0.0005456252718724908,0.5792970913045437,results/sparam_rx_trust_v2_2026-06-11/channels/Agilent_E5071B_4f4fd1d7/models/reduced_4p_reflection_s11_rc/Agilent_E5071B_4f4fd1d7_reduced_4p_reflection_s11_rc.sp,,0.012895886237022267,0.06256326593786246,0.012717351006826923,0.06166932442814385,0.0017127666631612277,0.0067299181884806145,0.30321616449528005,0.7998833220079083,26.605387341196156,33.15703322086315,117.53027951545299,179.43846416495555,2244.2875781676676,6721.662074049686,16,16,True,[],0.018520169489992678,2700000000.0,0.018456926726800896,2400000000.0,0.00032697914118819354,3379.809544323372,1213.428348838177,2378.6691479573788,1213.428348838177,0.30321616449528005,0.7998833220079083,26.605387341196156,33.15703322086315,117.53027951545299,179.43846416495555,2244.2875781676676,6721.662074049686,0.6899715661093694,1.516112777725611,6.589817863784982,21.771080001735818,102.65171207660282,179.62910054131143,5005.721639412063,36940.410678662716,False,complex_rms_error;magnitude_db_error;group_delay_error,False,12,8,0.6641832597138859,0.03742162764204648,0.6641832597138859,12,12,6,rx_low_swing;rx_missing_50pct_crossing;rx_threshold_ambiguous;tx_low_swing;tx_missing_50pct_crossing;tx_threshold_ambiguous,,FAIL,complex_rms_error;group_delay_error;magnitude_db_error;tx_overshoot;tx_undershoot,,FAIL,candidate_not_rx_view;rx_complex_rms_error;rx_magnitude_db_error,,FAIL,candidate_not_rx_view;rx_group_delay_error,,FAIL,candidate_not_rx_view;rx_complex_rms_error;rx_magnitude_db_error;candidate_not_rx_view;rx_group_delay_error,,FAIL,FAIL,reflection_complex_rms_error;reflection_group_delay_error;reflection_magnitude_db_error;tx_overshoot;tx_undershoot,,FAIL,tx_overshoot;tx_undershoot,,0.40567736624834533,0.3430012030411614,0.7639898920807581,0.40567736624834533,False,False,False,False,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,fast_calibration,0.002,vector_3r3c,full_vector_fit,raw,vector_fit_frequency_domain,general_multiport,full_model,,,,,,,,,,,,,,results/sparam_rx_trust_v2_2026-06-11/channels/Clarity_example_acf20e4a/models/vector_3r3c/Clarity_example_acf20e4a_vector_3r3c.sp,,,,,,,,0.0004875352609379861,0.0016295719368532623,0.0763108009120033,0.35841318179765125,1.0929714926728265,9.016311733116371,0.36005349412655147,1.2433481188514632,9,6,True,[],0.9977014281904745,50000000.0,0.9983643763329778,0.0,0.7066119301664062,,,,,0.0003954789081959066,0.001129827906292385,0.002427329322358051,0.00981779101142672,0.016505146992183247,0.04044429480796421,0.36005349412655147,1.2433481188514632,0.00056493575643837,0.0016285419388725345,0.1128038324060276,0.35841318179765125,1.5690093283333073,9.004407535818425,70.87400618927612,360.65294649376716,True,,True,12,12,0.2867929537521321,0.2867929537521321,0.1120333957591606,0,0,0,,,WARN,,rx_overshoot_margin;rx_undershoot_margin,WARN,,rx_overshoot_margin;rx_undershoot_margin,PASS,,,WARN,,rx_overshoot_margin;rx_undershoot_margin,RX_WARN_VOLTAGE_MARGIN,FAIL,reflection_group_delay_error,,WARN,,rx_overshoot_margin;rx_undershoot_margin,0.030070431171092465,0.029978374818350386,0.01266827533235443,0.030070431171092465,True,True,False,False,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,fast_calibration,0.002,vector_5r5c,full_vector_fit,raw,vector_fit_frequency_domain,general_multiport,full_model,,,,,,,,,,,,,,results/sparam_rx_trust_v2_2026-06-11/channels/Clarity_example_acf20e4a/models/vector_5r5c/Clarity_example_acf20e4a_vector_5r5c.sp,"The fitted network is passive, but the vector fit is not passive. Consider running `passivity_enforce()` to enforce passivity before using this model.",,,,,,,0.0003611033744485645,0.0011005065723637209,0.06062966946250883,0.38806092791942604,0.4409210764256478,3.1892040588789383,0.4610280087173086,1.94305461587434,15,10,False,"[[0.0, 8042749.7261596415], [2599023182.2509084, Infinity]]",0.9977144735464614,50000000.0,1.5523104639261858,400000000000.0,1.5523104639261858,,,,,0.0003215846360998428,0.0009346644104867934,0.0020996217312205323,0.00795219719978215,0.012618615967076002,0.03456857402229514,0.4610280087173086,1.94305461587434,0.0003968876417445464,0.0011005065723637209,0.08938774246344691,0.38806092791942604,0.6330535264577228,3.1892040588789383,22.21751860908428,100.91040244640907,False,non_passive_fit;dense_singular_value,False,,,,,,,,,,,FAIL,dense_singular_value;non_passive_fit,,FAIL,dense_singular_value,,FAIL,dense_singular_value,,FAIL,dense_singular_value;dense_singular_value,,FAIL,FAIL,dense_singular_value;reflection_group_delay_error,,FAIL,dense_singular_value;non_passive_fit,,0.0018657136545357376,0.001826194916187016,0.0018968876417445465,0.0018657136545357376,False,False,False,False,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,fast_calibration,0.002,vector_5r5c_enforced,full_vector_fit_enforced,passivity_enforced,vector_fit_frequency_domain,general_multiport,full_model,,,,,,,,,,,,,,results/sparam_rx_trust_v2_2026-06-11/channels/Clarity_example_acf20e4a/models/vector_5r5c_enforced/Clarity_example_acf20e4a_vector_5r5c_enforced.sp,"Passivity enforcement: The dc point in the model is not passive. Cannot preserve the dc point during passivity enforcement.  | Passivity enforcement: The passivity violations of this model are unbounded. Passivity enforcement might still work, but consider re-fitting with a lower number of poles and/or without the constants (`fit_constant=False`) if the results are not satisfactory. | Passivity enforcement: Aborting after the max. number of iterations has been exceeded. | Passivity enforcement was not successful.
Model is still non-passive in these frequency bands: [[0.00000000e+00 9.20702348e+04]
 [9.20702348e+04 3.79454686e+06]
 [3.79454686e+06 7.18085758e+07]
 [7.18085758e+07 2.40119458e+08]
 [2.40798815e+08 4.80751074e+08]
 [5.08454911e+08 7.39011926e+08]
 [8.76041028e+08 1.21086157e+09]
 [1.55177361e+09 2.08683488e+09]
 [2.62733288e+09 3.39260770e+09]
 [4.25219801e+09 6.72990467e+09]
 [1.66847075e+10            inf]].
Try running this routine again with a larger number of samples (parameter `n_samples`). This run was using n_samples = 2000. Consider trying again with n_samples > 10426822.",,,,,,,230.34686341188444,1190.3085823958797,30.15836873625103,101.3058153035799,98.97289779535355,178.36026602627464,1970.2645247034964,4917.524600202721,15,10,False,"[[0.0, 92070.23481773978], [92070.23481773978, 3794546.8602321586], [3794546.8602321586, 71808575.80220766], [71808575.80220766, 240119457.89953595], [240798814.5799407, 480751074.4385408], [508454911.30230564, 739011926.1282445], [876041028.09283, 1210861573.6430726], [1551773613.7650187, 2086834875.3420894], [2627332882.630026, 3392607695.791162], [4252198010.875763, 6729904668.723715], [16684707514.191725, Infinity]]",2372.8597671871553,50000000.0,1.5513259036694749,400000000000.0,1.5513259036694749,,,,,230.34774844586275,1186.0981710450928,19.859624106326372,61.50778081650336,106.67245925508709,178.36026602627464,1970.2645247034268,4917.524600195592,231.16452886052483,1190.3085823958797,38.14035445266937,101.3058153035799,89.01116823148942,166.8321308966147,1717.8829829311928,4751.914080371481,False,non_passive_fit;dense_singular_value;complex_rms_error;magnitude_db_error;group_delay_error,False,,,,,,,,,,,FAIL,complex_rms_error;dense_singular_value;group_delay_error;magnitude_db_error;non_passive_fit,,FAIL,dense_singular_value;rx_complex_rms_error;rx_magnitude_db_error,,FAIL,dense_singular_value;rx_group_delay_error,,FAIL,dense_singular_value;rx_complex_rms_error;rx_magnitude_db_error;dense_singular_value;rx_group_delay_error,,FAIL,FAIL,dense_singular_value;reflection_complex_rms_error;reflection_group_delay_error;reflection_magnitude_db_error,,FAIL,complex_rms_error;dense_singular_value;group_delay_error;magnitude_db_error;non_passive_fit,,230.36806605713147,230.36895109110978,231.16602886052482,230.36806605713147,False,False,False,False,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,fast_calibration,0.002,reduced_s2p_rx_delay_rc_ring,reduced_s2p_rx_delay_rc_ring,touchstone_time_fit,touchstone_time_domain,matched_50ohm_rx_through,rx_through,S21,0.36504202050489826,False,step_threshold,0.36504202050489826,0.36,0.35910826794047845,step_threshold:0.365042020505;impulse_peak:0.36;group_delay_median:0.35910826794,8,15,0,1.0469581898628073,1.836557016697068,results/sparam_rx_trust_v2_2026-06-11/channels/Clarity_example_acf20e4a/models/reduced_s2p_rx_delay_rc_ring/Clarity_example_acf20e4a_reduced_s2p_rx_delay_rc_ring.sp,,0.037299853369166476,0.35208569590543376,0.03671398025397512,0.30721070122563865,0.014037142799869704,0.061993291023252184,0.13520062807523642,0.367996983772379,1.4448680925486543,4.269221518574739,1.4679094095784508,2.4480665665560846,13.499297304950279,43.632686618089,24,24,True,[],1.0110998801716018,750000000.0,1.0469581898628073,0.0,0.05272933572029693,359.15254353532794,0.9482838359156948,5.966567590323915,0.9482838359156948,0.13520062807523642,0.367996983772379,1.4448680925486543,4.269221518574739,1.4679094095784508,2.4480665665560846,13.499297304950279,43.632686618089,0.056743012222497766,0.08117765822041671,573.5342171063385,578.1887303762796,0.0,0.0,341.3237719332459,700.8073598590576,False,complex_rms_error;magnitude_db_error;group_delay_error,True,12,12,0.2158130469444057,0.2158130469444057,1.475133849768111e-17,0,0,0,,,FAIL,complex_rms_error;group_delay_error;magnitude_db_error,,FAIL,rx_complex_rms_error;rx_magnitude_db_error,,FAIL,rx_group_delay_error,,FAIL,rx_complex_rms_error;rx_magnitude_db_error;rx_group_delay_error,,FAIL,FAIL,reflection_complex_rms_error;reflection_group_delay_error;reflection_magnitude_db_error,,WARN,,not_general_multiport_model;passivity_margin_low,0.1593169257427265,0.1593169257427265,0.059143012222497765,0.1593169257427265,False,False,False,False,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,fast_calibration,0.002,reduced_s2p_rx_delayeq_rc_ring,reduced_s2p_rx_delayeq_rc_ring,touchstone_time_fit,touchstone_time_domain,matched_50ohm_rx_through,rx_through,S21,0.36,True,median_step_impulse_group_delay,0.36504202050489826,0.36,0.35910826794047845,step_threshold:0.365042020505;impulse_peak:0.36;group_delay_median:0.35910826794,8,15,0,1.047186902983269,1.7534405860690077,results/sparam_rx_trust_v2_2026-06-11/channels/Clarity_example_acf20e4a/models/reduced_s2p_rx_delayeq_rc_ring/Clarity_example_acf20e4a_reduced_s2p_rx_delayeq_rc_ring.sp,,0.03710438619102122,0.3522661536734603,0.03542043126471527,0.298877132390732,0.01293104658133402,0.0576106618654888,0.13293630814740806,0.3599051141052693,1.3792351560006428,4.078558583620285,2.420610364577577,4.972897668835917,14.96497470502411,41.61075732484713,24,24,True,[],1.0107293224389204,750000000.0,1.047186902983269,0.0,0.04971252264919748,359.15254353532794,0.9482838359156948,1.2726146770326288,0.9482838359156948,0.13293630814740806,0.3599051141052693,1.3792351560006428,4.078558583620285,2.420610364577577,4.972897668835917,14.96497470502411,41.61075732484713,0.056743012222497766,0.08117765822041671,573.5342171063385,578.1887303762796,0.0,0.0,341.3237719332459,700.8073598590576,False,complex_rms_error;magnitude_db_error;group_delay_error,True,12,12,0.2108987696625266,0.2108987696625266,5.551115121529838e-17,0,0,0,,,FAIL,complex_rms_error;group_delay_error;magnitude_db_error,,FAIL,rx_complex_rms_error;rx_magnitude_db_error,,FAIL,rx_group_delay_error,,FAIL,rx_complex_rms_error;rx_magnitude_db_error;rx_group_delay_error,,FAIL,FAIL,reflection_complex_rms_error;reflection_group_delay_error;reflection_magnitude_db_error,,WARN,,not_general_multiport_model;passivity_margin_low,0.15657583486071097,0.15657583486071097,0.05914301222249777,0.15657583486071097,False,False,False,False,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,fast_calibration,0.002,reduced_s2p_reflection_s11_rc,reduced_s2p_reflection_s11_rc,touchstone_time_fit,touchstone_time_domain,matched_50ohm_reflection,reflection,S21,0.36504202050489826,False,step_threshold,0.36504202050489826,0.36,0.35910826794047845,step_threshold:0.365042020505;impulse_peak:0.36;group_delay_median:0.35910826794,8,0,7,1.0469581898628073,1.836557016697068,results/sparam_rx_trust_v2_2026-06-11/channels/Clarity_example_acf20e4a/models/reduced_s2p_reflection_s11_rc/Clarity_example_acf20e4a_reduced_s2p_reflection_s11_rc.sp,,0.037299853369166476,0.35208569590543376,0.03671398025397512,0.30721070122563865,0.014037142799869704,0.061993291023252184,0.30851575655486096,0.49781986819603474,0.25837695766113505,0.6214158237870502,18.738405103908477,31.360271235688234,44.847160010694495,58.86702832082871,16,16,True,[],1.0044276757124426,700000000.0,1.0469581898628073,0.0,0.011306528072708875,359.15254353532794,0.9482838359156948,5.966567590323915,0.9482838359156948,0.30851575655486096,0.49781986819603474,0.25837695766113505,0.6214158237870502,18.738405103908477,31.360271235688234,44.847160010694495,58.86702832082871,0.03652589109034053,0.06671902850883982,4.365242388457675,13.28060114786626,47.79770466943612,108.35811637793336,258.985035227482,775.1544045472723,False,complex_rms_error;group_delay_error,True,12,12,0.039611084154618004,0.039611084154618004,0.01996596448463463,0,0,0,,,FAIL,complex_rms_error;group_delay_error,,FAIL,candidate_not_rx_view;rx_complex_rms_error,,FAIL,candidate_not_rx_view;rx_group_delay_error,,FAIL,candidate_not_rx_view;rx_complex_rms_error;candidate_not_rx_view;rx_group_delay_error,,FAIL,FAIL,reflection_complex_rms_error;reflection_group_delay_error;reflection_magnitude_db_error,,WARN,,not_general_multiport_model;passivity_margin_low,0.31452533657042975,0.31452533657042975,0.04012248753880399,0.31452533657042975,False,False,False,False,
cst_example_4ports_e82e6e67,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_4ports.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_4ports.s4p,4,601,0.0,60000000.0,S12,5000000000.0,True,0.0,8,True,400000000000.0,1.0849718071998142,19900000.0,False,fast_calibration,0.002,reduced_4p_rx_dominant_delay_rc,reduced_4p_rx_dominant_delay_rc,touchstone_time_fit,touchstone_time_domain,matched_50ohm_rx_through,rx_through,S31,16.746846901962382,False,step_threshold,16.746846901962382,4.739999999999999,6.881944444444147,step_threshold:16.746846902;impulse_peak:4.74;group_delay_median:6.88194444444,8,0,0,0.07260096966533704,4.189125807642774,results/sparam_rx_trust_v2_2026-06-11/channels/cst_example_4ports_e82e6e67/models/reduced_4p_rx_dominant_delay_rc/cst_example_4ports_e82e6e67_reduced_4p_rx_dominant_delay_rc.sp,,0.02828653328688255,0.059409138765221525,0.02828532962292113,0.059408860398604574,0.028222612894961897,0.05938015921831124,0.10600630942700906,0.1728401179909683,8.683089111782381,17.074954116173707,64.95821596854489,145.2711193082896,11605.43461477605,16765.319188571324,9,9,True,[],0.07260096966533704,0.0,0.07260096966533704,0.0,0.0009388854506049121,7722.9347186936675,4791.953596133562,11715.240054331425,4791.953596133562,0.10600630942700906,0.1728401179909683,8.683089111782381,17.074954116173707,64.95821596854489,145.2711193082896,11605.43461477605,16765.319188571324,0.8453152874762448,0.9999939999999999,598.4497409256584,599.9999478845058,7.342353148032037,180.0,7061.664497386218,11277.777777777801,False,low_frequency_coverage;complex_rms_error;magnitude_db_error;group_delay_error,False,,,,,,,,,,,FAIL,complex_rms_error;group_delay_error;low_frequency_coverage;magnitude_db_error,,FAIL,low_frequency_coverage;rx_complex_rms_error;rx_magnitude_db_error,,FAIL,rx_group_delay_error,,FAIL,low_frequency_coverage;rx_complex_rms_error;rx_magnitude_db_error;rx_group_delay_error,,FAIL,FAIL,low_frequency_coverage;reflection_complex_rms_error;reflection_group_delay_error;reflection_magnitude_db_error,,FAIL,low_frequency_coverage,,0.22296065557476957,0.22296065557476957,0.8462152874762449,0.22296065557476957,False,False,False,False,
