view,validation_split,independent_class,hspice_pass,hspice_warn,hspice_fail,hspice_error,total,false_pass_rate
rx_voltage_shape,all,PASS,21,0,0,0,21,0.0
rx_voltage_shape,all,WARN,55,0,4,13,72,
rx_voltage_shape,all,FAIL,0,0,0,0,0,
rx_voltage_shape,calibration,PASS,18,0,0,0,18,0.0
rx_voltage_shape,calibration,WARN,40,0,4,13,57,
rx_voltage_shape,calibration,FAIL,0,0,0,0,0,
rx_voltage_shape,holdout,PASS,3,0,0,0,3,0.0
rx_voltage_shape,holdout,WARN,15,0,0,0,15,
rx_voltage_shape,holdout,FAIL,0,0,0,0,0,
rx_timing,all,PASS,6,3,0,0,9,0.3333333333333333
rx_timing,all,WARN,0,71,0,13,84,
rx_timing,all,FAIL,0,0,0,0,0,
rx_timing,calibration,PASS,6,3,0,0,9,0.3333333333333333
rx_timing,calibration,WARN,0,53,0,13,66,
rx_timing,calibration,FAIL,0,0,0,0,0,
rx_timing,holdout,PASS,0,0,0,0,0,
rx_timing,holdout,WARN,0,18,0,0,18,
rx_timing,holdout,FAIL,0,0,0,0,0,
rx,all,PASS,0,0,0,0,0,
rx,all,WARN,5,71,4,13,93,
rx,all,FAIL,0,0,0,0,0,
rx,calibration,PASS,0,0,0,0,0,
rx,calibration,WARN,5,53,4,13,75,
rx,calibration,FAIL,0,0,0,0,0,
rx,holdout,PASS,0,0,0,0,0,
rx,holdout,WARN,0,18,0,0,18,
rx,holdout,FAIL,0,0,0,0,0,
reflection,all,PASS,0,0,0,0,0,
reflection,all,WARN,6,0,0,0,6,
reflection,all,FAIL,71,0,3,13,87,
reflection,calibration,PASS,0,0,0,0,0,
reflection,calibration,WARN,6,0,0,0,6,
reflection,calibration,FAIL,53,0,3,13,69,
reflection,holdout,PASS,0,0,0,0,0,
reflection,holdout,WARN,0,0,0,0,0,
reflection,holdout,FAIL,18,0,0,0,18,
full_model,all,PASS,0,0,0,0,0,
full_model,all,WARN,5,68,7,13,93,
full_model,all,FAIL,0,0,0,0,0,
full_model,calibration,PASS,0,0,0,0,0,
full_model,calibration,WARN,5,50,7,13,75,
full_model,calibration,FAIL,0,0,0,0,0,
full_model,holdout,PASS,0,0,0,0,0,
full_model,holdout,WARN,0,18,0,0,18,
full_model,holdout,FAIL,0,0,0,0,0,
