view,validation_split,independent_class,hspice_pass,hspice_warn,hspice_fail,hspice_error,total,false_pass_rate
rx_voltage_shape,all,PASS,0,0,0,0,0,
rx_voltage_shape,all,WARN,1,0,2,0,3,
rx_voltage_shape,all,FAIL,0,0,0,0,0,
rx_voltage_shape,calibration,PASS,0,0,0,0,0,
rx_voltage_shape,calibration,WARN,1,0,2,0,3,
rx_voltage_shape,calibration,FAIL,0,0,0,0,0,
rx_timing,all,PASS,2,1,0,0,3,0.3333333333333333
rx_timing,all,WARN,0,0,0,0,0,
rx_timing,all,FAIL,0,0,0,0,0,
rx_timing,calibration,PASS,2,1,0,0,3,0.3333333333333333
rx_timing,calibration,WARN,0,0,0,0,0,
rx_timing,calibration,FAIL,0,0,0,0,0,
rx,all,PASS,0,0,0,0,0,
rx,all,WARN,1,0,2,0,3,
rx,all,FAIL,0,0,0,0,0,
rx,calibration,PASS,0,0,0,0,0,
rx,calibration,WARN,1,0,2,0,3,
rx,calibration,FAIL,0,0,0,0,0,
reflection,all,PASS,0,0,0,0,0,
reflection,all,WARN,0,0,0,0,0,
reflection,all,FAIL,3,0,0,0,3,
reflection,calibration,PASS,0,0,0,0,0,
reflection,calibration,WARN,0,0,0,0,0,
reflection,calibration,FAIL,3,0,0,0,3,
full_model,all,PASS,0,0,0,0,0,
full_model,all,WARN,1,0,2,0,3,
full_model,all,FAIL,0,0,0,0,0,
full_model,calibration,PASS,0,0,0,0,0,
full_model,calibration,WARN,1,0,2,0,3,
full_model,calibration,FAIL,0,0,0,0,0,
