hspice_audit_class,channel_id,case,overlay_plot,hspice_audit_reason
FAIL,Clarity_example_acf20e4a,audit_amp1p5_edge5_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Clarity_example_acf20e4a/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,rx_active_rmse;rx_active_maxabs
FAIL,Clarity_example_acf20e4a,audit_amp1p5_edge50_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Clarity_example_acf20e4a/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,rx_active_rmse;rx_active_maxabs
PASS,Clarity_example_acf20e4a,audit_amp1p5_edge500_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Clarity_example_acf20e4a/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,thresholds passed
WARN,ntwk2_e1c16499,audit_amp1p5_edge5_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/ntwk2_e1c16499/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
PASS,ntwk2_e1c16499,audit_amp1p5_edge50_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/ntwk2_e1c16499/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,thresholds passed
PASS,ntwk2_e1c16499,audit_amp1p5_edge500_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/ntwk2_e1c16499/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,thresholds passed
WARN,ntwk2_24638a5f,audit_amp1p5_edge5_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/ntwk2_24638a5f/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
PASS,ntwk2_24638a5f,audit_amp1p5_edge50_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/ntwk2_24638a5f/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,thresholds passed
PASS,ntwk2_24638a5f,audit_amp1p5_edge500_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/ntwk2_24638a5f/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,thresholds passed
FAIL,RS_ZNB8_23e14c3f,audit_amp1p5_edge5_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/RS_ZNB8_23e14c3f/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,tx_active_rmse
FAIL,RS_ZNB8_23e14c3f,audit_amp1p5_edge50_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/RS_ZNB8_23e14c3f/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,tx_active_rmse
FAIL,RS_ZNB8_23e14c3f,audit_amp1p5_edge500_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/RS_ZNB8_23e14c3f/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,tx_active_rmse
WARN,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge5_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Ch10_35_5F3N_f1_49905299/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge50_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Ch10_35_5F3N_f1_49905299/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge500_r50,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Ch10_35_5F3N_f1_49905299/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
