channel_id,source,source_family,validation_split,channel_path,relative_path,ports,points,f_min_hz,f_max_hz,inventory_dominant_path,max_low_freq_start_hz,low_freq_coverage_ok,low_freq_coverage_ratio,min_frequency_points,frequency_point_count_ok,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,qualification_profile,candidate,candidate_family,stage,fit_source,use_scope,dominant_path,delay_estimate_ns,basis_order,ring_basis_count,reflection_basis_count,dc_gain_to_load,reduced_fit_objective,spice_file,fit_warnings,edge5_fit_rx_active_rmse_v,edge5_fit_rx_active_maxabs_v,edge50_fit_rx_active_rmse_v,edge50_fit_rx_active_maxabs_v,edge500_fit_rx_active_rmse_v,edge500_fit_rx_active_maxabs_v,fit_complex_rms,fit_complex_max,fit_mag_db_rms_above_m40,fit_mag_db_max_above_m40,fit_phase_deg_rms_above_m40,fit_phase_deg_max_above_m40,fit_group_delay_rms_ps,fit_group_delay_max_ps,model_order,pole_count_array,is_passive,passivity_violation_bands_hz,max_sv_input_samples,max_sv_input_samples_freq_hz,max_sv_high,max_sv_high_freq_hz,sv_at_high_fmax,math_pass,math_fail_reasons,ngspice_pass,ngspice_fail_reasons,trust_class,trust_fail_reasons,trust_warn_reasons,independent_score,selected,ngspice_cases,ngspice_cases_passed,max_voltage_shape_score_v,threshold_delay_confidence_low_cases,threshold_delay_confidence_low_reasons,fit_error
Agilent_E5071B_4f4fd1d7,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,4,205,500000000.0,4500000000.0,S12,5000000000.0,True,0.1,8,True,400000000000.0,0.974180745358752,500000000.0,True,fast_calibration,reduced_4p_dominant_delay_rc,reduced_4p_dominant_delay_rc,touchstone_time_fit,touchstone_time_domain,matched_50ohm_reduced_4p,S31,1.1085854725284885,8,0,0,-0.0005456252718724908,0.5792970913045437,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Agilent_E5071B_4f4fd1d7/models/reduced_4p_dominant_delay_rc/Agilent_E5071B_4f4fd1d7_reduced_4p_dominant_delay_rc.sp,,0.012895886237022267,0.06256326593786246,0.012717351006826923,0.06166932442814385,0.0017127666631612277,0.0067299181884806145,0.30321616449528005,0.7998833220079083,26.605387341196156,33.15703322086315,117.53027951545299,179.43846416495555,2244.2875781676676,6721.662074049686,9,9,True,[],0.018520169489992678,2700000000.0,0.018456926726800896,2400000000.0,0.00032697914118819354,False,complex_rms_error;magnitude_db_error;group_delay_error,False,,FAIL,complex_rms_error;group_delay_error;magnitude_db_error,,0.32655904027695676,False,,,,,,
Agilent_E5071B_4f4fd1d7,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,4,205,500000000.0,4500000000.0,S12,5000000000.0,True,0.1,8,True,400000000000.0,0.974180745358752,500000000.0,True,fast_calibration,reduced_4p_dominant_delay_rc_reflect,reduced_4p_dominant_delay_rc_reflect,touchstone_time_fit,touchstone_time_domain,matched_50ohm_reduced_4p,S31,1.1085854725284885,8,0,7,-0.0005456252718724908,0.5792970913045437,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Agilent_E5071B_4f4fd1d7/models/reduced_4p_dominant_delay_rc_reflect/Agilent_E5071B_4f4fd1d7_reduced_4p_dominant_delay_rc_reflect.sp,,0.012895886237022267,0.06256326593786246,0.012717351006826923,0.06166932442814385,0.0017127666631612277,0.0067299181884806145,0.30321616449528005,0.7998833220079083,26.605387341196156,33.15703322086315,117.53027951545299,179.43846416495555,2244.2875781676676,6721.662074049686,16,16,True,[],0.018520169489992678,2700000000.0,0.018456926726800896,2400000000.0,0.00032697914118819354,False,complex_rms_error;magnitude_db_error;group_delay_error,False,,FAIL,complex_rms_error;group_delay_error;magnitude_db_error,,0.32725904027695674,False,,,,,,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,fast_calibration,vector_3r3c,full_vector_fit,raw,vector_fit_frequency_domain,general_multiport,,,,,,,,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Clarity_example_acf20e4a/models/vector_3r3c/Clarity_example_acf20e4a_vector_3r3c.sp,,,,,,,,0.0004875352609379861,0.0016295719368532623,0.0763108009120033,0.35841318179765125,1.0929714926728265,9.016311733116371,0.36005349412655147,1.2433481188514632,9,6,True,[],0.9977014281904745,50000000.0,0.9983643763329778,0.0,0.7066119301664062,True,,True,,WARN,,rx_overshoot_margin;rx_undershoot_margin,0.030070431171092465,True,12,12,0.2867929537521321,0,,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,fast_calibration,vector_5r5c,full_vector_fit,raw,vector_fit_frequency_domain,general_multiport,,,,,,,,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Clarity_example_acf20e4a/models/vector_5r5c/Clarity_example_acf20e4a_vector_5r5c.sp,"The fitted network is passive, but the vector fit is not passive. Consider running `passivity_enforce()` to enforce passivity before using this model.",,,,,,,0.0003611033744485645,0.0011005065723637209,0.06062966946250883,0.38806092791942604,0.4409210764256478,3.1892040588789383,0.4610280087173086,1.94305461587434,15,10,False,"[[0.0, 8042749.7261596415], [2599023182.2509084, Infinity]]",0.9977144735464614,50000000.0,1.5523104639261858,400000000000.0,1.5523104639261858,False,non_passive_fit;dense_singular_value,False,,FAIL,dense_singular_value;non_passive_fit,,0.0018657136545357376,False,,,,,,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,fast_calibration,vector_5r5c_enforced,full_vector_fit_enforced,passivity_enforced,vector_fit_frequency_domain,general_multiport,,,,,,,,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Clarity_example_acf20e4a/models/vector_5r5c_enforced/Clarity_example_acf20e4a_vector_5r5c_enforced.sp,"Passivity enforcement: The dc point in the model is not passive. Cannot preserve the dc point during passivity enforcement.  | Passivity enforcement: The passivity violations of this model are unbounded. Passivity enforcement might still work, but consider re-fitting with a lower number of poles and/or without the constants (`fit_constant=False`) if the results are not satisfactory. | Passivity enforcement: Aborting after the max. number of iterations has been exceeded. | Passivity enforcement was not successful.
Model is still non-passive in these frequency bands: [[0.00000000e+00 9.20702348e+04]
 [9.20702348e+04 3.79454686e+06]
 [3.79454686e+06 7.18085758e+07]
 [7.18085758e+07 2.40119458e+08]
 [2.40798815e+08 4.80751074e+08]
 [5.08454911e+08 7.39011926e+08]
 [8.76041028e+08 1.21086157e+09]
 [1.55177361e+09 2.08683488e+09]
 [2.62733288e+09 3.39260770e+09]
 [4.25219801e+09 6.72990467e+09]
 [1.66847075e+10            inf]].
Try running this routine again with a larger number of samples (parameter `n_samples`). This run was using n_samples = 2000. Consider trying again with n_samples > 10426822.",,,,,,,230.34686341188444,1190.3085823958797,30.15836873625103,101.3058153035799,98.97289779535355,178.36026602627464,1970.2645247034964,4917.524600202721,15,10,False,"[[0.0, 92070.23481773978], [92070.23481773978, 3794546.8602321586], [3794546.8602321586, 71808575.80220766], [71808575.80220766, 240119457.89953595], [240798814.5799407, 480751074.4385408], [508454911.30230564, 739011926.1282445], [876041028.09283, 1210861573.6430726], [1551773613.7650187, 2086834875.3420894], [2627332882.630026, 3392607695.791162], [4252198010.875763, 6729904668.723715], [16684707514.191725, Infinity]]",2372.8597671871553,50000000.0,1.5513259036694749,400000000000.0,1.5513259036694749,False,non_passive_fit;dense_singular_value;complex_rms_error;magnitude_db_error;group_delay_error,False,,FAIL,complex_rms_error;dense_singular_value;group_delay_error;magnitude_db_error;non_passive_fit,,230.36806605713147,False,,,,,,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,fast_calibration,reduced_s2p_delay_rc,reduced_s2p_delay_rc,touchstone_time_fit,touchstone_time_domain,matched_50ohm_transient,S21,0.36504202050489826,8,0,0,1.0469581898628073,1.836557016697068,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Clarity_example_acf20e4a/models/reduced_s2p_delay_rc/Clarity_example_acf20e4a_reduced_s2p_delay_rc.sp,,0.037299853369166476,0.35208569590543376,0.03671398025397512,0.30721070122563865,0.014037142799869704,0.061993291023252184,0.30851575655486096,0.49781986819603474,0.25837695766113505,0.6214158237870502,18.738405103908477,31.360271235688234,44.847160010694495,58.86702832082871,9,9,True,[],1.0044276757124426,700000000.0,1.0469581898628073,0.0,0.011306528072708875,False,complex_rms_error;group_delay_error,False,,FAIL,complex_rms_error;group_delay_error,,0.30986422815496795,False,,,,,,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,fast_calibration,reduced_s2p_delay_rc_ring,reduced_s2p_delay_rc_ring,touchstone_time_fit,touchstone_time_domain,matched_50ohm_transient,S21,0.36504202050489826,8,15,0,1.0469581898628073,1.836557016697068,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Clarity_example_acf20e4a/models/reduced_s2p_delay_rc_ring/Clarity_example_acf20e4a_reduced_s2p_delay_rc_ring.sp,,0.037299853369166476,0.35208569590543376,0.03671398025397512,0.30721070122563865,0.014037142799869704,0.061993291023252184,0.13520062807523642,0.367996983772379,1.4448680925486543,4.269221518574739,1.4679094095784508,2.4480665665560846,13.499297304950279,43.632686618089,24,24,True,[],1.0110998801716018,750000000.0,1.0469581898628073,0.0,0.05272933572029693,False,complex_rms_error;magnitude_db_error;group_delay_error,False,,FAIL,complex_rms_error;group_delay_error;magnitude_db_error,,0.13773562104828593,False,,,,,,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,S12,5000000000.0,True,0.01,8,True,400000000000.0,0.9981438316324364,50000000.0,True,fast_calibration,reduced_s2p_delay_rc_ring_reflect,reduced_s2p_delay_rc_ring_reflect,touchstone_time_fit,touchstone_time_domain,matched_50ohm_transient,S21,0.36504202050489826,8,15,7,1.0469581898628073,1.836557016697068,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/Clarity_example_acf20e4a/models/reduced_s2p_delay_rc_ring_reflect/Clarity_example_acf20e4a_reduced_s2p_delay_rc_ring_reflect.sp,,0.037299853369166476,0.35208569590543376,0.03671398025397512,0.30721070122563865,0.014037142799869704,0.061993291023252184,0.13520062807523642,0.367996983772379,1.4448680925486543,4.269221518574739,1.4679094095784508,2.4480665665560846,13.499297304950279,43.632686618089,31,31,True,[],1.0110998801716018,750000000.0,1.0469581898628073,0.0,0.05272933572029693,False,complex_rms_error;magnitude_db_error;group_delay_error,False,,FAIL,complex_rms_error;group_delay_error;magnitude_db_error,,0.1384356210482859,False,,,,,,
cst_example_4ports_e82e6e67,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_4ports.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_4ports.s4p,4,601,0.0,60000000.0,S12,5000000000.0,True,0.0,8,True,400000000000.0,1.0849718071998142,19900000.0,False,fast_calibration,reduced_4p_dominant_delay_rc,reduced_4p_dominant_delay_rc,touchstone_time_fit,touchstone_time_domain,matched_50ohm_reduced_4p,S31,16.746846901962382,8,0,0,0.07260096966533704,4.189125807642774,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/cst_example_4ports_e82e6e67/models/reduced_4p_dominant_delay_rc/cst_example_4ports_e82e6e67_reduced_4p_dominant_delay_rc.sp,,0.02828653328688255,0.059409138765221525,0.02828532962292113,0.059408860398604574,0.028222612894961897,0.05938015921831124,0.10600630942700906,0.1728401179909683,8.683089111782381,17.074954116173707,64.95821596854489,145.2711193082896,11605.43461477605,16765.319188571324,9,9,True,[],0.07260096966533704,0.0,0.07260096966533704,0.0,0.0009388854506049121,False,low_frequency_coverage;complex_rms_error;magnitude_db_error;group_delay_error,False,,FAIL,complex_rms_error;group_delay_error;low_frequency_coverage;magnitude_db_error,,0.22296065557476957,False,,,,,,
cst_example_4ports_e82e6e67,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_4ports.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_4ports.s4p,4,601,0.0,60000000.0,S12,5000000000.0,True,0.0,8,True,400000000000.0,1.0849718071998142,19900000.0,False,fast_calibration,reduced_4p_dominant_delay_rc_reflect,reduced_4p_dominant_delay_rc_reflect,touchstone_time_fit,touchstone_time_domain,matched_50ohm_reduced_4p,S31,16.746846901962382,8,0,7,0.07260096966533704,4.189125807642774,results/sparam_trust_workflow_calibration_v1_fast_2026-06-09/channels/cst_example_4ports_e82e6e67/models/reduced_4p_dominant_delay_rc_reflect/cst_example_4ports_e82e6e67_reduced_4p_dominant_delay_rc_reflect.sp,,0.02828653328688255,0.059409138765221525,0.02828532962292113,0.059408860398604574,0.028222612894961897,0.05938015921831124,0.10600630942700906,0.1728401179909683,8.683089111782381,17.074954116173707,64.95821596854489,145.2711193082896,11605.43461477605,16765.319188571324,16,16,True,[],0.07260096966533704,0.0,0.07260096966533704,0.0,0.0009388854506049121,False,low_frequency_coverage;complex_rms_error;magnitude_db_error;group_delay_error,False,,FAIL,complex_rms_error;group_delay_error;low_frequency_coverage;magnitude_db_error,,0.22366065557476955,False,,,,,,
