channel_id,source,source_family,validation_split,channel_path,relative_path,ports,points,f_min_hz,f_max_hz,inventory_dominant_path,max_low_freq_start_hz,low_freq_coverage_ok,low_freq_coverage_ratio,min_frequency_points,frequency_point_count_ok,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,candidate,return_code,raw,log,parse_error,finite_reasonable,last_trouble,case,rsrc_ohm,edge_ps,amplitude_v
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_4p_dominant_delay_rc,1,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp1p5_edge5_ideal.raw,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp1p5_edge5_ideal.log,[Errno 2] No such file or directory: 'C:\\Users\\sh3qm\\code\\ibis_comparison\\results\\sparam_trust_workflow_reduced_smoke_2026-06-09_b\\channels\\Ch10_35_5F3N_f1_49905299\\ngspice_smoke\\reduced_4p_dominant_delay_rc\\amp1p5_edge5_ideal.raw',False,Error: Could not find include file ../../models/reduced_4p_dominant_delay_rc/Ch10_35_5F3N_f1_49905299_reduced_4p_dominant_delay_rc.sp,amp1p5_edge5_ideal,ideal,5.0,1.5
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_4p_dominant_delay_rc,1,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp1p5_edge50_ideal.raw,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp1p5_edge50_ideal.log,[Errno 2] No such file or directory: 'C:\\Users\\sh3qm\\code\\ibis_comparison\\results\\sparam_trust_workflow_reduced_smoke_2026-06-09_b\\channels\\Ch10_35_5F3N_f1_49905299\\ngspice_smoke\\reduced_4p_dominant_delay_rc\\amp1p5_edge50_ideal.raw',False,Error: Could not find include file ../../models/reduced_4p_dominant_delay_rc/Ch10_35_5F3N_f1_49905299_reduced_4p_dominant_delay_rc.sp,amp1p5_edge50_ideal,ideal,50.0,1.5
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_4p_dominant_delay_rc,1,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp1p5_edge500_ideal.raw,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp1p5_edge500_ideal.log,[Errno 2] No such file or directory: 'C:\\Users\\sh3qm\\code\\ibis_comparison\\results\\sparam_trust_workflow_reduced_smoke_2026-06-09_b\\channels\\Ch10_35_5F3N_f1_49905299\\ngspice_smoke\\reduced_4p_dominant_delay_rc\\amp1p5_edge500_ideal.raw',False,Error: Could not find include file ../../models/reduced_4p_dominant_delay_rc/Ch10_35_5F3N_f1_49905299_reduced_4p_dominant_delay_rc.sp,amp1p5_edge500_ideal,ideal,500.0,1.5
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_4p_dominant_delay_rc,1,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp1p5_edge5_r50.raw,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp1p5_edge5_r50.log,[Errno 2] No such file or directory: 'C:\\Users\\sh3qm\\code\\ibis_comparison\\results\\sparam_trust_workflow_reduced_smoke_2026-06-09_b\\channels\\Ch10_35_5F3N_f1_49905299\\ngspice_smoke\\reduced_4p_dominant_delay_rc\\amp1p5_edge5_r50.raw',False,Error: Could not find include file ../../models/reduced_4p_dominant_delay_rc/Ch10_35_5F3N_f1_49905299_reduced_4p_dominant_delay_rc.sp,amp1p5_edge5_r50,50.0,5.0,1.5
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_4p_dominant_delay_rc,1,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp1p5_edge50_r50.raw,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp1p5_edge50_r50.log,[Errno 2] No such file or directory: 'C:\\Users\\sh3qm\\code\\ibis_comparison\\results\\sparam_trust_workflow_reduced_smoke_2026-06-09_b\\channels\\Ch10_35_5F3N_f1_49905299\\ngspice_smoke\\reduced_4p_dominant_delay_rc\\amp1p5_edge50_r50.raw',False,Error: Could not find include file ../../models/reduced_4p_dominant_delay_rc/Ch10_35_5F3N_f1_49905299_reduced_4p_dominant_delay_rc.sp,amp1p5_edge50_r50,50.0,50.0,1.5
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_4p_dominant_delay_rc,1,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp1p5_edge500_r50.raw,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp1p5_edge500_r50.log,[Errno 2] No such file or directory: 'C:\\Users\\sh3qm\\code\\ibis_comparison\\results\\sparam_trust_workflow_reduced_smoke_2026-06-09_b\\channels\\Ch10_35_5F3N_f1_49905299\\ngspice_smoke\\reduced_4p_dominant_delay_rc\\amp1p5_edge500_r50.raw',False,Error: Could not find include file ../../models/reduced_4p_dominant_delay_rc/Ch10_35_5F3N_f1_49905299_reduced_4p_dominant_delay_rc.sp,amp1p5_edge500_r50,50.0,500.0,1.5
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_4p_dominant_delay_rc,1,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp0p05_edge5_ideal.raw,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp0p05_edge5_ideal.log,[Errno 2] No such file or directory: 'C:\\Users\\sh3qm\\code\\ibis_comparison\\results\\sparam_trust_workflow_reduced_smoke_2026-06-09_b\\channels\\Ch10_35_5F3N_f1_49905299\\ngspice_smoke\\reduced_4p_dominant_delay_rc\\amp0p05_edge5_ideal.raw',False,Error: Could not find include file ../../models/reduced_4p_dominant_delay_rc/Ch10_35_5F3N_f1_49905299_reduced_4p_dominant_delay_rc.sp,amp0p05_edge5_ideal,ideal,5.0,0.05
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_4p_dominant_delay_rc,1,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp0p05_edge5_r50.raw,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp0p05_edge5_r50.log,[Errno 2] No such file or directory: 'C:\\Users\\sh3qm\\code\\ibis_comparison\\results\\sparam_trust_workflow_reduced_smoke_2026-06-09_b\\channels\\Ch10_35_5F3N_f1_49905299\\ngspice_smoke\\reduced_4p_dominant_delay_rc\\amp0p05_edge5_r50.raw',False,Error: Could not find include file ../../models/reduced_4p_dominant_delay_rc/Ch10_35_5F3N_f1_49905299_reduced_4p_dominant_delay_rc.sp,amp0p05_edge5_r50,50.0,5.0,0.05
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_4p_dominant_delay_rc,1,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp0p1_edge5_ideal.raw,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp0p1_edge5_ideal.log,[Errno 2] No such file or directory: 'C:\\Users\\sh3qm\\code\\ibis_comparison\\results\\sparam_trust_workflow_reduced_smoke_2026-06-09_b\\channels\\Ch10_35_5F3N_f1_49905299\\ngspice_smoke\\reduced_4p_dominant_delay_rc\\amp0p1_edge5_ideal.raw',False,Error: Could not find include file ../../models/reduced_4p_dominant_delay_rc/Ch10_35_5F3N_f1_49905299_reduced_4p_dominant_delay_rc.sp,amp0p1_edge5_ideal,ideal,5.0,0.1
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_4p_dominant_delay_rc,1,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp0p1_edge5_r50.raw,results/sparam_trust_workflow_reduced_smoke_2026-06-09_b/channels/Ch10_35_5F3N_f1_49905299/ngspice_smoke/reduced_4p_dominant_delay_rc/amp0p1_edge5_r50.log,[Errno 2] No such file or directory: 'C:\\Users\\sh3qm\\code\\ibis_comparison\\results\\sparam_trust_workflow_reduced_smoke_2026-06-09_b\\channels\\Ch10_35_5F3N_f1_49905299\\ngspice_smoke\\reduced_4p_dominant_delay_rc\\amp0p1_edge5_r50.raw',False,Error: Could not find include file ../../models/reduced_4p_dominant_delay_rc/Ch10_35_5F3N_f1_49905299_reduced_4p_dominant_delay_rc.sp,amp0p1_edge5_r50,50.0,5.0,0.1
