channel_id,source,source_family,validation_split,channel_path,relative_path,ports,points,f_min_hz,f_max_hz,inventory_dominant_path,max_low_freq_start_hz,low_freq_coverage_ok,low_freq_coverage_ratio,min_frequency_points,frequency_point_count_ok,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,candidate,candidate_family,stage,fit_source,use_scope,fit_warnings,fit_complex_rms,fit_complex_max,fit_mag_db_rms_above_m40,fit_mag_db_max_above_m40,fit_phase_deg_rms_above_m40,fit_phase_deg_max_above_m40,fit_group_delay_rms_ps,fit_group_delay_max_ps,model_order,pole_count_array,is_passive,passivity_violation_bands_hz,max_sv_input_samples,max_sv_input_samples_freq_hz,max_sv_high,max_sv_high_freq_hz,sv_at_high_fmax,spice_file,math_pass,math_fail_reasons,ngspice_pass,ngspice_fail_reasons,trust_class,trust_fail_reasons,trust_warn_reasons,independent_score,selected,dominant_path,delay_estimate_ns,basis_order,ring_basis_count,reflection_basis_count,dc_gain_to_load,reduced_fit_objective,edge5_fit_rx_active_rmse_v,edge5_fit_rx_active_maxabs_v,edge50_fit_rx_active_rmse_v,edge50_fit_rx_active_maxabs_v,edge500_fit_rx_active_rmse_v,edge500_fit_rx_active_maxabs_v,ngspice_cases,ngspice_cases_passed
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,vector_3r3c,full_vector_fit,raw,vector_fit_frequency_domain,general_multiport,"Vector Fitting: The pole relocation process stopped after reaching the maximum number of iterations (N_max = 100). The results did not converge properly. | The fitted network is passive, but the vector fit is not passive. Consider running `passivity_enforce()` to enforce passivity before using this model.",0.10012274080934164,0.4687010432298461,30.710129426753515,102.89736402472185,95.18044917242422,179.9922869974262,nan,nan,9,5,False,"[[430034550312.4758, 610478928605.7612], [610478928605.7612, 631925962845.5938], [631925962845.5938, 734612887889.5452], [734612887889.5452, Infinity]]",0.5081079026219532,17943912500.0,0.9313132426566435,400000000000.0,0.9313132426566435,results/sparam_trust_workflow_reduced_smoke_2026-06-09_c/channels/Ch10_35_5F3N_f1_49905299/models/vector_3r3c/Ch10_35_5F3N_f1_49905299_vector_3r3c.sp,False,non_passive_fit;complex_rms_error;magnitude_db_error,False,,FAIL,complex_rms_error;magnitude_db_error;non_passive_fit,,0.10102274080934164,False,,,,,,,,,,,,,,,
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_s2p_delay_rc,reduced_s2p_delay_rc,,touchstone_time_domain,,,,,,,,,,,,,,,,,,,,,False,candidate_requires_s2p,False,,FAIL,candidate_requires_s2p,,1000000000.0999,False,,,,,,,,,,,,,,,
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_s2p_delay_rc_ring,reduced_s2p_delay_rc_ring,,touchstone_time_domain,,,,,,,,,,,,,,,,,,,,,False,candidate_requires_s2p,False,,FAIL,candidate_requires_s2p,,1000000000.0999,False,,,,,,,,,,,,,,,
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_s2p_delay_rc_ring_reflect,reduced_s2p_delay_rc_ring_reflect,,touchstone_time_domain,,,,,,,,,,,,,,,,,,,,,False,candidate_requires_s2p,False,,FAIL,candidate_requires_s2p,,1000000000.0999,False,,,,,,,,,,,,,,,
Ch10_35_5F3N_f1_49905299,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.622332333104745,45563387500.0,True,reduced_4p_dominant_delay_rc,reduced_4p_dominant_delay_rc,touchstone_time_fit,touchstone_time_domain,matched_50ohm_reduced_4p,,0.0010452661936908414,0.002149939590704356,nan,nan,nan,nan,nan,nan,9,9,True,[],0.002735134976084778,10000000.0,0.002947959819170157,0.0,4.6615315604013945e-05,results/sparam_trust_workflow_reduced_smoke_2026-06-09_c/channels/Ch10_35_5F3N_f1_49905299/models/reduced_4p_dominant_delay_rc/Ch10_35_5F3N_f1_49905299_reduced_4p_dominant_delay_rc.sp,True,,True,,WARN,,reduced_4p_not_full_matrix;rx_settling_margin,0.0019452661936908413,True,S31,16.757916033508778,8,0,0,-0.002947959819170157,0.00016989347495647617,0.00018796392468655644,0.0010656302993458722,0.0001870846726406221,0.001054746167750868,0.00017231264384265902,0.0009267676166930767,12,12
Ch10_35_5F3N_f2_f23c49e2,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6203501152758982,45563387500.0,True,vector_3r3c,full_vector_fit,raw,vector_fit_frequency_domain,general_multiport,"Vector Fitting: The pole relocation process stopped after reaching the maximum number of iterations (N_max = 100). The results did not converge properly. | The fitted network is passive, but the vector fit is not passive. Consider running `passivity_enforce()` to enforce passivity before using this model.",0.10005338252328003,0.4684759337633355,30.8972831458818,109.40045736060374,95.312338218924,179.99702341883446,nan,nan,9,5,False,"[[424028334482.60565, 571687686871.1528], [571687686871.1528, 610495904067.9315], [610495904067.9315, 734672941472.3422], [734672941472.3422, Infinity]]",0.5055609777194809,17943912500.0,0.9442713150634552,400000000000.0,0.9442713150634552,results/sparam_trust_workflow_reduced_smoke_2026-06-09_c/channels/Ch10_35_5F3N_f2_f23c49e2/models/vector_3r3c/Ch10_35_5F3N_f2_f23c49e2_vector_3r3c.sp,False,non_passive_fit;complex_rms_error;magnitude_db_error,False,,FAIL,complex_rms_error;magnitude_db_error;non_passive_fit,,0.10095338252328002,False,,,,,,,,,,,,,,,
Ch10_35_5F3N_f2_f23c49e2,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6203501152758982,45563387500.0,True,reduced_s2p_delay_rc,reduced_s2p_delay_rc,,touchstone_time_domain,,,,,,,,,,,,,,,,,,,,,False,candidate_requires_s2p,False,,FAIL,candidate_requires_s2p,,1000000000.0999,False,,,,,,,,,,,,,,,
Ch10_35_5F3N_f2_f23c49e2,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6203501152758982,45563387500.0,True,reduced_s2p_delay_rc_ring,reduced_s2p_delay_rc_ring,,touchstone_time_domain,,,,,,,,,,,,,,,,,,,,,False,candidate_requires_s2p,False,,FAIL,candidate_requires_s2p,,1000000000.0999,False,,,,,,,,,,,,,,,
Ch10_35_5F3N_f2_f23c49e2,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6203501152758982,45563387500.0,True,reduced_s2p_delay_rc_ring_reflect,reduced_s2p_delay_rc_ring_reflect,,touchstone_time_domain,,,,,,,,,,,,,,,,,,,,,False,candidate_requires_s2p,False,,FAIL,candidate_requires_s2p,,1000000000.0999,False,,,,,,,,,,,,,,,
Ch10_35_5F3N_f2_f23c49e2,repo_local,cisco,calibration,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,4,3201,10000000.0,50000000000.0,S12,5000000000.0,True,0.002,8,True,400000000000.0,0.6203501152758982,45563387500.0,True,reduced_4p_dominant_delay_rc,reduced_4p_dominant_delay_rc,touchstone_time_fit,touchstone_time_domain,matched_50ohm_reduced_4p,,5.250800105442911e-05,0.00019450877539157864,nan,nan,nan,nan,nan,nan,9,9,True,[],3.421348697996063e-05,3087509375.0,3.3180988705396055e-05,4000000000.0,5.686251127619955e-07,results/sparam_trust_workflow_reduced_smoke_2026-06-09_c/channels/Ch10_35_5F3N_f2_f23c49e2/models/reduced_4p_dominant_delay_rc/Ch10_35_5F3N_f2_f23c49e2_reduced_4p_dominant_delay_rc.sp,True,,False,,FAIL,rx_overshoot;rx_undershoot,,0.0009525080010544292,False,S31,3.3091568586850584,8,0,0,1.8105473663638806e-05,1.692264588216156e-07,5.9738535224176544e-06,2.7689155344711255e-05,5.944025569357802e-06,2.6926840628887954e-05,5.421378315984853e-06,1.6011884293746707e-05,12,2
