channel_id,source,source_family,validation_split,channel_path,relative_path,ports,points,original_f_min_hz,original_f_max_hz,high_fmax_hz,sampled_max_sv,sampled_max_sv_freq_hz,sampled_is_passive,reduced_baseline_candidate,reduced_baseline_rx_ready_status,reduced_baseline_rx_voltage_shape_class,reduced_baseline_rx_timing_class,selected_candidate_id,selected_candidate,fit_trust_class,independent_trust_class,full_model_ready_status,reason,selected_preprocessing_mode,selected_init_pole_spacing,selected_passivity_enforced,selected_spice_file,selected_model_copy,selected_model_order,selected_fit_complex_rms,selected_rx_fit_complex_rms,selected_reflection_fit_complex_rms,selected_max_sv_high,math_fail_reasons,math_warn_reasons,independent_score,ngspice_smoke_cases,ngspice_smoke_fail_reasons,ngspice_smoke_warn_reasons
Agilent_E5071B_4f4fd1d7,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,4,205,500000000.0,4500000000.0,400000000000.0,0.974180745358752,500000000.0,True,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
Clarity_example_acf20e4a,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,2,40,50000000.0,2000000000.0,400000000000.0,0.9981438316324364,50000000.0,True,vector_3r3c,RX_WARN_VOLTAGE_MARGIN,WARN,PASS,raw_vector_3r3c_lin,vector_3r3c,PASS,WARN,WARN,selected_by_vector_fit_independent_score,raw,lin,False,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/Clarity_example_acf20e4a/models/raw_vector_3r3c_lin/Clarity_example_acf20e4a_raw_vector_3r3c_lin.sp,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/selected_vector_models/Clarity_example_acf20e4a.sp,9,0.0004875352609379861,0.0003954789081959066,0.00056493575643837,0.9983643763329778,,,0.0027301091890867975,12,,rx_overshoot_margin;rx_undershoot_margin
cst_example_4ports_e82e6e67,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_4ports.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_4ports.s4p,4,601,0.0,60000000.0,400000000000.0,1.0849718071998142,19900000.0,False,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
designer_variable_coupler_ideal_20deg_e31d0708,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/designer_variable_coupler_ideal_20deg.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/designer_variable_coupler_ideal_20deg.s4p,4,1,1500000000.0,1500000000.0,400000000000.0,1.0000000000000002,1500000000.0,True,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
designer_variable_coupler_ideal_75deg_50e48e76,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/designer_variable_coupler_ideal_75deg.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/designer_variable_coupler_ideal_75deg.s4p,4,1,1500000000.0,1500000000.0,400000000000.0,1.0,1500000000.0,True,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
fet_7e5200ad,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/fet.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/fet.s2p,2,101,30000000000.0,40000000000.0,400000000000.0,1.4317851903488026,30000000000.0,False,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
hfss_twoport_e975fe9f,skrf_tests,skrf_tests,holdout,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_twoport.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_twoport.s2p,2,101,75000000000.0,110000000000.0,400000000000.0,0.9905657630375243,75700000000.0,True,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
LFCN-2352__Plus125degC_4793e65c,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/LFCN-2352+_Plus125degC.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/LFCN-2352+_Plus125degC.s2p,2,2006,10000000.0,50000000000.0,400000000000.0,1.1201258463409525,10625000000.0,False,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
LFCN-2352__Plus25degC_d04142bc,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/LFCN-2352+_Plus25degC.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/LFCN-2352+_Plus25degC.s2p,2,2006,10000000.0,50000000000.0,400000000000.0,1.1536655525959123,10625000000.0,False,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
ntwk1_f450e450,skrf_tests,skrf_tests,calibration,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk1.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/ntwk1.s2p,2,91,1000000000.0,10000000000.0,400000000000.0,1.0000000007608698,9000000000.0,False,,FAIL,FAIL,FAIL,,,FAIL,FAIL,FAIL,no_vector_candidate_passed_fit_gates,,,,,,,,,,,,,,0,,
