candidate,kind,n_poles_real,n_poles_cmplx,init_pole_spacing,target_error,model_order_max
auto_fit_default,auto,,,,0.01,100
auto_fit_tight,auto,,,,0.005,80
auto_fit_very_tight,auto,,,,0.001,100
vector_1r1c,fixed,1,1,lin,,
vector_1r1c,fixed,1,1,log,,
vector_2r2c,fixed,2,2,lin,,
vector_2r2c,fixed,2,2,log,,
vector_3r3c,fixed,3,3,lin,,
vector_3r3c,fixed,3,3,log,,
vector_4r4c,fixed,4,4,lin,,
vector_4r4c,fixed,4,4,log,,
vector_5r5c,fixed,5,5,lin,,
vector_5r5c,fixed,5,5,log,,
vector_6r6c,fixed,6,6,lin,,
vector_6r6c,fixed,6,6,log,,
vector_8r8c,fixed,8,8,lin,,
vector_8r8c,fixed,8,8,log,,
vector_10r10c,fixed,10,10,lin,,
vector_10r10c,fixed,10,10,log,,
vector_12r12c,fixed,12,12,lin,,
vector_12r12c,fixed,12,12,log,,
