validation_split,edge_ps,edge_adjusted_independent_class,hspice_pass,hspice_warn,hspice_fail,hspice_error,total,false_pass_rate
all,all,PASS,20,0,0,0,20,0.0
all,all,WARN,6,2,8,0,16,
all,all,FAIL,4,10,4,0,18,
all,5,WARN,0,2,2,0,4,
all,5,FAIL,0,10,4,0,14,
all,50,PASS,8,0,0,0,8,0.0
all,50,WARN,2,0,6,0,8,
all,50,FAIL,2,0,0,0,2,
all,500,PASS,12,0,0,0,12,0.0
all,500,WARN,4,0,0,0,4,
all,500,FAIL,2,0,0,0,2,
calibration,all,PASS,16,0,0,0,16,0.0
calibration,all,WARN,6,2,8,0,16,
calibration,all,FAIL,2,7,4,0,13,
calibration,5,WARN,0,2,2,0,4,
calibration,5,FAIL,0,7,4,0,11,
calibration,50,PASS,6,0,0,0,6,0.0
calibration,50,WARN,2,0,6,0,8,
calibration,50,FAIL,1,0,0,0,1,
calibration,500,PASS,10,0,0,0,10,0.0
calibration,500,WARN,4,0,0,0,4,
calibration,500,FAIL,1,0,0,0,1,
holdout,all,PASS,4,0,0,0,4,0.0
holdout,all,FAIL,2,3,0,0,5,
holdout,5,FAIL,0,3,0,0,3,
holdout,50,PASS,2,0,0,0,2,0.0
holdout,50,FAIL,1,0,0,0,1,
holdout,500,PASS,2,0,0,0,2,0.0
holdout,500,FAIL,1,0,0,0,1,
