channel_id,source,source_family,path,relative_path,bytes,sha256,ports_from_suffix,status,ports,points,f_min_hz,f_max_hz,z0_summary,supported_v1,dominant_path,dominant_output_port,dominant_input_port,dominant_peak_mag_db,max_reflection_mag_db,duplicate_count,duplicate_group,validation_split
Ch10_35_5F3N_f1_49905299,extra,cisco,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f1.s4p,1141073,27c74dd573dc9e74c1e1867d2e7aa0ca7697d60c4bbaa3c19f7af4222af1de9f,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-13.785718,-4.499073999999999,2,27c74dd573dc,calibration
Ch10_35_5F3N_f2_f23c49e2,extra,cisco,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f2.s4p,1140915,6729918dc24be6a1bb1980cef0909d2dfb274bdd05ab012f47f6f45a3985ac06,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-13.803336,-4.539314300000001,3,6729918dc24b,calibration
Ch10_35_5F3N_f3_81049e25,extra,cisco,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f3.s4p,1141263,8f3fb797206decac77e5a5118d7169d6d59e9f417f0452cc13f85ed8f0e39d52,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-13.789948,-4.5282722,3,8f3fb797206d,calibration
Ch10_35_5F3N_f4_fc94db99,extra,cisco,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f4.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f4.s4p,1141247,8e671d32f2a59b3195bcdb5c1924f2f43470f8c5b707ab77af0c72419139bc38,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-13.796339000000001,-4.5220246,2,8e671d32f2a5,calibration
Ch10_35_5F3N_f5_3a904f20,extra,cisco,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_f5.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_f5.s4p,1141082,fc412dc344be37af45f6671b563190fcd8fc998fbcc44a960ccd5f9f9c6b944e,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-13.792791000000001,-4.5335422,3,fc412dc344be,holdout
Ch10_35_5F3N_n1_8e377765,extra,cisco,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_n1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n1.s4p,1141573,04b8fbcd40d8e0a91b8ae7dc237c56fb05f3d79703280c84e36c7c3fbc6167d7,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-13.742423000000002,-4.668792700000001,10,04b8fbcd40d8,calibration
Ch10_35_5F3N_n2_b3e24295,extra,cisco,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_n2.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n2.s4p,1142126,a8d4b65aa96ce19d0aeecb0adde478a4b9a767e2e85ccf7cb4ece95448f2c4ef,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S43,4,3,-13.203496,-4.9536963,10,a8d4b65aa96c,calibration
Ch10_35_5F3N_n3_a9ef8f2b,extra,cisco,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_n3.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_n3.s4p,1142025,05535de0ea3fe0278eda4c685a74456ef806ca37ca40eab219f7ca3d9f40454d,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-13.762869,-4.9925971,10,05535de0ea3f,calibration
Ch10_35_5F3N_t_d3c7dddc,extra,cisco,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch10_35_5F3N_t.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch10_35_5F3N_t.s4p,1141329,8524a05e4dab90868639505ca418f8e83881b0ccd73b2b300b11d2e84e295b94,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S31,3,1,-0.8620925500000014,-4.516802799999998,2,8524a05e4dab,calibration
Ch1_10_5F3N_f1_8f9c2982,extra,cisco,C:\Users\sh3qm\code\ibis_comparison\hspice\sparam\Cisco_Backplane_channel_data\5F3N\Ch1_10_5F3N_f1.s4p,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_f1.s4p,1141934,bafb6a2672b04ada03a3a54a2a25c0e968bf699b32d68a17e65a9da1db55234c,4,ok,4,3201,10000000.0,50000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-13.644585999999999,-4.930113800000001,2,bafb6a2672b0,calibration
