view,validation_split,independent_class,hspice_pass,hspice_warn,hspice_fail,hspice_error,total,false_pass_rate
rx,all,PASS,0,0,0,0,0,
rx,all,WARN,0,3,0,0,3,
rx,all,FAIL,0,0,0,0,0,
rx,calibration,PASS,0,0,0,0,0,
rx,calibration,WARN,0,3,0,0,3,
rx,calibration,FAIL,0,0,0,0,0,
reflection,all,PASS,0,0,0,0,0,
reflection,all,WARN,0,0,0,0,0,
reflection,all,FAIL,3,0,0,0,3,
reflection,calibration,PASS,0,0,0,0,0,
reflection,calibration,WARN,0,0,0,0,0,
reflection,calibration,FAIL,3,0,0,0,3,
full_model,all,PASS,0,0,0,0,0,
full_model,all,WARN,0,3,0,0,3,
full_model,all,FAIL,0,0,0,0,0,
full_model,calibration,PASS,0,0,0,0,0,
full_model,calibration,WARN,0,3,0,0,3,
full_model,calibration,FAIL,0,0,0,0,0,
