bucket,bucket_description,signal,channel_id,case,selected_candidate_family,independent_rx_shape,independent_rx_timing,hspice_rx_shape,hspice_rx_timing,hspice_audit_class,hspice_audit_reason,rx_active_rmse_mv,rx_active_maxabs_mv,tx_active_rmse_mv,tx_active_maxabs_mv,figure
01_full_pass,"Overall HSPICE audit PASS: RX shape, RX timing, and TX/reflection checks pass.",rx,Clarity_example_acf20e4a,audit_amp1p5_edge500_r50,full_vector_fit,WARN,PASS,PASS,PASS,PASS,thresholds passed,6.4247503036284215,19.634684163285897,3.810711658600172,6.588246931834275,01_full_pass/rx_side/001_PASS_Clarity_example_acf20e4a_audit_amp1p5_edge500_r50_rx.png
01_full_pass,"Overall HSPICE audit PASS: RX shape, RX timing, and TX/reflection checks pass.",tx,Clarity_example_acf20e4a,audit_amp1p5_edge500_r50,full_vector_fit,WARN,PASS,PASS,PASS,PASS,thresholds passed,6.4247503036284215,19.634684163285897,3.810711658600172,6.588246931834275,01_full_pass/tx_side/001_PASS_Clarity_example_acf20e4a_audit_amp1p5_edge500_r50_tx.png
01_full_pass,"Overall HSPICE audit PASS: RX shape, RX timing, and TX/reflection checks pass.",rx,ntwk2_24638a5f,audit_amp1p5_edge500_r50,full_vector_fit,WARN,PASS,PASS,PASS,PASS,thresholds passed,1.049868165915975,1.6525739055285316,2.188910671036679,2.604372659948062,01_full_pass/rx_side/002_PASS_ntwk2_24638a5f_audit_amp1p5_edge500_r50_rx.png
01_full_pass,"Overall HSPICE audit PASS: RX shape, RX timing, and TX/reflection checks pass.",tx,ntwk2_24638a5f,audit_amp1p5_edge500_r50,full_vector_fit,WARN,PASS,PASS,PASS,PASS,thresholds passed,1.049868165915975,1.6525739055285316,2.188910671036679,2.604372659948062,01_full_pass/tx_side/002_PASS_ntwk2_24638a5f_audit_amp1p5_edge500_r50_tx.png
01_full_pass,"Overall HSPICE audit PASS: RX shape, RX timing, and TX/reflection checks pass.",rx,ntwk2_24638a5f,audit_amp1p5_edge50_r50,full_vector_fit,WARN,PASS,PASS,PASS,PASS,thresholds passed,1.1456085280787958,5.06659275083543,2.3119871339247062,9.292201540015698,01_full_pass/rx_side/003_PASS_ntwk2_24638a5f_audit_amp1p5_edge50_r50_rx.png
01_full_pass,"Overall HSPICE audit PASS: RX shape, RX timing, and TX/reflection checks pass.",tx,ntwk2_24638a5f,audit_amp1p5_edge50_r50,full_vector_fit,WARN,PASS,PASS,PASS,PASS,thresholds passed,1.1456085280787958,5.06659275083543,2.3119871339247062,9.292201540015698,01_full_pass/tx_side/003_PASS_ntwk2_24638a5f_audit_amp1p5_edge50_r50_tx.png
01_full_pass,"Overall HSPICE audit PASS: RX shape, RX timing, and TX/reflection checks pass.",rx,ntwk2_e1c16499,audit_amp1p5_edge500_r50,full_vector_fit,WARN,PASS,PASS,PASS,PASS,thresholds passed,1.049868165915975,1.6525739055285316,2.188910671036679,2.604372659948062,01_full_pass/rx_side/004_PASS_ntwk2_e1c16499_audit_amp1p5_edge500_r50_rx.png
01_full_pass,"Overall HSPICE audit PASS: RX shape, RX timing, and TX/reflection checks pass.",tx,ntwk2_e1c16499,audit_amp1p5_edge500_r50,full_vector_fit,WARN,PASS,PASS,PASS,PASS,thresholds passed,1.049868165915975,1.6525739055285316,2.188910671036679,2.604372659948062,01_full_pass/tx_side/004_PASS_ntwk2_e1c16499_audit_amp1p5_edge500_r50_tx.png
01_full_pass,"Overall HSPICE audit PASS: RX shape, RX timing, and TX/reflection checks pass.",rx,ntwk2_e1c16499,audit_amp1p5_edge50_r50,full_vector_fit,WARN,PASS,PASS,PASS,PASS,thresholds passed,1.1456085280787958,5.06659275083543,2.3119871339247062,9.292201540015698,01_full_pass/rx_side/005_PASS_ntwk2_e1c16499_audit_amp1p5_edge50_r50_rx.png
01_full_pass,"Overall HSPICE audit PASS: RX shape, RX timing, and TX/reflection checks pass.",tx,ntwk2_e1c16499,audit_amp1p5_edge50_r50,full_vector_fit,WARN,PASS,PASS,PASS,PASS,thresholds passed,1.1456085280787958,5.06659275083543,2.3119871339247062,9.292201540015698,01_full_pass/tx_side/005_PASS_ntwk2_e1c16499_audit_amp1p5_edge50_r50_tx.png
02_rx_shape_pass_timing_warn,"RX shape matches HSPICE, but timing is WARN/ambiguous. Useful RX-shape evidence, not timing-certified.",rx,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge500_r50,reduced_4p_rx_dominant_delay_rc,WARN,WARN,PASS,WARN,WARN,voltage_pass_threshold_delay_confidence_low,0.4802535820438431,1.172440379815275,30.866101363239004,67.54282362368788,02_rx_shape_pass_timing_warn/rx_side/006_WARN_Ch10_35_5F3N_f1_49905299_audit_amp1p5_edge500_r50_rx.png
02_rx_shape_pass_timing_warn,"RX shape matches HSPICE, but timing is WARN/ambiguous. Useful RX-shape evidence, not timing-certified.",tx,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge500_r50,reduced_4p_rx_dominant_delay_rc,WARN,WARN,PASS,WARN,WARN,voltage_pass_threshold_delay_confidence_low,0.4802535820438431,1.172440379815275,30.866101363239004,67.54282362368788,02_rx_shape_pass_timing_warn/tx_side/006_WARN_Ch10_35_5F3N_f1_49905299_audit_amp1p5_edge500_r50_tx.png
02_rx_shape_pass_timing_warn,"RX shape matches HSPICE, but timing is WARN/ambiguous. Useful RX-shape evidence, not timing-certified.",rx,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge50_r50,reduced_4p_rx_dominant_delay_rc,WARN,WARN,PASS,WARN,WARN,voltage_pass_threshold_delay_confidence_low,0.4966612407467562,1.3247759705112554,32.35664260438757,69.29228311479315,02_rx_shape_pass_timing_warn/rx_side/007_WARN_Ch10_35_5F3N_f1_49905299_audit_amp1p5_edge50_r50_rx.png
02_rx_shape_pass_timing_warn,"RX shape matches HSPICE, but timing is WARN/ambiguous. Useful RX-shape evidence, not timing-certified.",tx,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge50_r50,reduced_4p_rx_dominant_delay_rc,WARN,WARN,PASS,WARN,WARN,voltage_pass_threshold_delay_confidence_low,0.4966612407467562,1.3247759705112554,32.35664260438757,69.29228311479315,02_rx_shape_pass_timing_warn/tx_side/007_WARN_Ch10_35_5F3N_f1_49905299_audit_amp1p5_edge50_r50_tx.png
02_rx_shape_pass_timing_warn,"RX shape matches HSPICE, but timing is WARN/ambiguous. Useful RX-shape evidence, not timing-certified.",rx,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge5_r50,reduced_4p_rx_dominant_delay_rc,WARN,WARN,PASS,WARN,WARN,voltage_pass_threshold_delay_confidence_low,0.4553913600695686,1.318519015050329,34.72416520619542,189.53777909642295,02_rx_shape_pass_timing_warn/rx_side/008_WARN_Ch10_35_5F3N_f1_49905299_audit_amp1p5_edge5_r50_rx.png
02_rx_shape_pass_timing_warn,"RX shape matches HSPICE, but timing is WARN/ambiguous. Useful RX-shape evidence, not timing-certified.",tx,Ch10_35_5F3N_f1_49905299,audit_amp1p5_edge5_r50,reduced_4p_rx_dominant_delay_rc,WARN,WARN,PASS,WARN,WARN,voltage_pass_threshold_delay_confidence_low,0.4553913600695686,1.318519015050329,34.72416520619542,189.53777909642295,02_rx_shape_pass_timing_warn/tx_side/008_WARN_Ch10_35_5F3N_f1_49905299_audit_amp1p5_edge5_r50_tx.png
