time_ns,v_typ,v_min,v_max
0.0,1.338,1.342,1.329
0.006,1.3395,1.343166667,1.329833333
0.012,1.34,1.344,1.330666667
0.018,1.341,1.345,1.331
0.024,1.341,1.345,1.331
0.03,1.340333333,1.344333333,1.331
0.036,1.34,1.344,1.331
0.042,1.34,1.344,1.3305
0.048,1.34,1.344,1.33
0.0541,1.34,1.344,1.33
0.0601,1.34,1.344,1.33
0.0661,1.34,1.344,1.33
0.0721,1.34,1.344,1.33
0.0781,1.339666667,1.343166667,1.33
0.0841,1.339,1.343,1.33
0.0901,1.339,1.343,1.33
0.0961,1.339,1.343,1.33
0.1021,1.339,1.343,1.33
0.1081,1.339,1.343,1.33
0.1141,1.339,1.343,1.33
0.1201,1.339,1.343,1.3295
0.1261,1.339,1.343,1.329
0.1321,1.339,1.343,1.329
0.1381,1.339,1.343,1.329
0.1441,1.339,1.343,1.329
0.1502,1.339,1.343,1.329
0.1562,1.339,1.343,1.329
0.1622,1.339,1.343,1.329
0.1682,1.339,1.343,1.329
0.1742,1.339,1.343,1.329
0.1802,1.339,1.343,1.329
0.1862,1.339,1.343,1.329
0.1922,1.339,1.343,1.329
0.1982,1.339,1.343,1.329
0.2042,1.339,1.343,1.329
0.2102,1.339,1.343,1.329
0.2162,1.339,1.343,1.329
0.2222,1.339,1.343,1.329
0.2282,1.339,1.343,1.329
0.2342,1.339,1.343,1.329
0.2402,1.339,1.343,1.329
0.2462,1.339,1.343,1.329
0.2523,1.339,1.343,1.329
0.2583,1.339,1.343,1.329
0.2643,1.339,1.343,1.329
0.2703,1.339,1.343,1.329
0.2763,1.339,1.343,1.329
0.2823,1.339,1.343,1.329
0.2883,1.339,1.343,1.329
0.2943,1.338166667,1.343,1.329
0.3003,1.338,1.343,1.329
0.3063,1.338,1.343,1.329
0.3123,1.338,1.342333333,1.329
0.3183,1.338,1.342,1.329
0.3243,1.338,1.342,1.328166667
0.3303,1.337833333,1.342,1.328
0.3363,1.337,1.341833333,1.328
0.3423,1.337,1.341,1.328
0.3483,1.337,1.341,1.328
0.3544,1.337,1.341,1.328
0.3604,1.337,1.341,1.328
0.3664,1.337,1.341,1.328
0.3724,1.337,1.341,1.328
0.3784,1.337,1.341,1.328
0.3844,1.337,1.341,1.328
0.3904,1.337,1.341,1.328
0.3964,1.337,1.341,1.327166667
0.4024,1.337,1.341,1.327
0.4084,1.337,1.341,1.327
0.4144,1.337,1.340333333,1.327
0.4204,1.337,1.34,1.327
0.4264,1.337,1.34,1.327
0.4324,1.337,1.34,1.327
0.4384,1.3365,1.34,1.327
0.4444,1.336,1.34,1.327
0.4505,1.336,1.34,1.327
0.4565,1.336,1.34,1.327
0.4625,1.336,1.34,1.327
0.4685,1.336,1.34,1.327
0.4745,1.336,1.34,1.327
0.4805,1.336,1.34,1.327
0.4865,1.336,1.34,1.327
0.4925,1.336,1.34,1.327
0.4985,1.336,1.34,1.327
0.5045,1.336,1.34,1.327
0.5105,1.336,1.339,1.327
0.5165,1.336,1.339,1.327
0.5225,1.336,1.339,1.327
0.5285,1.336,1.339,1.327
0.5345,1.336,1.339,1.327
0.5405,1.336,1.339,1.327
0.5465,1.336,1.339,1.327
0.5526,1.336,1.339,1.327
0.5586,1.336,1.339,1.327
0.5646,1.336,1.339,1.327
0.5706,1.336,1.339,1.327
0.5766,1.335666667,1.339,1.327
0.5826,1.335,1.339,1.327
0.5886,1.335,1.338833333,1.327
0.5946,1.335,1.338,1.327
0.6006,1.335,1.338,1.327
0.6066,1.335,1.338,1.327
0.6126,1.335,1.338,1.3265
0.6186,1.335,1.338,1.326
0.6246,1.335,1.338,1.326
0.6306,1.335,1.338,1.326
0.6366,1.335,1.337833333,1.326
0.6426,1.335,1.337,1.326
0.6486,1.334166667,1.337,1.326
0.6547,1.334,1.337,1.326
0.6607,1.334,1.336166667,1.326
0.6667,1.334,1.336,1.326
0.6727,1.334,1.336,1.326
0.6787,1.334,1.335333333,1.326
0.6847,1.334,1.335,1.326
0.6907,1.334,1.335,1.326
0.6967,1.334,1.334166667,1.326
0.7027,1.333833333,1.334,1.326
0.7087,1.333,1.333833333,1.326
0.7147,1.333,1.333,1.326
0.7207,1.333,1.333,1.326
0.7267,1.332333333,1.332666667,1.325166667
0.7327,1.332,1.332,1.325
0.7387,1.332,1.332,1.325
0.7447,1.331833333,1.331333333,1.325
0.7508,1.331,1.331,1.325
0.7568,1.331,1.331,1.325
0.7628,1.331,1.33,1.325
0.7688,1.330333333,1.3295,1.325
0.7748,1.33,1.328833333,1.325
0.7808,1.33,1.328,1.325
0.7868,1.329833333,1.327,1.325
0.7928,1.329,1.326166667,1.325
0.7988,1.3285,1.325333333,1.325
0.8048,1.328,1.3245,1.325
0.8108,1.327,1.324,1.325
0.8168,1.326333333,1.323,1.324166667
0.8228,1.325833333,1.3225,1.324
0.8288,1.325,1.322,1.324
0.8348,1.324333333,1.322,1.324
0.8408,1.323833333,1.322,1.324
0.8468,1.323,1.321166667,1.324
0.8529,1.322333333,1.321,1.323333333
0.8589,1.321833333,1.321,1.323
0.8649,1.321,1.321,1.3225
0.8709,1.320333333,1.321,1.322
0.8769,1.32,1.321,1.321666667
0.8829,1.3195,1.321,1.321
0.8889,1.319,1.321,1.320833333
0.8949,1.319,1.321,1.32
0.9009,1.318666667,1.321,1.32
0.9069,1.318,1.321,1.319166667
0.9129,1.318,1.321,1.319
0.9189,1.318,1.321,1.318333333
0.9249,1.318333333,1.321,1.318
0.9309,1.319,1.321,1.3175
0.9369,1.319333333,1.321,1.317
0.9429,1.32,1.321,1.316333333
0.9489,1.320333333,1.321833333,1.3155
0.955,1.321,1.322,1.3145
0.961,1.321333333,1.322,1.313833333
0.967,1.322,1.322,1.313
0.973,1.322333333,1.322,1.312333333
0.979,1.323,1.322,1.311833333
0.985,1.323333333,1.322,1.311
0.991,1.324,1.322666667,1.3115
0.997,1.324333333,1.323,1.312
1.003,1.325,1.323,1.312
1.009,1.3255,1.323,1.312
1.015,1.326,1.323,1.312833333
1.021,1.326166667,1.323,1.313
1.027,1.327,1.323333333,1.313
1.033,1.327,1.324,1.313
1.039,1.328,1.324,1.314
1.045,1.3285,1.324,1.314
1.0511,1.329333333,1.324166667,1.314
1.0571,1.330333333,1.325,1.314166667
1.0631,1.331166667,1.325,1.315
1.0691,1.332,1.325,1.315
1.0751,1.333,1.325,1.316
1.0811,1.334,1.326,1.316333333
1.0871,1.335166667,1.326,1.317
1.0931,1.336166667,1.326,1.317833333
1.0991,1.337166667,1.326,1.318166667
1.1051,1.338166667,1.327,1.319
1.1111,1.339166667,1.327,1.3195
