bit_index,edge_time_ns,from,to,direction,context
7,14.0,0,1,rise,00->11
13,26.0,1,0,fall,11->01
14,28.0,0,1,rise,10->11
19,38.0,1,0,fall,11->00
21,42.0,0,1,rise,00->11
25,50.0,1,0,fall,11->01
26,52.0,0,1,rise,10->10
27,54.0,1,0,fall,01->01
28,56.0,0,1,rise,10->11
31,62.0,1,0,fall,11->00
35,70.0,0,1,rise,00->11
37,74.0,1,0,fall,11->01
38,76.0,0,1,rise,10->11
41,82.0,1,0,fall,11->01
42,84.0,0,1,rise,10->10
43,86.0,1,0,fall,01->00
45,90.0,0,1,rise,00->11
47,94.0,1,0,fall,11->00
50,100.0,0,1,rise,00->10
51,102.0,1,0,fall,01->01
52,104.0,0,1,rise,10->10
53,106.0,1,0,fall,01->01
54,108.0,0,1,rise,10->11
56,112.0,1,0,fall,11->00
61,122.0,0,1,rise,00->1x
