time_ns,v(in_dig),v(pad),v(tx_out),v(n10b),v(xdrv:ni),v(xdrv:n2),v(xdrv:n3),v(xdrv:n4),v(xdrv:n6),v(xdrv:n8),v(xdrv:nx),v(xdrv:ku),v(xdrv:kd)
121.60000000000001,0.0,0.0130106392,0.0130106397,0.0145276432,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.60999999999999,0.0,0.0127742574,0.0127742578,0.0148052,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.62,0.0,0.0124451604,0.0124451608,0.0149724159,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.63000000000001,0.0,0.0120256473,0.0120256477,0.0150258474,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.64,0.0,0.0115187157,0.0115187161,0.0149629565,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.65,0.0,0.0109280363,0.0109280366,0.0147821389,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.66,0.0,0.0102579224,0.0102579227,0.0144827448,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.67,0.0,0.00951329415,0.00951329443,0.0140650914,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.67999999999999,0.0,0.00869963862,0.00869963886,0.0135304675,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.69,0.0,0.00782296424,0.00782296444,0.0128811301,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.70000000000002,0.0,0.00688975232,0.00688975247,0.0121202927,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.71,0.0,0.00590690377,0.00590690388,0.0112521054,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.72000000000001,0.0,0.00488168433,0.0048816844,0.0102816279,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.72999999999999,0.0,0.00382166525,0.00382166527,0.00921479386,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.74000000000001,0.0,0.00273466264,0.00273466262,0.00805836868,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.74999999999999,0.0,0.00162867496,0.00162867488,0.00681989973,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.76,0.0,0.000511819084,0.000511818967,0.00550766023,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
121.77000000000001,0.0,-0.000606616509,-0.000606616671,0.00413058689,-0.5,0.0,0.001,-1.0,112.12,112.12,5.96,8.95253439e-05,1.00227186
