variant,model_file,note,return_code,timed_out,wall_s,points,t_end_ns,completed,v_min,v_max,deck,output,log
edge15_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge15_tailflat4p2.sub,current accepted PRBS/RLGC continuation setup,timeout,True,60.01117205619812,2417,24.159999900000003,False,-0.126229419,1.53833569,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge15_flat4p2/ui2_len30cm_loss5_coarse10_edge15_flat4p2.cir,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge15_flat4p2/ui2_len30cm_loss5_coarse10_edge15_flat4p2.cir.csv,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge15_flat4p2/ui2_len30cm_loss5_coarse10_edge15_flat4p2.log
tanh10,driver_OutputInput_Typical_xyce_relaxed10.sub,global tanh10 smoothing,0,False,9.840055227279663,7601,76.0,True,0.0,1.5431474,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/tanh10/ui2_len30cm_loss5_coarse10_tanh10.cir,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/tanh10/ui2_len30cm_loss5_coarse10_tanh10.cir.csv,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/tanh10/ui2_len30cm_loss5_coarse10_tanh10.log
tanh15,driver_OutputInput_Typical_xyce_relaxed15.sub,global tanh15 smoothing,0,False,8.7325119972229,7601,76.0,True,-0.0272031742,1.53705013,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/tanh15/ui2_len30cm_loss5_coarse10_tanh15.cir,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/tanh15/ui2_len30cm_loss5_coarse10_tanh15.cir.csv,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/tanh15/ui2_len30cm_loss5_coarse10_tanh15.log
tanh30,driver_OutputInput_Typical_xyce_relaxed30.sub,global tanh30 smoothing,timeout,True,60.013275146484375,5815,58.14,False,-0.122359358,1.53537892,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/tanh30/ui2_len30cm_loss5_coarse10_tanh30.cir,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/tanh30/ui2_len30cm_loss5_coarse10_tanh30.cir.csv,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/tanh30/ui2_len30cm_loss5_coarse10_tanh30.log
tailflat4p2,driver_OutputInput_Typical_xyce_relaxed92_tailflat4p2.sub,tail-table flattening only,timeout,True,60.00884556770325,1529,15.28,False,-0.093898728,1.52783497,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/tailflat4p2/ui2_len30cm_loss5_coarse10_tailflat4p2.cir,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/tailflat4p2/ui2_len30cm_loss5_coarse10_tailflat4p2.cir.csv,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/tailflat4p2/ui2_len30cm_loss5_coarse10_tailflat4p2.log
edge20_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge20_tailflat4p2.sub,edge/latch tanh20 plus flat tail,timeout,True,60.01520085334778,6207,62.0599992,False,-0.126156602,1.53856501,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge20_flat4p2/ui2_len30cm_loss5_coarse10_edge20_flat4p2.cir,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge20_flat4p2/ui2_len30cm_loss5_coarse10_edge20_flat4p2.cir.csv,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge20_flat4p2/ui2_len30cm_loss5_coarse10_edge20_flat4p2.log
edge30_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge30_tailflat4p2.sub,edge/latch tanh30 plus flat tail,timeout,True,60.02640438079834,5628,56.27,False,-0.127152081,1.53499,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge30_flat4p2/ui2_len30cm_loss5_coarse10_edge30_flat4p2.cir,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge30_flat4p2/ui2_len30cm_loss5_coarse10_edge30_flat4p2.cir.csv,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge30_flat4p2/ui2_len30cm_loss5_coarse10_edge30_flat4p2.log
edge50_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge50_tailflat4p2.sub,less-smoothed edge controls plus flat tail,0,False,9.286473512649536,7601,76.0,True,-0.126384965,1.53113996,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge50_flat4p2/ui2_len30cm_loss5_coarse10_edge50_flat4p2.cir,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge50_flat4p2/ui2_len30cm_loss5_coarse10_edge50_flat4p2.cir.csv,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge50_flat4p2/ui2_len30cm_loss5_coarse10_edge50_flat4p2.log
edge55_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge55_tailflat4p2.sub,edge/latch tanh55 plus flat tail,timeout,True,60.015761375427246,3231,32.3,False,-0.126325939,1.53182389,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge55_flat4p2/ui2_len30cm_loss5_coarse10_edge55_flat4p2.cir,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge55_flat4p2/ui2_len30cm_loss5_coarse10_edge55_flat4p2.cir.csv,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge55_flat4p2/ui2_len30cm_loss5_coarse10_edge55_flat4p2.log
edge60_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge60_tailflat4p2.sub,edge/latch tanh60 plus flat tail,0,False,9.2444748878479,7601,76.0,True,-0.124999313,1.52878481,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge60_flat4p2/ui2_len30cm_loss5_coarse10_edge60_flat4p2.cir,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge60_flat4p2/ui2_len30cm_loss5_coarse10_edge60_flat4p2.cir.csv,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge60_flat4p2/ui2_len30cm_loss5_coarse10_edge60_flat4p2.log
edge75_flat4p2,driver_OutputInput_Typical_xyce_relaxed92_edge75_tailflat4p2.sub,edge/latch tanh75 plus flat tail,timeout,True,60.00874948501587,4249,42.4799966,False,-0.125174375,1.5287503,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge75_flat4p2/ui2_len30cm_loss5_coarse10_edge75_flat4p2.cir,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge75_flat4p2/ui2_len30cm_loss5_coarse10_edge75_flat4p2.cir.csv,results/xyce_pybis_context38_variant_sweep_2026-05-11/runs/edge75_flat4p2/ui2_len30cm_loss5_coarse10_edge75_flat4p2.log
