candidate,candidate_title,modification,bench,completed,target_ns,t_end_ns,rmse_mv,max_abs_mv,source,deck,output,note
direct200,"direct Xyce syntax port, tanh200 gates",syntax port only,channel_pulsetrain_200p,False,40.0,33.935713,,,xyce_pybis_minimal_relaxation_sweep.csv,,,minimal relaxation sweep
direct200,"direct Xyce syntax port, tanh200 gates",syntax port only,channel_bitpattern_200p,,,,,,,,,not tested in consolidated data
direct200,"direct Xyce syntax port, tanh200 gates",syntax port only,channel_prbs7_200n,,,,,,,,,not tested in consolidated data
direct200,"direct Xyce syntax port, tanh200 gates",syntax port only,channel_prbs7_1000n,,,,,,,,,not tested in consolidated data
tanh100,all gates tanh100,very mild global smoothing,channel_pulsetrain_200p,False,40.0,36.8066294,,,xyce_pybis_minimal_relaxation_sweep.csv,,,minimal relaxation sweep
tanh100,all gates tanh100,very mild global smoothing,channel_bitpattern_200p,,,,,,,,,not tested in consolidated data
tanh100,all gates tanh100,very mild global smoothing,channel_prbs7_200n,,,,,,,,,not tested in consolidated data
tanh100,all gates tanh100,very mild global smoothing,channel_prbs7_1000n,,,,,,,,,not tested in consolidated data
tanh92,baseline tanh92,mild global smoothing,channel_pulsetrain_200p,True,,40.0,27.388658038351675,126.83612730311711,xyce_pybis_tailfix_channel_metrics.csv,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_tanh92.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_tanh92.cir.csv,
tanh92,baseline tanh92,mild global smoothing,channel_bitpattern_200p,True,,45.0,10.998838784173,74.23575544976352,xyce_pybis_tailfix_channel_metrics.csv,xyce_pybis/tb_tailfix_channel_bitpattern_200p_tanh92.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_tanh92.cir.csv,
tanh92,all gates tanh92,mild global smoothing,channel_prbs7_200n,,,,,,,,,not tested in consolidated data
tanh92,all gates tanh92,mild global smoothing,channel_prbs7_1000n,,,,,,,,,not tested in consolidated data
flat4p2,KUR/KDR table flat tail after 4.2 ns,tail table only,channel_pulsetrain_200p,True,,40.0,27.388658038351675,126.83612730311711,xyce_pybis_tailfix_channel_metrics.csv,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_flat4p2.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_flat4p2.cir.csv,
flat4p2,KUR/KDR table flat tail after 4.2 ns,tail table only,channel_bitpattern_200p,True,,45.0,19.830243780563883,73.45800823486282,xyce_pybis_tailfix_channel_metrics.csv,xyce_pybis/tb_tailfix_channel_bitpattern_200p_flat4p2.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_flat4p2.cir.csv,
flat4p2,KUR/KDR flat tail after 4.2 ns,tail table only,channel_prbs7_200n,,,,,,,,,not tested in consolidated data
flat4p2,KUR/KDR flat tail after 4.2 ns,tail table only,channel_prbs7_1000n,,,,,,,,,not tested in consolidated data
edge50,edge/latch tanh50 only,localized edge smoothing only,channel_pulsetrain_200p,True,,40.0,28.344359413980058,130.78145254253837,xyce_pybis_tailfix_channel_hybrid_winners_metrics.csv,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_edge50.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_edge50.cir.csv,
